,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.775455
0    0.889091
0    0.910909
0    0.900000
0    0.790909
0    0.526364
Name: mean_test_accuracy, dtype: float64","0    0.035687
0    0.029261
0    0.005455
0    0.018182
0    0.029034
0    0.021685
Name: std_test_accuracy, dtype: float64","0    0.200552
0    0.422944
0    0.200000
0    0.386081
0    0.264137
0    0.101887
Name: mean_test_precision, dtype: float64","0    0.045740
0    0.243841
0    0.400000
0    0.229003
0    0.055008
0    0.021010
Name: std_test_precision, dtype: float64","0    0.475556
0    0.302222
0    0.020000
0    0.181111
0    0.736061
0    0.547778
Name: mean_test_recall, dtype: float64","0    0.052068
0    0.132665
0    0.040000
0    0.146401
0    0.151645
0    0.124231
Name: std_test_recall, dtype: float64","0    0.279693
0    0.328579
0    0.036364
0    0.229421
0    0.387606
0    0.171787
Name: mean_test_f1, dtype: float64","0    0.046851
0    0.129343
0    0.072727
0    0.152303
0    0.077786
0    0.035878
Name: std_test_f1, dtype: float64","0    0.676297
0    0.770798
0    0.719237
0    0.755018
0    0.807383
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.058708
0    0.050505
0    0.056719
0    0.072667
0    0.088842
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.640411
0    0.624636
0    0.509500
0    0.576085
0    0.766170
0    0.536117
Name: mean_test_balanced_accuracy, dtype: float64","0    0.031568
0    0.067614
0    0.020304
0    0.069465
0    0.080275
0    0.068030
Name: std_test_balanced_accuracy, dtype: float64","0    0.197602
0    0.286382
0    0.057549
0    0.209794
0    0.351573
0    0.040695
Name: mean_test_mcc, dtype: float64","0    0.055569
0    0.149822
0    0.122998
0    0.163646
0    0.104797
0    0.076720
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.787273
0    0.900000
0    0.922727
0    0.904545
0    0.829091
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.052255
0    0.023706
0    0.013016
0    0.056517
0    0.042212
0    0.024410
Name: std_test_accuracy, dtype: float64","0    0.194415
0    0.426508
0    0.860000
0    0.585159
0    0.322149
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.079253
0    0.217855
0    0.209656
0    0.194522
0    0.067924
0    0.026415
Name: std_test_precision, dtype: float64","0    0.406364
0    0.277273
0    0.209091
0    0.407273
0    0.713005
0    0.414545
Name: mean_test_recall, dtype: float64","0    0.170563
0    0.153486
0    0.130795
0    0.171950
0    0.141269
0    0.133806
Name: std_test_recall, dtype: float64","0    0.260555
0    0.332027
0    0.314509
0    0.445916
0    0.435780
0    0.133036
Name: mean_test_f1, dtype: float64","0    0.105842
0    0.173316
0    0.162070
0    0.173499
0    0.076314
0    0.044069
Name: std_test_f1, dtype: float64","0    0.670348
0    0.765907
0    0.841707
0    0.778482
0    0.830935
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.101982
0    0.071279
0    0.041933
0    0.103465
0    0.061931
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.616106
0    0.620126
0    0.602045
0    0.681126
0    0.776900
0    0.463035
Name: mean_test_balanced_accuracy, dtype: float64","0    0.092232
0    0.081218
0    0.064891
0    0.084587
0    0.067091
0    0.073628
Name: std_test_balanced_accuracy, dtype: float64","0    0.171111
0    0.290809
0    0.379370
0    0.424295
0    0.397537
0   -0.042357
Name: mean_test_mcc, dtype: float64","0    0.132906
0    0.189051
0    0.138907
0    0.174043
0    0.090808
0    0.084898
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.871818
0    0.924545
0    0.930000
0    0.918182
0    0.813636
0    0.528182
Name: mean_test_accuracy, dtype: float64","0    0.022800
0    0.019091
0    0.015772
0    0.015746
0    0.038408
0    0.033141
Name: std_test_accuracy, dtype: float64","0    0.365006
0    0.660198
0    0.860000
0    0.605000
0    0.313302
0    0.105660
Name: mean_test_precision, dtype: float64","0    0.072756
0    0.166487
0    0.184120
0    0.176821
0    0.062350
0    0.033962
Name: std_test_precision, dtype: float64","0    0.523636
0    0.426364
0    0.297273
0    0.386364
0    0.820328
0    0.555455
Name: mean_test_recall, dtype: float64","0    0.119586
0    0.142959
0    0.141658
0    0.094585
0    0.104449
0    0.182020
Name: std_test_recall, dtype: float64","0    0.428021
0    0.501373
0    0.423658
0    0.463515
0    0.449750
0    0.177530
Name: mean_test_f1, dtype: float64","0    0.086856
0    0.129153
0    0.161250
0    0.097878
0    0.071270
0    0.057230
Name: std_test_f1, dtype: float64","0    0.835876
0    0.865847
0    0.868865
0    0.891035
0    0.906301
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.057902
0    0.049799
0    0.039307
0    0.051810
0    0.039342
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.715253
0    0.700672
0    0.645636
0    0.679177
0    0.816631
0    0.540485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.061182
0    0.070406
0    0.071586
0    0.048609
0    0.049439
0    0.100120
Name: std_test_balanced_accuracy, dtype: float64","0    0.367479
0    0.484778
0    0.466910
0    0.438303
0    0.428784
0    0.046509
Name: mean_test_mcc, dtype: float64","0    0.099065
0    0.129952
0    0.144899
0    0.114541
0    0.076271
0    0.115248
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.850909
0    0.895455
0    0.913636
0    0.904545
0    0.709091
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.039249
0    0.030762
0    0.009315
0    0.034317
0    0.047412
0    0.025078
Name: std_test_accuracy, dtype: float64","0    0.280509
0    0.429940
0    0.650000
0    0.573810
0    0.198069
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.073317
0    0.205901
0    0.390512
0    0.307355
0    0.037924
0    0.027730
Name: std_test_precision, dtype: float64","0    0.388182
0    0.250000
0    0.120000
0    0.249091
0    0.702475
0    0.413636
Name: mean_test_recall, dtype: float64","0    0.160065
0    0.128452
0    0.074833
0    0.181053
0    0.142800
0    0.135650
Name: std_test_recall, dtype: float64","0    0.317539
0    0.297724
0    0.195022
0    0.297851
0    0.307243
0    0.132986
Name: mean_test_f1, dtype: float64","0    0.101280
0    0.142856
0    0.114937
0    0.170859
0    0.055883
0    0.046002
Name: std_test_f1, dtype: float64","0    0.747636
0    0.771354
0    0.760742
0    0.779854
0    0.763942
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.064721
0    0.074652
0    0.084014
0    0.071477
0    0.083901
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.643061
0    0.605480
0    0.557000
0    0.610035
0    0.706050
0    0.462586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.075173
0    0.061986
0    0.036414
0    0.079810
0    0.066587
0    0.074749
Name: std_test_balanced_accuracy, dtype: float64","0    0.246781
0    0.267168
0    0.248556
0    0.306124
0    0.254727
0   -0.042621
Name: mean_test_mcc, dtype: float64","0    0.113139
0    0.152399
0    0.148002
0    0.165367
0    0.081602
0    0.086728
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.755455
0    0.905455
0    0.915455
0    0.907273
0    0.800000
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.047141
0    0.027029
0    0.016288
0    0.017628
0    0.050779
0    0.027106
Name: std_test_accuracy, dtype: float64","0    0.164917
0    0.511818
0    0.800000
0    0.451645
0    0.273803
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.073093
0    0.208324
0    0.331662
0    0.230557
0    0.073495
0    0.027277
Name: std_test_precision, dtype: float64","0    0.399091
0    0.328182
0    0.140000
0    0.308182
0    0.653510
0    0.506364
Name: mean_test_recall, dtype: float64","0    0.174794
0    0.143536
0    0.080000
0    0.159153
0    0.126687
0    0.147713
Name: std_test_recall, dtype: float64","0    0.232656
0    0.385437
0    0.230786
0    0.358387
0    0.381316
0    0.161706
Name: mean_test_f1, dtype: float64","0    0.102067
0    0.151052
0    0.120109
0    0.172365
0    0.087269
0    0.046049
Name: std_test_f1, dtype: float64","0    0.648087
0    0.739003
0    0.776375
0    0.790122
0    0.802164
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.117616
0    0.095027
0    0.077634
0    0.071303
0    0.063240
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.595409
0    0.646061
0    0.566985
0    0.638071
0    0.734222
0    0.513434
Name: mean_test_balanced_accuracy, dtype: float64","0    0.099429
0    0.073237
0    0.042409
0    0.076069
0    0.072206
0    0.081306
Name: std_test_balanced_accuracy, dtype: float64","0    0.133153
0    0.354970
0    0.301600
0    0.326429
0    0.328781
0    0.015130
Name: mean_test_mcc, dtype: float64","0    0.138015
0    0.165280
0    0.150041
0    0.174732
0    0.106531
0    0.093881
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.721818
0    0.900000
0    0.907273
0    0.921818
0    0.757273
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.039668
0    0.027872
0    0.003636
0    0.021203
0    0.051754
0    0.029444
Name: std_test_accuracy, dtype: float64","0    0.138195
0    0.443810
0    0.000000
0    0.685714
0    0.238486
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.042962
0    0.192549
0    0.000000
0    0.259810
0    0.044896
0    0.030946
Name: std_test_precision, dtype: float64","0    0.398182
0    0.337273
0    0.000000
0    0.299091
0    0.713535
0    0.504545
Name: mean_test_recall, dtype: float64","0    0.169579
0    0.157115
0    0.000000
0    0.156112
0    0.109939
0    0.161821
Name: std_test_recall, dtype: float64","0    0.203363
0    0.379851
0    0.000000
0    0.400136
0    0.354238
0    0.161607
Name: mean_test_f1, dtype: float64","0    0.067745
0    0.169635
0    0.000000
0    0.174047
0    0.057142
0    0.051911
Name: std_test_f1, dtype: float64","0    0.587063
0    0.745722
0    0.685949
0    0.822054
0    0.789543
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.098664
0    0.095161
0    0.072051
0    0.062942
0    0.079027
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.576465
0    0.647106
0    0.499500
0    0.642035
0    0.737676
0    0.512535
Name: mean_test_balanced_accuracy, dtype: float64","0    0.076832
0    0.084185
0    0.001500
0    0.078762
0    0.053705
0    0.089010
Name: std_test_balanced_accuracy, dtype: float64","0    0.098715
0    0.332352
0   -0.003029
0    0.410733
0    0.309101
0    0.014601
Name: mean_test_mcc, dtype: float64","0    0.097261
0    0.184291
0    0.009087
0    0.185206
0    0.071946
0    0.102469
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.819091
0    0.873636
0    0.905455
0    0.907273
0    0.755455
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.062384
0    0.020909
0    0.007273
0    0.014545
0    0.030000
0    0.019604
Name: std_test_accuracy, dtype: float64","0    0.228331
0    0.229286
0    0.183333
0    0.513690
0    0.229666
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.090266
0    0.139431
0    0.320156
0    0.220030
0    0.024335
0    0.022004
Name: std_test_precision, dtype: float64","0    0.347273
0    0.197273
0    0.048182
0    0.246364
0    0.713535
0    0.473636
Name: mean_test_recall, dtype: float64","0    0.113312
0    0.159754
0    0.077358
0    0.124612
0    0.136317
0    0.105662
Name: std_test_recall, dtype: float64","0    0.269668
0    0.204004
0    0.072436
0    0.316884
0    0.345415
0    0.152034
Name: mean_test_f1, dtype: float64","0    0.093714
0    0.145300
0    0.115101
0    0.131471
0    0.036662
0    0.036376
Name: std_test_f1, dtype: float64","0    0.709718
0    0.722914
0    0.704261
0    0.751737
0    0.800615
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.089177
0    0.100828
0    0.078656
0    0.069545
0    0.053219
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.606990
0    0.569601
0    0.520091
0    0.610162
0    0.737084
0    0.495586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.066056
0    0.076049
0    0.035676
0    0.060839
0    0.066681
0    0.058247
Name: std_test_balanced_accuracy, dtype: float64","0    0.182356
0    0.142966
0    0.071358
0    0.302860
0    0.300841
0   -0.004649
Name: mean_test_mcc, dtype: float64","0    0.114403
0    0.146348
0    0.140366
0    0.137353
0    0.066498
0    0.067699
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.797273
0    0.922727
0    0.921818
0    0.925455
0    0.829091
0    0.504545
Name: mean_test_accuracy, dtype: float64","0    0.036147
0    0.018295
0    0.015320
0    0.026907
0    0.026285
0    0.022727
Name: std_test_accuracy, dtype: float64","0    0.238611
0    0.651389
0    0.660000
0    0.665278
0    0.323326
0    0.081132
Name: mean_test_precision, dtype: float64","0    0.048740
0    0.291085
0    0.373214
0    0.230526
0    0.030468
0    0.023941
Name: std_test_precision, dtype: float64","0    0.534545
0    0.328182
0    0.219091
0    0.457273
0    0.784369
0    0.425455
Name: mean_test_recall, dtype: float64","0    0.109605
0    0.150341
0    0.154355
0    0.177030
0    0.117462
0    0.125098
Name: std_test_recall, dtype: float64","0    0.328142
0    0.422193
0    0.315137
0    0.522721
0    0.456680
0    0.136260
Name: mean_test_f1, dtype: float64","0    0.062003
0    0.175932
0    0.203040
0    0.173072
0    0.046139
0    0.040151
Name: std_test_f1, dtype: float64","0    0.732434
0    0.806766
0    0.841555
0    0.891983
0    0.870259
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.057954
0    0.039623
0    0.052197
0    0.036852
0    0.043979
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.679141
0    0.655571
0    0.606045
0    0.715111
0    0.809007
0    0.468985
Name: mean_test_balanced_accuracy, dtype: float64","0    0.057168
0    0.074028
0    0.076736
0    0.089954
0    0.057995
0    0.068801
Name: std_test_balanced_accuracy, dtype: float64","0    0.256729
0    0.420512
0    0.344971
0    0.504430
0    0.428581
0   -0.035764
Name: mean_test_mcc, dtype: float64","0    0.080700
0    0.187624
0    0.214321
0    0.184867
0    0.069036
0    0.079150
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.866364
0    0.920909
0    0.921818
0    0.930000
0    0.843636
0    0.520909
Name: mean_test_accuracy, dtype: float64","0    0.015239
0    0.005821
0    0.014771
0    0.014113
0    0.039585
0    0.032025
Name: std_test_accuracy, dtype: float64","0    0.321281
0    0.626865
0    0.599444
0    0.718810
0    0.349443
0    0.098113
Name: mean_test_precision, dtype: float64","0    0.054836
0    0.068174
0    0.343300
0    0.118997
0    0.094149
0    0.034585
Name: std_test_precision, dtype: float64","0    0.415455
0    0.366364
0    0.247273
0    0.397273
0    0.767273
0    0.512727
Name: mean_test_recall, dtype: float64","0    0.122714
0    0.089447
0    0.195689
0    0.136427
0    0.150437
0    0.173215
Name: std_test_recall, dtype: float64","0    0.356518
0    0.453431
0    0.328350
0    0.501106
0    0.477632
0    0.164683
Name: mean_test_f1, dtype: float64","0    0.075756
0    0.071786
0    0.218045
0    0.120278
0    0.110366
0    0.057594
Name: std_test_f1, dtype: float64","0    0.797691
0    0.846528
0    0.865285
0    0.831321
0    0.880023
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.059709
0    0.053432
0    0.071876
0    0.087710
0    0.080744
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.663687
0    0.671672
0    0.618636
0    0.690631
0    0.809586
0    0.517136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.053513
0    0.041473
0    0.095315
0    0.067576
0    0.087144
0    0.095438
Name: std_test_balanced_accuracy, dtype: float64","0    0.290432
0    0.436327
0    0.345847
0    0.496910
0    0.445356
0    0.020402
Name: mean_test_mcc, dtype: float64","0    0.078636
0    0.059317
0    0.214842
0    0.118383
0    0.133258
0    0.110688
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.817273
0    0.901818
0    0.910909
0    0.900909
0    0.740000
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.032639
0    0.016160
0    0.006803
0    0.019688
0    0.052413
0    0.017838
Name: std_test_accuracy, dtype: float64","0    0.201906
0    0.438690
0    0.200000
0    0.416667
0    0.216334
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.092133
0    0.243601
0    0.400000
0    0.197203
0    0.060213
0    0.018487
Name: std_test_precision, dtype: float64","0    0.354545
0    0.274545
0    0.030000
0    0.178182
0    0.681328
0    0.475455
Name: mean_test_recall, dtype: float64","0    0.161399
0    0.179936
0    0.064031
0    0.107504
0    0.156525
0    0.098001
Name: std_test_recall, dtype: float64","0    0.254054
0    0.312785
0    0.051515
0    0.236333
0    0.327049
0    0.152133
Name: mean_test_f1, dtype: float64","0    0.112105
0    0.163337
0    0.108458
0    0.124544
0    0.085206
0    0.031063
Name: std_test_f1, dtype: float64","0    0.674003
0    0.732280
0    0.737333
0    0.725840
0    0.792154
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.094914
0    0.112723
0    0.118134
0    0.105202
0    0.103211
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.609187
0    0.619727
0    0.515000
0    0.576071
0    0.713486
0    0.496485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.073639
0    0.082829
0    0.032016
0    0.049781
0    0.089810
0    0.053904
Name: std_test_balanced_accuracy, dtype: float64","0    0.169665
0    0.285991
0    0.073322
0    0.221425
0    0.272746
0   -0.004121
Name: mean_test_mcc, dtype: float64","0    0.121842
0    0.166169
0    0.149388
0    0.128953
0    0.117222
0    0.062043
Name: std_test_mcc, dtype: float64"
