,ID,OF_NAR_FIR_LR_accuracy,OF_NAR_FIR_NN_accuracy,OF_NAR_FIR_SVM_accuracy,OF_NAR_FIR_LDA_accuracy,OF_NAR_FIR_PRK_accuracy,OF_NAR_FIR_RF_accuracy,OF_NAR_FIR_LR_std_accuracy,OF_NAR_FIR_NN_std_accuracy,OF_NAR_FIR_SVM_std_accuracy,OF_NAR_FIR_LDA_std_accuracy,OF_NAR_FIR_PRK_std_accuracy,OF_NAR_FIR_RF_std_accuracy,OF_NAR_FIR_LR_precision,OF_NAR_FIR_NN_precision,OF_NAR_FIR_SVM_precision,OF_NAR_FIR_LDA_precision,OF_NAR_FIR_PRK_precision,OF_NAR_FIR_RF_precision,OF_NAR_FIR_LR_std_precision,OF_NAR_FIR_NN_std_precision,OF_NAR_FIR_SVM_std_precision,OF_NAR_FIR_LDA_std_precision,OF_NAR_FIR_PRK_std_precision,OF_NAR_FIR_RF_std_precision,OF_NAR_FIR_LR_recall,OF_NAR_FIR_NN_recall,OF_NAR_FIR_SVM_recall,OF_NAR_FIR_LDA_recall,OF_NAR_FIR_PRK_recall,OF_NAR_FIR_RF_recall,OF_NAR_FIR_LR_std_recall,OF_NAR_FIR_NN_std_recall,OF_NAR_FIR_SVM_std_recall,OF_NAR_FIR_LDA_std_recall,OF_NAR_FIR_PRK_std_recall,OF_NAR_FIR_RF_std_recall,OF_NAR_FIR_LR_f1,OF_NAR_FIR_NN_f1,OF_NAR_FIR_SVM_f1,OF_NAR_FIR_LDA_f1,OF_NAR_FIR_PRK_f1,OF_NAR_FIR_RF_f1,OF_NAR_FIR_LR_std_f1,OF_NAR_FIR_NN_std_f1,OF_NAR_FIR_SVM_std_f1,OF_NAR_FIR_LDA_std_f1,OF_NAR_FIR_PRK_std_f1,OF_NAR_FIR_RF_std_f1,OF_NAR_FIR_LR_roc_auc,OF_NAR_FIR_NN_roc_auc,OF_NAR_FIR_SVM_roc_auc,OF_NAR_FIR_LDA_roc_auc,OF_NAR_FIR_PRK_roc_auc,OF_NAR_FIR_RF_roc_auc,OF_NAR_FIR_LR_std_roc_auc,OF_NAR_FIR_NN_std_roc_auc,OF_NAR_FIR_SVM_std_roc_auc,OF_NAR_FIR_LDA_std_roc_auc,OF_NAR_FIR_PRK_std_roc_auc,OF_NAR_FIR_RF_std_roc_auc,OF_NAR_FIR_LR_balanced_accuracy,OF_NAR_FIR_NN_balanced_accuracy,OF_NAR_FIR_SVM_balanced_accuracy,OF_NAR_FIR_LDA_balanced_accuracy,OF_NAR_FIR_PRK_balanced_accuracy,OF_NAR_FIR_RF_balanced_accuracy,OF_NAR_FIR_LR_std_balanced_accuracy,OF_NAR_FIR_NN_std_balanced_accuracy,OF_NAR_FIR_SVM_std_balanced_accuracy,OF_NAR_FIR_LDA_std_balanced_accuracy,OF_NAR_FIR_PRK_std_balanced_accuracy,OF_NAR_FIR_RF_std_balanced_accuracy,OF_NAR_FIR_LR_mcc,OF_NAR_FIR_NN_mcc,OF_NAR_FIR_SVM_mcc,OF_NAR_FIR_LDA_mcc,OF_NAR_FIR_PRK_mcc,OF_NAR_FIR_RF_mcc,OF_NAR_FIR_LR_std_mcc,OF_NAR_FIR_NN_std_mcc,OF_NAR_FIR_SVM_std_mcc,OF_NAR_FIR_LDA_std_mcc,OF_NAR_FIR_PRK_std_mcc,OF_NAR_FIR_RF_std_mcc
0,IP102,0.775455,0.889091,0.910909,0.9,0.790909,0.526364,0.035687,0.029261,0.005455,0.018182,0.029034,0.021685,0.200552,0.422944,0.2,0.386081,0.264137,0.101887,0.04574,0.243841,0.4,0.229003,0.055008,0.02101,0.475556,0.302222,0.02,0.181111,0.736061,0.547778,0.052068,0.132665,0.04,0.146401,0.151645,0.124231,0.279693,0.328579,0.036364,0.229421,0.387606,0.171787,0.046851,0.129343,0.072727,0.152303,0.077786,0.035878,0.676297,0.770798,0.719237,0.755018,0.807383,0.5,0.058708,0.050505,0.056719,0.072667,0.088842,0.0,0.640411,0.624636,0.5095,0.576085,0.76617,0.536117,0.031568,0.067614,0.020304,0.069465,0.080275,0.06803,0.197602,0.286382,0.057549,0.209794,0.351573,0.040695,0.055569,0.149822,0.122998,0.163646,0.104797,0.07672
1,IP104,0.787273,0.9,0.922727,0.904545,0.829091,0.502727,0.052255,0.023706,0.013016,0.056517,0.042212,0.02441,0.194415,0.426508,0.86,0.585159,0.322149,0.079245,0.079253,0.217855,0.209656,0.194522,0.067924,0.026415,0.406364,0.277273,0.209091,0.407273,0.713005,0.414545,0.170563,0.153486,0.130795,0.17195,0.141269,0.133806,0.260555,0.332027,0.314509,0.445916,0.43578,0.133036,0.105842,0.173316,0.16207,0.173499,0.076314,0.044069,0.670348,0.765907,0.841707,0.778482,0.830935,0.5,0.101982,0.071279,0.041933,0.103465,0.061931,0.0,0.616106,0.620126,0.602045,0.681126,0.7769,0.463035,0.092232,0.081218,0.064891,0.084587,0.067091,0.073628,0.171111,0.290809,0.37937,0.424295,0.397537,-0.042357,0.132906,0.189051,0.138907,0.174043,0.090808,0.084898
2,IP105,0.871818,0.924545,0.93,0.918182,0.813636,0.528182,0.0228,0.019091,0.015772,0.015746,0.038408,0.033141,0.365006,0.660198,0.86,0.605,0.313302,0.10566,0.072756,0.166487,0.18412,0.176821,0.06235,0.033962,0.523636,0.426364,0.297273,0.386364,0.820328,0.555455,0.119586,0.142959,0.141658,0.094585,0.104449,0.18202,0.428021,0.501373,0.423658,0.463515,0.44975,0.17753,0.086856,0.129153,0.16125,0.097878,0.07127,0.05723,0.835876,0.865847,0.868865,0.891035,0.906301,0.5,0.057902,0.049799,0.039307,0.05181,0.039342,0.0,0.715253,0.700672,0.645636,0.679177,0.816631,0.540485,0.061182,0.070406,0.071586,0.048609,0.049439,0.10012,0.367479,0.484778,0.46691,0.438303,0.428784,0.046509,0.099065,0.129952,0.144899,0.114541,0.076271,0.115248
3,IP106,0.850909,0.895455,0.913636,0.904545,0.709091,0.502727,0.039249,0.030762,0.009315,0.034317,0.047412,0.025078,0.280509,0.42994,0.65,0.57381,0.198069,0.079245,0.073317,0.205901,0.390512,0.307355,0.037924,0.02773,0.388182,0.25,0.12,0.249091,0.702475,0.413636,0.160065,0.128452,0.074833,0.181053,0.1428,0.13565,0.317539,0.297724,0.195022,0.297851,0.307243,0.132986,0.10128,0.142856,0.114937,0.170859,0.055883,0.046002,0.747636,0.771354,0.760742,0.779854,0.763942,0.5,0.064721,0.074652,0.084014,0.071477,0.083901,0.0,0.643061,0.60548,0.557,0.610035,0.70605,0.462586,0.075173,0.061986,0.036414,0.07981,0.066587,0.074749,0.246781,0.267168,0.248556,0.306124,0.254727,-0.042621,0.113139,0.152399,0.148002,0.165367,0.081602,0.086728
4,IP107,0.755455,0.905455,0.915455,0.907273,0.8,0.519091,0.047141,0.027029,0.016288,0.017628,0.050779,0.027106,0.164917,0.511818,0.8,0.451645,0.273803,0.096226,0.073093,0.208324,0.331662,0.230557,0.073495,0.027277,0.399091,0.328182,0.14,0.308182,0.65351,0.506364,0.174794,0.143536,0.08,0.159153,0.126687,0.147713,0.232656,0.385437,0.230786,0.358387,0.381316,0.161706,0.102067,0.151052,0.120109,0.172365,0.087269,0.046049,0.648087,0.739003,0.776375,0.790122,0.802164,0.5,0.117616,0.095027,0.077634,0.071303,0.06324,0.0,0.595409,0.646061,0.566985,0.638071,0.734222,0.513434,0.099429,0.073237,0.042409,0.076069,0.072206,0.081306,0.133153,0.35497,0.3016,0.326429,0.328781,0.01513,0.138015,0.16528,0.150041,0.174732,0.106531,0.093881
5,IP108,0.721818,0.9,0.907273,0.921818,0.757273,0.519091,0.039668,0.027872,0.003636,0.021203,0.051754,0.029444,0.138195,0.44381,0.0,0.685714,0.238486,0.096226,0.042962,0.192549,0.0,0.25981,0.044896,0.030946,0.398182,0.337273,0.0,0.299091,0.713535,0.504545,0.169579,0.157115,0.0,0.156112,0.109939,0.161821,0.203363,0.379851,0.0,0.400136,0.354238,0.161607,0.067745,0.169635,0.0,0.174047,0.057142,0.051911,0.587063,0.745722,0.685949,0.822054,0.789543,0.5,0.098664,0.095161,0.072051,0.062942,0.079027,0.0,0.576465,0.647106,0.4995,0.642035,0.737676,0.512535,0.076832,0.084185,0.0015,0.078762,0.053705,0.08901,0.098715,0.332352,-0.003029,0.410733,0.309101,0.014601,0.097261,0.184291,0.009087,0.185206,0.071946,0.102469
6,IP109,0.819091,0.873636,0.905455,0.907273,0.755455,0.513636,0.062384,0.020909,0.007273,0.014545,0.03,0.019604,0.228331,0.229286,0.183333,0.51369,0.229666,0.090566,0.090266,0.139431,0.320156,0.22003,0.024335,0.022004,0.347273,0.197273,0.048182,0.246364,0.713535,0.473636,0.113312,0.159754,0.077358,0.124612,0.136317,0.105662,0.269668,0.204004,0.072436,0.316884,0.345415,0.152034,0.093714,0.1453,0.115101,0.131471,0.036662,0.036376,0.709718,0.722914,0.704261,0.751737,0.800615,0.5,0.089177,0.100828,0.078656,0.069545,0.053219,0.0,0.60699,0.569601,0.520091,0.610162,0.737084,0.495586,0.066056,0.076049,0.035676,0.060839,0.066681,0.058247,0.182356,0.142966,0.071358,0.30286,0.300841,-0.004649,0.114403,0.146348,0.140366,0.137353,0.066498,0.067699
7,IP111,0.797273,0.922727,0.921818,0.925455,0.829091,0.504545,0.036147,0.018295,0.01532,0.026907,0.026285,0.022727,0.238611,0.651389,0.66,0.665278,0.323326,0.081132,0.04874,0.291085,0.373214,0.230526,0.030468,0.023941,0.534545,0.328182,0.219091,0.457273,0.784369,0.425455,0.109605,0.150341,0.154355,0.17703,0.117462,0.125098,0.328142,0.422193,0.315137,0.522721,0.45668,0.13626,0.062003,0.175932,0.20304,0.173072,0.046139,0.040151,0.732434,0.806766,0.841555,0.891983,0.870259,0.5,0.057954,0.039623,0.052197,0.036852,0.043979,0.0,0.679141,0.655571,0.606045,0.715111,0.809007,0.468985,0.057168,0.074028,0.076736,0.089954,0.057995,0.068801,0.256729,0.420512,0.344971,0.50443,0.428581,-0.035764,0.0807,0.187624,0.214321,0.184867,0.069036,0.07915
8,IP112,0.866364,0.920909,0.921818,0.93,0.843636,0.520909,0.015239,0.005821,0.014771,0.014113,0.039585,0.032025,0.321281,0.626865,0.599444,0.71881,0.349443,0.098113,0.054836,0.068174,0.3433,0.118997,0.094149,0.034585,0.415455,0.366364,0.247273,0.397273,0.767273,0.512727,0.122714,0.089447,0.195689,0.136427,0.150437,0.173215,0.356518,0.453431,0.32835,0.501106,0.477632,0.164683,0.075756,0.071786,0.218045,0.120278,0.110366,0.057594,0.797691,0.846528,0.865285,0.831321,0.880023,0.5,0.059709,0.053432,0.071876,0.08771,0.080744,0.0,0.663687,0.671672,0.618636,0.690631,0.809586,0.517136,0.053513,0.041473,0.095315,0.067576,0.087144,0.095438,0.290432,0.436327,0.345847,0.49691,0.445356,0.020402,0.078636,0.059317,0.214842,0.118383,0.133258,0.110688
9,IP113,0.817273,0.901818,0.910909,0.900909,0.74,0.513636,0.032639,0.01616,0.006803,0.019688,0.052413,0.017838,0.201906,0.43869,0.2,0.416667,0.216334,0.090566,0.092133,0.243601,0.4,0.197203,0.060213,0.018487,0.354545,0.274545,0.03,0.178182,0.681328,0.475455,0.161399,0.179936,0.064031,0.107504,0.156525,0.098001,0.254054,0.312785,0.051515,0.236333,0.327049,0.152133,0.112105,0.163337,0.108458,0.124544,0.085206,0.031063,0.674003,0.73228,0.737333,0.72584,0.792154,0.5,0.094914,0.112723,0.118134,0.105202,0.103211,0.0,0.609187,0.619727,0.515,0.576071,0.713486,0.496485,0.073639,0.082829,0.032016,0.049781,0.08981,0.053904,0.169665,0.285991,0.073322,0.221425,0.272746,-0.004121,0.121842,0.166169,0.149388,0.128953,0.117222,0.062043
