,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.764545
0    0.904545
0    0.910000
0    0.893636
0    0.780909
0    0.526364
Name: mean_test_accuracy, dtype: float64","0    0.041946
0    0.015347
0    0.007551
0    0.018653
0    0.030274
0    0.021685
Name: std_test_accuracy, dtype: float64","0    0.178141
0    0.370357
0    0.250000
0    0.333626
0    0.247421
0    0.101887
Name: mean_test_precision, dtype: float64","0    0.059180
0    0.266994
0    0.403113
0    0.189372
0    0.053847
0    0.021010
Name: std_test_precision, dtype: float64","0    0.425556
0    0.210000
0    0.030000
0    0.180000
0    0.696768
0    0.547778
Name: mean_test_recall, dtype: float64","0    0.103763
0    0.157797
0    0.045826
0    0.132665
0    0.159478
0    0.124231
Name: std_test_recall, dtype: float64","0    0.248814
0    0.260980
0    0.053030
0    0.222302
0    0.363581
0    0.171787
Name: mean_test_f1, dtype: float64","0    0.071435
0    0.193084
0    0.081100
0    0.143050
0    0.076269
0    0.035878
Name: std_test_f1, dtype: float64","0    0.658316
0    0.749027
0    0.717957
0    0.745828
0    0.792307
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.064119
0    0.058226
0    0.058415
0    0.076005
0    0.090448
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.611921
0    0.591515
0    0.513500
0    0.572025
0    0.743018
0    0.536117
Name: mean_test_balanced_accuracy, dtype: float64","0    0.057727
0    0.077473
0    0.023027
0    0.064041
0    0.081812
0    0.068030
Name: std_test_balanced_accuracy, dtype: float64","0    0.157501
0    0.231002
0    0.075640
0    0.187639
0    0.319828
0    0.040695
Name: mean_test_mcc, dtype: float64","0    0.088607
0    0.200782
0    0.128695
0    0.151420
0    0.104211
0    0.076720
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.806364
0    0.910000
0    0.920909
0    0.904545
0    0.833636
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.043418
0    0.015455
0    0.017745
0    0.029668
0    0.024069
0    0.024410
Name: std_test_accuracy, dtype: float64","0    0.217002
0    0.530119
0    0.644722
0    0.530833
0    0.311773
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.068167
0    0.196096
0    0.311776
0    0.223049
0    0.045325
0    0.026415
Name: std_test_precision, dtype: float64","0    0.425455
0    0.307273
0    0.287273
0    0.337273
0    0.673712
0    0.414545
Name: mean_test_recall, dtype: float64","0    0.147138
0    0.137918
0    0.175819
0    0.129171
0    0.135112
0    0.133806
Name: std_test_recall, dtype: float64","0    0.284779
0    0.373621
0    0.375233
0    0.393300
0    0.423551
0    0.133036
Name: mean_test_f1, dtype: float64","0    0.093587
0    0.138523
0    0.204148
0    0.142822
0    0.063742
0    0.044069
Name: std_test_f1, dtype: float64","0    0.694238
0    0.757750
0    0.826614
0    0.777161
0    0.825416
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.084090
0    0.082513
0    0.048737
0    0.088787
0    0.066338
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.635146
0    0.639121
0    0.636131
0    0.649631
0    0.761755
0    0.463035
Name: mean_test_balanced_accuracy, dtype: float64","0    0.072375
0    0.067450
0    0.086560
0    0.064786
0    0.062230
0    0.073628
Name: std_test_balanced_accuracy, dtype: float64","0    0.202945
0    0.351236
0    0.382992
0    0.365700
0    0.378410
0   -0.042357
Name: mean_test_mcc, dtype: float64","0    0.108927
0    0.142984
0    0.208177
0    0.158192
0    0.080069
0    0.084898
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.872727
0    0.929091
0    0.932727
0    0.910909
0    0.836364
0    0.528182
Name: mean_test_accuracy, dtype: float64","0    0.022998
0    0.017628
0    0.016364
0    0.023983
0    0.028748
0    0.033141
Name: std_test_accuracy, dtype: float64","0    0.370471
0    0.702381
0    0.779167
0    0.541230
0    0.334241
0    0.105660
Name: mean_test_precision, dtype: float64","0    0.083029
0    0.190782
0    0.157817
0    0.177657
0    0.056157
0    0.033962
Name: std_test_precision, dtype: float64","0    0.522727
0    0.436364
0    0.377273
0    0.356364
0    0.772146
0    0.555455
Name: mean_test_recall, dtype: float64","0    0.103193
0    0.121696
0    0.134549
0    0.119282
0    0.134877
0    0.182020
Name: std_test_recall, dtype: float64","0    0.431293
0    0.527233
0    0.498230
0    0.424758
0    0.464118
0    0.177530
Name: mean_test_f1, dtype: float64","0    0.085722
0    0.116656
0    0.141935
0    0.132690
0    0.071470
0    0.057230
Name: std_test_f1, dtype: float64","0    0.816887
0    0.864349
0    0.873238
0    0.864594
0    0.884657
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.037811
0    0.055216
0    0.044666
0    0.072041
0    0.051593
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.715318
0    0.707682
0    0.683136
0    0.661672
0    0.807472
0    0.540485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.054677
0    0.062302
0    0.068360
0    0.064872
0    0.067741
0    0.100120
Name: std_test_balanced_accuracy, dtype: float64","0    0.370623
0    0.513346
0    0.507894
0    0.391219
0    0.434353
0    0.046509
Name: mean_test_mcc, dtype: float64","0    0.096942
0    0.130115
0    0.139595
0    0.148902
0    0.090452
0    0.115248
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.839091
0    0.900909
0    0.908182
0    0.900000
0    0.790000
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.039637
0    0.020909
0    0.010325
0    0.029598
0    0.032639
0    0.025078
Name: std_test_accuracy, dtype: float64","0    0.250145
0    0.514583
0    0.466667
0    0.405556
0    0.240664
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.072439
0    0.221667
0    0.363624
0    0.233135
0    0.042289
0    0.027730
Name: std_test_precision, dtype: float64","0    0.367273
0    0.219091
0    0.119091
0    0.228182
0    0.592475
0    0.413636
Name: mean_test_recall, dtype: float64","0    0.168964
0    0.125800
0    0.087429
0    0.195548
0    0.161250
0    0.135650
Name: std_test_recall, dtype: float64","0    0.285688
0    0.273305
0    0.184066
0    0.261070
0    0.337457
0    0.132986
Name: mean_test_f1, dtype: float64","0    0.089673
0    0.101777
0    0.132804
0    0.187596
0    0.054777
0    0.046002
Name: std_test_f1, dtype: float64","0    0.718769
0    0.765872
0    0.755883
0    0.764017
0    0.749951
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.055156
0    0.051263
0    0.066126
0    0.090666
0    0.087556
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.627096
0    0.594530
0    0.553545
0    0.598081
0    0.701642
0    0.462586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.069065
0    0.051462
0    0.044040
0    0.089656
0    0.072038
0    0.074749
Name: std_test_balanced_accuracy, dtype: float64","0    0.212932
0    0.270356
0    0.197884
0    0.243466
0    0.276869
0   -0.042621
Name: mean_test_mcc, dtype: float64","0    0.099317
0    0.098103
0    0.166598
0    0.184857
0    0.083798
0    0.086728
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.772727
0    0.899091
0    0.912727
0    0.901818
0    0.785455
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.038996
0    0.023863
0    0.017814
0    0.015103
0    0.051938
0    0.027106
Name: std_test_accuracy, dtype: float64","0    0.172826
0    0.533532
0    0.552778
0    0.410173
0    0.264780
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.050435
0    0.282839
0    0.278080
0    0.191980
0    0.065510
0    0.027277
Name: std_test_precision, dtype: float64","0    0.388182
0    0.259091
0    0.239091
0    0.249091
0    0.701894
0    0.506364
Name: mean_test_recall, dtype: float64","0    0.140074
0    0.121237
0    0.136609
0    0.137041
0    0.122207
0    0.147713
Name: std_test_recall, dtype: float64","0    0.237375
0    0.311887
0    0.319065
0    0.302218
0    0.381324
0    0.161706
Name: mean_test_f1, dtype: float64","0    0.073592
0    0.132519
0    0.163460
0    0.152132
0    0.080443
0    0.046049
Name: std_test_f1, dtype: float64","0    0.657042
0    0.743771
0    0.773211
0    0.778992
0    0.801150
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.103461
0    0.103388
0    0.086328
0    0.081963
0    0.063822
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.599965
0    0.611525
0    0.610025
0    0.608535
0    0.747788
0    0.513434
Name: mean_test_balanced_accuracy, dtype: float64","0    0.072385
0    0.059295
0    0.066826
0    0.065955
0    0.069383
0    0.081306
Name: std_test_balanced_accuracy, dtype: float64","0    0.142374
0    0.297120
0    0.317535
0    0.268237
0    0.335439
0    0.015130
Name: mean_test_mcc, dtype: float64","0    0.098698
0    0.130430
0    0.174394
0    0.156168
0    0.100695
0    0.093881
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.714545
0    0.897273
0    0.911818
0    0.920000
0    0.750909
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.039459
0    0.025078
0    0.005821
0    0.018542
0    0.087121
0    0.029444
Name: std_test_accuracy, dtype: float64","0    0.133493
0    0.446436
0    0.266667
0    0.646190
0    0.234322
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.035368
0    0.174714
0    0.416333
0    0.218644
0    0.071004
0    0.030946
Name: std_test_precision, dtype: float64","0    0.388182
0    0.298182
0    0.049091
0    0.309091
0    0.641111
0    0.504545
Name: mean_test_recall, dtype: float64","0    0.132743
0    0.091615
0    0.080103
0    0.159026
0    0.097925
0    0.161821
Name: std_test_recall, dtype: float64","0    0.197213
0    0.351905
0    0.080769
0    0.399992
0    0.336627
0    0.161607
Name: mean_test_f1, dtype: float64","0    0.053904
0    0.112583
0    0.129741
0    0.164061
0    0.078556
0    0.051911
Name: std_test_f1, dtype: float64","0    0.584325
0    0.698900
0    0.747965
0    0.808481
0    0.738244
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.097346
0    0.084762
0    0.057584
0    0.067069
0    0.101465
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.567980
0    0.628066
0    0.524045
0    0.645535
0    0.701418
0    0.512535
Name: mean_test_balanced_accuracy, dtype: float64","0    0.059284
0    0.051262
0    0.039127
0    0.078800
0    0.065266
0    0.089010
Name: std_test_balanced_accuracy, dtype: float64","0    0.088104
0    0.308807
0    0.105303
0    0.401179
0    0.274392
0    0.014601
Name: mean_test_mcc, dtype: float64","0    0.076485
0    0.132262
0    0.164112
0    0.166027
0    0.098311
0    0.102469
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.825455
0    0.888182
0    0.900909
0    0.900000
0    0.734545
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.048583
0    0.013515
0    0.012498
0    0.010757
0    0.041818
0    0.019604
Name: std_test_accuracy, dtype: float64","0    0.243164
0    0.234167
0    0.266667
0    0.407500
0    0.218157
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.093446
0    0.168509
0    0.317980
0    0.141640
0    0.042722
0    0.022004
Name: std_test_precision, dtype: float64","0    0.366364
0    0.147273
0    0.087273
0    0.216364
0    0.720361
0    0.473636
Name: mean_test_recall, dtype: float64","0    0.089447
0    0.108392
0    0.108727
0    0.135683
0    0.110139
0    0.105662
Name: std_test_recall, dtype: float64","0    0.287698
0    0.177254
0    0.123154
0    0.267664
0    0.332943
0    0.152034
Name: mean_test_f1, dtype: float64","0    0.091462
0    0.124936
0    0.145242
0    0.129343
0    0.054774
0    0.036376
Name: std_test_f1, dtype: float64","0    0.697409
0    0.736127
0    0.733233
0    0.752509
0    0.778029
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.086370
0    0.086067
0    0.081046
0    0.061853
0    0.066526
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.619071
0    0.555126
0    0.535136
0    0.592662
0    0.728510
0    0.495586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.056676
0    0.048865
0    0.051599
0    0.063822
0    0.064247
0    0.058247
Name: std_test_balanced_accuracy, dtype: float64","0    0.202799
0    0.133377
0    0.110845
0    0.240998
0    0.286041
0   -0.004649
Name: mean_test_mcc, dtype: float64","0    0.108306
0    0.120708
0    0.171537
0    0.124268
0    0.078058
0    0.067699
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.804545
0    0.912727
0    0.919091
0    0.924545
0    0.814545
0    0.504545
Name: mean_test_accuracy, dtype: float64","0    0.027044
0    0.021590
0    0.021301
0    0.026983
0    0.039249
0    0.022727
Name: std_test_accuracy, dtype: float64","0    0.225469
0    0.570476
0    0.588095
0    0.643506
0    0.301033
0    0.081132
Name: mean_test_precision, dtype: float64","0    0.044102
0    0.279561
0    0.304317
0    0.186081
0    0.063849
0    0.023941
Name: std_test_precision, dtype: float64","0    0.456364
0    0.249091
0    0.249091
0    0.438182
0    0.743258
0    0.425455
Name: mean_test_recall, dtype: float64","0    0.094633
0    0.129538
0    0.181053
0    0.176925
0    0.139822
0    0.125098
Name: std_test_recall, dtype: float64","0    0.301041
0    0.339275
0    0.337029
0    0.507998
0    0.425967
0    0.136260
Name: mean_test_f1, dtype: float64","0    0.057489
0    0.164664
0    0.223393
0    0.173432
0    0.080512
0    0.040151
Name: std_test_f1, dtype: float64","0    0.696616
0    0.764406
0    0.826362
0    0.867991
0    0.847098
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.053063
0    0.048713
0    0.061431
0    0.043736
0    0.047905
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.648076
0    0.614530
0    0.618040
0    0.706076
0    0.782450
0    0.468985
Name: mean_test_balanced_accuracy, dtype: float64","0    0.051913
0    0.068170
0    0.091650
0    0.091073
0    0.071523
0    0.068801
Name: std_test_balanced_accuracy, dtype: float64","0    0.220119
0    0.333887
0    0.342543
0    0.486554
0    0.390116
0   -0.035764
Name: mean_test_mcc, dtype: float64","0    0.074851
0    0.188169
0    0.232290
0    0.180357
0    0.100747
0    0.079150
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.878182
0    0.922727
0    0.920000
0    0.930909
0    0.830000
0    0.520909
Name: mean_test_accuracy, dtype: float64","0    0.021590
0    0.012365
0    0.012060
0    0.017344
0    0.038365
0    0.032025
Name: std_test_accuracy, dtype: float64","0    0.370227
0    0.633254
0    0.690000
0    0.721667
0    0.321125
0    0.098113
Name: mean_test_precision, dtype: float64","0    0.083892
0    0.108554
0    0.190788
0    0.132926
0    0.087264
0    0.034585
Name: std_test_precision, dtype: float64","0    0.425455
0    0.397273
0    0.287273
0    0.398182
0    0.737273
0    0.512727
Name: mean_test_recall, dtype: float64","0    0.087462
0    0.112305
0    0.144611
0    0.163576
0    0.181019
0    0.173215
Name: std_test_recall, dtype: float64","0    0.392449
0    0.478933
0    0.378698
0    0.499698
0    0.443591
0    0.164683
Name: mean_test_f1, dtype: float64","0    0.075158
0    0.101704
0    0.143703
0    0.157282
0    0.108210
0    0.057594
Name: std_test_f1, dtype: float64","0    0.811706
0    0.848241
0    0.868653
0    0.825963
0    0.882261
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.067791
0    0.050171
0    0.062287
0    0.082326
0    0.077314
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.674692
0    0.686631
0    0.635631
0    0.691586
0    0.788640
0    0.517136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.046352
0    0.054914
0    0.069469
0    0.081591
0    0.094120
0    0.095438
Name: std_test_balanced_accuracy, dtype: float64","0    0.328553
0    0.458904
0    0.393128
0    0.497645
0    0.407901
0    0.020402
Name: mean_test_mcc, dtype: float64","0    0.085991
0    0.098859
0    0.122249
0    0.150761
0    0.133181
0    0.110688
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.806364
0    0.896364
0    0.915455
0    0.899091
0    0.763636
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.034027
0    0.020810
0    0.005821
0    0.020510
0    0.062191
0    0.017838
Name: std_test_accuracy, dtype: float64","0    0.176480
0    0.345238
0    0.600000
0    0.402460
0    0.233038
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.109240
0    0.266305
0    0.489898
0    0.214837
0    0.070100
0    0.018487
Name: std_test_precision, dtype: float64","0    0.314545
0    0.165455
0    0.078182
0    0.208182
0    0.651082
0    0.475455
Name: mean_test_recall, dtype: float64","0    0.186583
0    0.138874
0    0.072065
0    0.104719
0    0.153739
0    0.098001
Name: std_test_recall, dtype: float64","0    0.224727
0    0.216203
0    0.136830
0    0.270088
0    0.342038
0    0.152133
Name: mean_test_f1, dtype: float64","0    0.135581
0    0.166344
0    0.122798
0    0.137187
0    0.096397
0    0.031063
Name: std_test_f1, dtype: float64","0    0.672886
0    0.758582
0    0.764279
0    0.770866
0    0.778780
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.085031
0    0.109051
0    0.110456
0    0.083415
0    0.097130
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.585192
0    0.567702
0    0.539091
0    0.588566
0    0.712806
0    0.496485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.095476
0    0.070286
0    0.036033
0    0.054242
0    0.095088
0    0.053904
Name: std_test_balanced_accuracy, dtype: float64","0    0.131765
0    0.187170
0    0.205014
0    0.239028
0    0.283401
0   -0.004121
Name: mean_test_mcc, dtype: float64","0    0.154781
0    0.185557
0    0.172776
0    0.152525
0    0.130276
0    0.062043
Name: std_test_mcc, dtype: float64"
