,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.687273
Name: mean_test_accuracy, dtype: float64","0    0.173656
Name: mean_test_precision, dtype: float64","0    0.645049
Name: mean_test_recall, dtype: float64","0    0.272964
Name: mean_test_f1, dtype: float64","0    0.7079
Name: mean_test_roc_auc, dtype: float64","0    0.668257
Name: mean_test_balanced_accuracy, dtype: float64","0    0.20526
Name: mean_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.78
Name: mean_test_accuracy, dtype: float64","0    0.250601
Name: mean_test_precision, dtype: float64","0    0.702549
Name: mean_test_recall, dtype: float64","0    0.369333
Name: mean_test_f1, dtype: float64","0    0.797255
Name: mean_test_roc_auc, dtype: float64","0    0.745164
Name: mean_test_balanced_accuracy, dtype: float64","0    0.323873
Name: mean_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.782727
Name: mean_test_accuracy, dtype: float64","0    0.267861
Name: mean_test_precision, dtype: float64","0    0.792941
Name: mean_test_recall, dtype: float64","0    0.4
Name: mean_test_f1, dtype: float64","0    0.869298
Name: mean_test_roc_auc, dtype: float64","0    0.787367
Name: mean_test_balanced_accuracy, dtype: float64","0    0.372775
Name: mean_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.764545
Name: mean_test_accuracy, dtype: float64","0    0.209978
Name: mean_test_precision, dtype: float64","0    0.56451
Name: mean_test_recall, dtype: float64","0    0.306054
Name: mean_test_f1, dtype: float64","0    0.715049
Name: mean_test_roc_auc, dtype: float64","0    0.674642
Name: mean_test_balanced_accuracy, dtype: float64","0    0.234018
Name: mean_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.797273
Name: mean_test_accuracy, dtype: float64","0    0.288957
Name: mean_test_precision, dtype: float64","0    0.652865
Name: mean_test_recall, dtype: float64","0    0.392019
Name: mean_test_f1, dtype: float64","0    0.787307
Name: mean_test_roc_auc, dtype: float64","0    0.732455
Name: mean_test_balanced_accuracy, dtype: float64","0    0.33682
Name: mean_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.749091
Name: mean_test_accuracy, dtype: float64","0    0.215323
Name: mean_test_precision, dtype: float64","0    0.65451
Name: mean_test_recall, dtype: float64","0    0.324041
Name: mean_test_f1, dtype: float64","0    0.732565
Name: mean_test_roc_auc, dtype: float64","0    0.706628
Name: mean_test_balanced_accuracy, dtype: float64","0    0.265935
Name: mean_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.713636
Name: mean_test_accuracy, dtype: float64","0    0.189086
Name: mean_test_precision, dtype: float64","0    0.643922
Name: mean_test_recall, dtype: float64","0    0.292092
Name: mean_test_f1, dtype: float64","0    0.734682
Name: mean_test_roc_auc, dtype: float64","0    0.68233
Name: mean_test_balanced_accuracy, dtype: float64","0    0.227167
Name: mean_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.756364
Name: mean_test_accuracy, dtype: float64","0    0.239594
Name: mean_test_precision, dtype: float64","0    0.715267
Name: mean_test_recall, dtype: float64","0    0.35436
Name: mean_test_f1, dtype: float64","0    0.820002
Name: mean_test_roc_auc, dtype: float64","0    0.73811
Name: mean_test_balanced_accuracy, dtype: float64","0    0.310258
Name: mean_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.755455
Name: mean_test_accuracy, dtype: float64","0    0.243333
Name: mean_test_precision, dtype: float64","0    0.753725
Name: mean_test_recall, dtype: float64","0    0.363135
Name: mean_test_f1, dtype: float64","0    0.859012
Name: mean_test_roc_auc, dtype: float64","0    0.754775
Name: mean_test_balanced_accuracy, dtype: float64","0    0.328121
Name: mean_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.765455
Name: mean_test_accuracy, dtype: float64","0    0.216745
Name: mean_test_precision, dtype: float64","0    0.595173
Name: mean_test_recall, dtype: float64","0    0.317403
Name: mean_test_f1, dtype: float64","0    0.75495
Name: mean_test_roc_auc, dtype: float64","0    0.688993
Name: mean_test_balanced_accuracy, dtype: float64","0    0.251148
Name: mean_test_mcc, dtype: float64"
