,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.796646
0    0.916846
0    0.924834
0    0.888146
0    0.549283
0    0.534204
Name: mean_test_accuracy, dtype: float64","0    0.038563
0    0.019737
0    0.006989
0    0.029747
0    0.084958
0    0.042204
Name: std_test_accuracy, dtype: float64","0    0.104920
0    0.325000
0    0.000000
0    0.125000
0    0.106084
0    0.093333
Name: mean_test_precision, dtype: float64","0    0.094220
0    0.447912
0    0.000000
0    0.154785
0    0.034095
0    0.044222
Name: std_test_precision, dtype: float64","0    0.265000
0    0.085000
0    0.000000
0    0.090000
0    0.765714
0    0.590000
Name: mean_test_recall, dtype: float64","0    0.266505
0    0.105000
0    0.000000
0    0.111355
0    0.264591
0    0.276405
Name: std_test_recall, dtype: float64","0    0.146116
0    0.128889
0    0.000000
0    0.104365
0    0.181502
0    0.161008
Name: mean_test_f1, dtype: float64","0    0.133213
0    0.162936
0    0.000000
0    0.128929
0    0.056959
0    0.075987
Name: std_test_f1, dtype: float64","0    0.603504
0    0.621484
0    0.660296
0    0.653510
0    0.697422
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.092210
0    0.168217
0    0.122262
0    0.090827
0    0.152492
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.552917
0    0.534726
0    0.500000
0    0.521664
0    0.650910
0    0.559670
Name: mean_test_balanced_accuracy, dtype: float64","0    0.126372
0    0.054461
0    0.000000
0    0.060211
0    0.113816
0    0.149975
Name: std_test_balanced_accuracy, dtype: float64","0    0.064162
0    0.132139
0    0.000000
0    0.049224
0    0.135160
0    0.064268
Name: mean_test_mcc, dtype: float64","0    0.166816
0    0.217307
0    0.000000
0    0.139622
0    0.093857
0    0.155569
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.799881
0    0.909020
0    0.920522
0    0.922454
0    0.835174
0    0.499048
Name: mean_test_accuracy, dtype: float64","0    0.029923
0    0.022744
0    0.011182
0    0.023176
0    0.048816
0    0.028642
Name: std_test_accuracy, dtype: float64","0    0.204653
0    0.526786
0    0.673333
0    0.588571
0    0.327889
0    0.078431
Name: mean_test_precision, dtype: float64","0    0.054958
0    0.252331
0    0.292423
0    0.185387
0    0.084191
0    0.029083
Name: std_test_precision, dtype: float64","0    0.434444
0    0.268889
0    0.203333
0    0.378889
0    0.722247
0    0.431111
Name: mean_test_recall, dtype: float64","0    0.138818
0    0.138314
0    0.119262
0    0.196290
0    0.175884
0    0.164640
Name: std_test_recall, dtype: float64","0    0.276501
0    0.339456
0    0.297792
0    0.447896
0    0.441318
0    0.132678
Name: mean_test_f1, dtype: float64","0    0.078049
0    0.150473
0    0.155334
0    0.195266
0    0.093320
0    0.049378
Name: std_test_f1, dtype: float64","0    0.692761
0    0.766747
0    0.818155
0    0.809638
0    0.846398
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.100692
0    0.084100
0    0.072747
0    0.085699
0    0.061053
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.635232
0    0.620250
0    0.596935
0    0.677350
0    0.784183
0    0.468445
Name: mean_test_balanced_accuracy, dtype: float64","0    0.070524
0    0.070749
0    0.058882
0    0.099399
0    0.080734
0    0.090091
Name: std_test_balanced_accuracy, dtype: float64","0    0.195894
0    0.323504
0    0.329110
0    0.427767
0    0.408069
0   -0.036192
Name: mean_test_mcc, dtype: float64","0    0.099035
0    0.167151
0    0.158872
0    0.196549
0    0.111598
0    0.101813
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.860699
0    0.925957
0    0.933733
0    0.918085
0    0.830411
0    0.511689
Name: mean_test_accuracy, dtype: float64","0    0.028182
0    0.017968
0    0.010401
0    0.027075
0    0.018038
0    0.025707
Name: std_test_accuracy, dtype: float64","0    0.323083
0    0.680397
0    0.854048
0    0.658571
0    0.321819
0    0.094000
Name: mean_test_precision, dtype: float64","0    0.102832
0    0.176800
0    0.131190
0    0.250920
0    0.036937
0    0.026907
Name: std_test_precision, dtype: float64","0    0.477778
0    0.420000
0    0.356667
0    0.377778
0    0.749672
0    0.494444
Name: mean_test_recall, dtype: float64","0    0.193218
0    0.109635
0    0.119510
0    0.097373
0    0.107869
0    0.142573
Name: std_test_recall, dtype: float64","0    0.382022
0    0.509808
0    0.487894
0    0.467469
0    0.448179
0    0.157910
Name: mean_test_f1, dtype: float64","0    0.132181
0    0.115215
0    0.115162
0    0.130088
0    0.046743
0    0.045144
Name: std_test_f1, dtype: float64","0    0.805548
0    0.840204
0    0.863122
0    0.861414
0    0.889751
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.079655
0    0.051516
0    0.049628
0    0.060483
0    0.035327
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.688963
0    0.698721
0    0.674570
0    0.675448
0    0.794259
0    0.503937
Name: mean_test_balanced_accuracy, dtype: float64","0    0.099347
0    0.056034
0    0.058323
0    0.054936
0    0.049661
0    0.078308
Name: std_test_balanced_accuracy, dtype: float64","0    0.316700
0    0.493251
0    0.516744
0    0.452206
0    0.414021
0    0.004680
Name: mean_test_mcc, dtype: float64","0    0.153865
0    0.124829
0    0.096050
0    0.157768
0    0.060415
0    0.089666
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.849960
0    0.913584
0    0.924535
0    0.905564
0    0.764673
0    0.493505
Name: mean_test_accuracy, dtype: float64","0    0.050925
0    0.023128
0    0.007863
0    0.038925
0    0.077166
0    0.026257
Name: std_test_accuracy, dtype: float64","0    0.249792
0    0.488571
0    0.550000
0    0.491310
0    0.203256
0    0.074000
Name: mean_test_precision, dtype: float64","0    0.118639
0    0.313874
0    0.394757
0    0.356945
0    0.089140
0    0.025377
Name: std_test_precision, dtype: float64","0    0.380556
0    0.225000
0    0.140278
0    0.209722
0    0.589167
0    0.441667
Name: mean_test_recall, dtype: float64","0    0.185322
0    0.110205
0    0.113592
0    0.130652
0    0.230905
0    0.154884
Name: std_test_recall, dtype: float64","0    0.290721
0    0.300862
0    0.216465
0    0.273858
0    0.297450
0    0.126710
Name: mean_test_f1, dtype: float64","0    0.129870
0    0.158921
0    0.167166
0    0.175034
0    0.124748
0    0.043515
Name: std_test_f1, dtype: float64","0    0.721265
0    0.719722
0    0.741588
0    0.729892
0    0.756873
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.062527
0    0.098292
0    0.103904
0    0.091462
0    0.129657
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.636567
0    0.600555
0    0.567971
0    0.589135
0    0.685098
0    0.470004
Name: mean_test_balanced_accuracy, dtype: float64","0    0.081881
0    0.057790
0    0.055548
0    0.071286
0    0.122505
0    0.084756
Name: std_test_balanced_accuracy, dtype: float64","0    0.225836
0    0.288503
0    0.254052
0    0.265528
0    0.240081
0   -0.033526
Name: mean_test_mcc, dtype: float64","0    0.139458
0    0.189827
0    0.185254
0    0.206845
0    0.162853
0    0.093240
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.759293
0    0.901649
0    0.915738
0    0.908226
0    0.770543
0    0.513119
Name: mean_test_accuracy, dtype: float64","0    0.036065
0    0.021219
0    0.011770
0    0.017708
0    0.050823
0    0.026507
Name: std_test_accuracy, dtype: float64","0    0.160337
0    0.470357
0    0.690000
0    0.497976
0    0.248824
0    0.088235
Name: mean_test_precision, dtype: float64","0    0.057156
0    0.174103
0    0.192671
0    0.266639
0    0.065931
0    0.028074
Name: std_test_precision, dtype: float64","0    0.380000
0    0.280000
0    0.210000
0    0.270000
0    0.679874
0    0.450000
Name: mean_test_recall, dtype: float64","0    0.172047
0    0.146969
0    0.104403
0    0.155242
0    0.116130
0    0.143178
Name: std_test_recall, dtype: float64","0    0.223648
0    0.335380
0    0.308997
0    0.337843
0    0.361463
0    0.147541
Name: mean_test_f1, dtype: float64","0    0.086197
0    0.155065
0    0.117993
0    0.176780
0    0.080668
0    0.046944
Name: std_test_f1, dtype: float64","0    0.661041
0    0.740597
0    0.782535
0    0.784497
0    0.814506
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.095866
0    0.130025
0    0.090276
0    0.087050
0    0.073159
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.589238
0    0.622952
0    0.599325
0    0.622092
0    0.729822
0    0.484815
Name: mean_test_balanced_accuracy, dtype: float64","0    0.083851
0    0.072921
0    0.051933
0    0.076182
0    0.068787
0    0.078803
Name: std_test_balanced_accuracy, dtype: float64","0    0.123968
0    0.305927
0    0.339046
0    0.317458
0    0.308264
0   -0.017689
Name: mean_test_mcc, dtype: float64","0    0.112773
0    0.155355
0    0.111800
0    0.189078
0    0.100657
0    0.091853
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.749608
0    0.905462
0    0.926723
0    0.910168
0    0.757689
0    0.497731
Name: mean_test_accuracy, dtype: float64","0    0.065338
0    0.021715
0    0.004553
0    0.018402
0    0.045164
0    0.024513
Name: std_test_accuracy, dtype: float64","0    0.114299
0    0.172619
0    0.000000
0    0.303889
0    0.172681
0    0.082717
Name: mean_test_precision, dtype: float64","0    0.098171
0    0.199009
0    0.000000
0    0.193953
0    0.060235
0    0.021528
Name: std_test_precision, dtype: float64","0    0.333333
0    0.083333
0    0.000000
0    0.200000
0    0.623611
0    0.592857
Name: mean_test_recall, dtype: float64","0    0.197203
0    0.083333
0    0.000000
0    0.124722
0    0.216279
0    0.158811
Name: std_test_recall, dtype: float64","0    0.163093
0    0.107607
0    0.000000
0    0.230253
0    0.265905
0    0.145152
Name: mean_test_f1, dtype: float64","0    0.114791
0    0.110571
0    0.000000
0    0.135310
0    0.088047
0    0.037900
Name: std_test_f1, dtype: float64","0    0.599723
0    0.611603
0    0.631859
0    0.774951
0    0.714891
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.108356
0    0.123158
0    0.125118
0    0.094500
0    0.170065
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.557928
0    0.526404
0    0.499367
0    0.582822
0    0.695820
0    0.541674
Name: mean_test_balanced_accuracy, dtype: float64","0    0.097639
0    0.042099
0    0.001899
0    0.058497
0    0.110416
0    0.086442
Name: std_test_balanced_accuracy, dtype: float64","0    0.075971
0    0.078080
0   -0.003007
0    0.197383
0    0.228635
0    0.042581
Name: mean_test_mcc, dtype: float64","0    0.142242
0    0.124150
0    0.009021
0    0.143339
0    0.112743
0    0.089208
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.818085
0    0.877641
0    0.905083
0    0.889454
0    0.734894
0    0.490148
Name: mean_test_accuracy, dtype: float64","0    0.049235
0    0.022170
0    0.012470
0    0.020401
0    0.035422
0    0.021729
Name: std_test_accuracy, dtype: float64","0    0.239905
0    0.299658
0    0.366667
0    0.276082
0    0.225070
0    0.076000
Name: mean_test_precision, dtype: float64","0    0.117546
0    0.213370
0    0.400000
0    0.228734
0    0.029885
0    0.021541
Name: std_test_precision, dtype: float64","0    0.377778
0    0.216667
0    0.084444
0    0.183333
0    0.735747
0    0.391111
Name: mean_test_recall, dtype: float64","0    0.164954
0    0.136919
0    0.128927
0    0.156525
0    0.103159
0    0.104916
Name: std_test_recall, dtype: float64","0    0.289657
0    0.244272
0    0.123030
0    0.215138
0    0.343156
0    0.127232
Name: mean_test_f1, dtype: float64","0    0.133819
0    0.151547
0    0.159609
0    0.179674
0    0.040574
0    0.035701
Name: std_test_f1, dtype: float64","0    0.677836
0    0.693888
0    0.682794
0    0.747454
0    0.779489
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.123796
0    0.120263
0    0.106302
0    0.071438
0    0.068748
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.620866
0    0.581861
0    0.537892
0    0.573294
0    0.735379
0    0.445807
Name: mean_test_balanced_accuracy, dtype: float64","0    0.093746
0    0.068897
0    0.062857
0    0.074823
0    0.049412
0    0.058860
Name: std_test_balanced_accuracy, dtype: float64","0    0.201925
0    0.187766
0    0.138554
0    0.170019
0    0.297215
0   -0.063426
Name: mean_test_mcc, dtype: float64","0    0.156959
0    0.168047
0    0.180975
0    0.183070
0    0.057345
0    0.069541
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.811374
0    0.913701
0    0.918383
0    0.928681
0    0.828258
0    0.499048
Name: mean_test_accuracy, dtype: float64","0    0.039657
0    0.013710
0    0.015726
0    0.017983
0    0.036016
0    0.025091
Name: std_test_accuracy, dtype: float64","0    0.242911
0    0.505000
0    0.563929
0    0.629751
0    0.320621
0    0.070588
Name: mean_test_precision, dtype: float64","0    0.088825
0    0.226575
0    0.401332
0    0.160267
0    0.049657
0    0.026597
Name: std_test_precision, dtype: float64","0    0.494444
0    0.226667
0    0.203333
0    0.454444
0    0.771288
0    0.374444
Name: mean_test_recall, dtype: float64","0    0.156682
0    0.115918
0    0.189284
0    0.182875
0    0.133130
0    0.140550
Name: std_test_recall, dtype: float64","0    0.324573
0    0.310018
0    0.274076
0    0.518204
0    0.447827
0    0.118743
Name: mean_test_f1, dtype: float64","0    0.112616
0    0.150089
0    0.223394
0    0.166829
0    0.053313
0    0.044655
Name: std_test_f1, dtype: float64","0    0.743356
0    0.752761
0    0.793104
0    0.886793
0    0.863019
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.105103
0    0.063753
0    0.074105
0    0.048377
0    0.061026
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.668356
0    0.604055
0    0.595997
0    0.714851
0    0.802557
0    0.442892
Name: mean_test_balanced_accuracy, dtype: float64","0    0.087965
0    0.058438
0    0.092696
0    0.091703
0    0.057017
0    0.077201
Name: std_test_balanced_accuracy, dtype: float64","0    0.250877
0    0.299425
0    0.293255
0    0.494173
0    0.420636
0   -0.065256
Name: mean_test_mcc, dtype: float64","0    0.134861
0    0.160507
0    0.235021
0    0.169954
0    0.067920
0    0.087791
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.880069
0    0.921683
0    0.932604
0    0.919693
0    0.765069
0    0.495505
Name: mean_test_accuracy, dtype: float64","0    0.031176
0    0.020128
0    0.015221
0    0.021131
0    0.047337
0    0.024355
Name: std_test_accuracy, dtype: float64","0    0.316212
0    0.542857
0    0.702857
0    0.532500
0    0.205679
0    0.072000
Name: mean_test_precision, dtype: float64","0    0.141678
0    0.311816
0    0.340463
0    0.288301
0    0.060400
0    0.024000
Name: std_test_precision, dtype: float64","0    0.384722
0    0.297222
0    0.284722
0    0.259722
0    0.669444
0    0.444444
Name: mean_test_recall, dtype: float64","0    0.165044
0    0.151153
0    0.159480
0    0.162927
0    0.212168
0    0.149071
Name: std_test_recall, dtype: float64","0    0.342838
0    0.369737
0    0.381277
0    0.333729
0    0.313622
0    0.123904
Name: mean_test_f1, dtype: float64","0    0.142506
0    0.181111
0    0.190386
0    0.176615
0    0.093075
0    0.041307
Name: std_test_f1, dtype: float64","0    0.777101
0    0.809104
0    0.827801
0    0.806688
0    0.817365
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.094228
0    0.092193
0    0.071613
0    0.089199
0    0.105666
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.654096
0    0.636760
0    0.636985
0    0.618547
0    0.721482
0    0.472211
Name: mean_test_balanced_accuracy, dtype: float64","0    0.089346
0    0.077449
0    0.077843
0    0.083736
0    0.113784
0    0.081317
Name: std_test_balanced_accuracy, dtype: float64","0    0.282134
0    0.356407
0    0.407321
0    0.326018
0    0.273623
0   -0.030252
Name: mean_test_mcc, dtype: float64","0    0.161299
0    0.201956
0    0.194402
0    0.197578
0    0.136103
0    0.087936
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.804
0    0.898
0    0.913
0    0.900
0    0.759
0    0.501
Name: mean_test_accuracy, dtype: float64","0    0.027276
0    0.020881
0    0.011874
0    0.031937
0    0.056824
0    0.023431
Name: std_test_accuracy, dtype: float64","0    0.170216
0    0.319167
0    0.400000
0    0.436111
0    0.230727
0    0.094000
Name: mean_test_precision, dtype: float64","0    0.055445
0    0.269981
0    0.489898
0    0.259406
0    0.063536
0    0.022000
Name: std_test_precision, dtype: float64","0    0.290000
0    0.162222
0    0.066667
0    0.217778
0    0.649380
0    0.507778
Name: mean_test_recall, dtype: float64","0    0.107548
0    0.130450
0    0.101835
0    0.158869
0    0.134689
0    0.126398
Name: std_test_recall, dtype: float64","0    0.213470
0    0.211868
0    0.110000
0    0.281327
0    0.337611
0    0.158588
Name: mean_test_f1, dtype: float64","0    0.072524
0    0.170250
0    0.157797
0    0.189161
0    0.082416
0    0.037414
Name: std_test_f1, dtype: float64","0    0.657624
0    0.731264
0    0.759646
0    0.783109
0    0.796992
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.070459
0    0.093650
0    0.081846
0    0.058629
0    0.098470
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.573278
0    0.567851
0    0.533333
0    0.593962
0    0.709929
0    0.504151
Name: mean_test_balanced_accuracy, dtype: float64","0    0.053130
0    0.064365
0    0.050918
0    0.083989
0    0.076561
0    0.069651
Name: std_test_balanced_accuracy, dtype: float64","0    0.115931
0    0.182721
0    0.151795
0    0.255883
0    0.278208
0    0.004138
Name: mean_test_mcc, dtype: float64","0    0.083768
0    0.182580
0    0.197153
0    0.206258
0    0.108482
0    0.080762
Name: std_test_mcc, dtype: float64"
