,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.768182
0    0.891818
0    0.911818
0    0.899091
0    0.789091
0    0.526364
Name: mean_test_accuracy, dtype: float64","0    0.036193
0    0.015980
0    0.004166
0    0.021685
0    0.027212
0    0.021685
Name: std_test_accuracy, dtype: float64","0    0.177905
0    0.345487
0    0.200000
0    0.431667
0    0.254726
0    0.101887
Name: mean_test_precision, dtype: float64","0    0.049219
0    0.145411
0    0.400000
0    0.295188
0    0.041174
0    0.021010
Name: std_test_precision, dtype: float64","0    0.414444
0    0.270000
0    0.020000
0    0.170000
0    0.696768
0    0.547778
Name: mean_test_recall, dtype: float64","0    0.070632
0    0.148661
0    0.040000
0    0.118743
0    0.134260
0    0.124231
Name: std_test_recall, dtype: float64","0    0.247367
0    0.290595
0    0.036364
0    0.227880
0    0.371597
0    0.171787
Name: mean_test_f1, dtype: float64","0    0.056974
0    0.132543
0    0.072727
0    0.147321
0    0.059976
0    0.035878
Name: std_test_f1, dtype: float64","0    0.655647
0    0.730367
0    0.730487
0    0.742768
0    0.789328
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.063744
0    0.083367
0    0.074173
0    0.086505
0    0.090833
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.608841
0    0.611510
0    0.510000
0    0.570520
0    0.747489
0    0.536117
Name: mean_test_balanced_accuracy, dtype: float64","0    0.046103
0    0.066429
0    0.020000
0    0.061186
0    0.065693
0    0.068030
Name: std_test_balanced_accuracy, dtype: float64","0    0.154711
0    0.244097
0    0.060578
0    0.213138
0    0.328656
0    0.040695
Name: mean_test_mcc, dtype: float64","0    0.071880
0    0.129297
0    0.121157
0    0.167420
0    0.082214
0    0.076720
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.788482
0    0.908410
0    0.915004
0    0.909380
0    0.818742
0    0.525004
Name: mean_test_accuracy, dtype: float64","0    0.038236
0    0.015208
0    0.012727
0    0.021921
0    0.034045
0    0.030424
Name: std_test_accuracy, dtype: float64","0    0.180905
0    0.493373
0    0.591667
0    0.576905
0    0.295493
0    0.101961
Name: mean_test_precision, dtype: float64","0    0.085585
0    0.122371
0    0.354436
0    0.269433
0    0.055125
0    0.033735
Name: std_test_precision, dtype: float64","0    0.380000
0    0.297778
0    0.181111
0    0.276667
0    0.700974
0    0.532222
Name: mean_test_recall, dtype: float64","0    0.174186
0    0.115127
0    0.106927
0    0.117216
0    0.136399
0    0.165212
Name: std_test_recall, dtype: float64","0    0.241000
0    0.365865
0    0.271648
0    0.354746
0    0.413363
0    0.171093
Name: mean_test_f1, dtype: float64","0    0.106522
0    0.120661
0    0.158541
0    0.143830
0    0.075329
0    0.056029
Name: std_test_f1, dtype: float64","0    0.694967
0    0.771436
0    0.820931
0    0.762297
0    0.835056
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.082101
0    0.082083
0    0.054085
0    0.090007
0    0.065592
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.604825
0    0.633806
0    0.584837
0    0.624824
0    0.765716
0    0.528080
Name: mean_test_balanced_accuracy, dtype: float64","0    0.078823
0    0.057322
0    0.055020
0    0.060641
0    0.069193
0    0.091055
Name: std_test_balanced_accuracy, dtype: float64","0    0.152360
0    0.335118
0    0.290853
0    0.343322
0    0.371385
0    0.033514
Name: mean_test_mcc, dtype: float64","0    0.121553
0    0.121081
0    0.188194
0    0.155070
0    0.093529
0    0.105033
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.865791
0    0.925109
0    0.930935
0    0.917362
0    0.806349
0    0.494175
Name: mean_test_accuracy, dtype: float64","0    0.023166
0    0.019406
0    0.014029
0    0.019407
0    0.038394
0    0.023089
Name: std_test_accuracy, dtype: float64","0    0.313604
0    0.633095
0    0.766667
0    0.562121
0    0.285130
0    0.070000
Name: mean_test_precision, dtype: float64","0    0.084337
0    0.213996
0    0.326599
0    0.230851
0    0.067959
0    0.024083
Name: std_test_precision, dtype: float64","0    0.444444
0    0.377778
0    0.266667
0    0.344444
0    0.766219
0    0.388889
Name: mean_test_recall, dtype: float64","0    0.149071
0    0.166296
0    0.142292
0    0.168142
0    0.120562
0    0.133795
Name: std_test_recall, dtype: float64","0    0.364151
0    0.457398
0    0.384452
0    0.408273
0    0.411230
0    0.118644
Name: mean_test_f1, dtype: float64","0    0.101338
0    0.162108
0    0.183911
0    0.164098
0    0.079061
0    0.040819
Name: std_test_f1, dtype: float64","0    0.779091
0    0.820447
0    0.839723
0    0.846478
0    0.866476
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.077246
0    0.047014
0    0.059879
0    0.070269
0    0.051965
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.675316
0    0.677690
0    0.630662
0    0.658381
0    0.788220
0    0.446578
Name: mean_test_balanced_accuracy, dtype: float64","0    0.074812
0    0.084188
0    0.070846
0    0.081981
0    0.060850
0    0.073101
Name: std_test_balanced_accuracy, dtype: float64","0    0.299792
0    0.444069
0    0.423231
0    0.390373
0    0.384356
0   -0.060393
Name: mean_test_mcc, dtype: float64","0    0.116722
0    0.167809
0    0.193616
0    0.174431
0    0.089778
0    0.082646
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.834936
0    0.904945
0    0.913626
0    0.901172
0    0.795549
0    0.507647
Name: mean_test_accuracy, dtype: float64","0    0.034055
0    0.020074
0    0.007455
0    0.028130
0    0.036917
0    0.024115
Name: std_test_accuracy, dtype: float64","0    0.250452
0    0.495476
0    0.616667
0    0.448095
0    0.227327
0    0.090196
Name: mean_test_precision, dtype: float64","0    0.069133
0    0.261759
0    0.380424
0    0.349320
0    0.062015
0    0.023529
Name: std_test_precision, dtype: float64","0    0.407778
0    0.261111
0    0.114444
0    0.198889
0    0.530076
0    0.485556
Name: mean_test_recall, dtype: float64","0    0.145810
0    0.133634
0    0.069575
0    0.140233
0    0.211646
0    0.131191
Name: std_test_recall, dtype: float64","0    0.304450
0    0.320494
0    0.187902
0    0.254091
0    0.313686
0    0.152077
Name: mean_test_f1, dtype: float64","0    0.089316
0    0.145846
0    0.110128
0    0.179678
0    0.091380
0    0.039784
Name: std_test_f1, dtype: float64","0    0.706281
0    0.754250
0    0.766188
0    0.738436
0    0.728455
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.067400
0    0.088138
0    0.089789
0    0.104433
0    0.120490
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.642623
0    0.615225
0    0.554059
0    0.585206
0    0.676274
0    0.497778
Name: mean_test_balanced_accuracy, dtype: float64","0    0.061529
0    0.062922
0    0.034603
0    0.068033
0    0.098180
0    0.072316
Name: std_test_balanced_accuracy, dtype: float64","0    0.230109
0    0.302687
0    0.236606
0    0.241282
0    0.246262
0   -0.002965
Name: mean_test_mcc, dtype: float64","0    0.095126
0    0.156622
0    0.144812
0    0.200951
0    0.123559
0    0.082656
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.762130
0    0.901468
0    0.919637
0    0.901519
0    0.775817
0    0.487002
Name: mean_test_accuracy, dtype: float64","0    0.039508
0    0.027354
0    0.017682
0    0.021774
0    0.060774
0    0.026656
Name: std_test_accuracy, dtype: float64","0    0.169332
0    0.560000
0    0.793333
0    0.511801
0    0.268507
0    0.094928
Name: mean_test_precision, dtype: float64","0    0.079375
0    0.236813
0    0.213333
0    0.131085
0    0.076147
0    0.028020
Name: std_test_precision, dtype: float64","0    0.395833
0    0.279167
0    0.256944
0    0.323611
0    0.710794
0    0.497222
Name: mean_test_recall, dtype: float64","0    0.208726
0    0.108378
0    0.143836
0    0.154791
0    0.164201
0    0.136479
Name: std_test_recall, dtype: float64","0    0.234789
0    0.356466
0    0.368832
0    0.375480
0    0.384282
0    0.159362
Name: mean_test_f1, dtype: float64","0    0.112160
0    0.116648
0    0.162680
0    0.130840
0    0.095889
0    0.046437
Name: std_test_f1, dtype: float64","0    0.684255
0    0.782724
0    0.809654
0    0.794689
0    0.841529
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.109458
0    0.091513
0    0.079236
0    0.074884
0    0.077190
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.598763
0    0.623895
0    0.624097
0    0.643641
0    0.746191
0    0.491420
Name: mean_test_balanced_accuracy, dtype: float64","0    0.098096
0    0.056923
0    0.072474
0    0.071671
0    0.077406
0    0.075617
Name: std_test_balanced_accuracy, dtype: float64","0    0.136627
0    0.339329
0    0.407555
0    0.347689
0    0.336381
0   -0.009359
Name: mean_test_mcc, dtype: float64","0    0.138493
0    0.141035
0    0.150972
0    0.124978
0    0.112076
0    0.089190
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.725432
0    0.890759
0    0.906513
0    0.923219
0    0.742196
0    0.496078
Name: mean_test_accuracy, dtype: float64","0    0.065155
0    0.021246
0    0.006325
0    0.012316
0    0.040065
0    0.026687
Name: std_test_accuracy, dtype: float64","0    0.167343
0    0.438532
0    0.000000
0    0.691429
0    0.229091
0    0.082000
Name: mean_test_precision, dtype: float64","0    0.068153
0    0.216370
0    0.000000
0    0.154209
0    0.044691
0    0.027495
Name: std_test_precision, dtype: float64","0    0.460000
0    0.287778
0    0.000000
0    0.318889
0    0.734040
0    0.436667
Name: mean_test_recall, dtype: float64","0    0.165939
0    0.083511
0    0.000000
0    0.105883
0    0.084758
0    0.148744
Name: std_test_recall, dtype: float64","0    0.241890
0    0.327783
0    0.000000
0    0.427995
0    0.346715
0    0.138023
Name: mean_test_f1, dtype: float64","0    0.090391
0    0.082561
0    0.000000
0    0.111816
0    0.053212
0    0.046318
Name: std_test_f1, dtype: float64","0    0.638369
0    0.727283
0    0.716635
0    0.809797
0    0.784832
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.079315
0    0.095458
0    0.099516
0    0.063970
0    0.065207
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.606420
0    0.620040
0    0.499457
0    0.651865
0    0.738610
0    0.469420
Name: mean_test_balanced_accuracy, dtype: float64","0    0.091617
0    0.042057
0    0.001630
0    0.053227
0    0.038044
0    0.081564
Name: std_test_balanced_accuracy, dtype: float64","0    0.144422
0    0.287480
0   -0.003281
0    0.431614
0    0.303697
0   -0.035519
Name: mean_test_mcc, dtype: float64","0    0.124731
0    0.103456
0    0.009842
0    0.115315
0    0.057104
0    0.093804
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.822749
0    0.881787
0    0.907671
0    0.893824
0    0.748845
0    0.518000
Name: mean_test_accuracy, dtype: float64","0    0.040957
0    0.027486
0    0.008148
0    0.019806
0    0.050111
0    0.022559
Name: std_test_accuracy, dtype: float64","0    0.234442
0    0.316515
0    0.400000
0    0.359167
0    0.232634
0    0.095573
Name: mean_test_precision, dtype: float64","0    0.089094
0    0.220193
0    0.435890
0    0.281574
0    0.047704
0    0.024054
Name: std_test_precision, dtype: float64","0    0.381111
0    0.222222
0    0.060000
0    0.190000
0    0.728712
0    0.504444
Name: mean_test_recall, dtype: float64","0    0.130341
0    0.116428
0    0.066332
0    0.151327
0    0.138834
0    0.123648
Name: std_test_recall, dtype: float64","0    0.285434
0    0.252019
0    0.099784
0    0.230491
0    0.348240
0    0.160683
Name: mean_test_f1, dtype: float64","0    0.098471
0    0.141567
0    0.104411
0    0.165599
0    0.056968
0    0.040258
Name: std_test_f1, dtype: float64","0    0.685665
0    0.710151
0    0.672395
0    0.757447
0    0.799817
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.085148
0    0.084470
0    0.094127
0    0.064157
0    0.075260
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.624013
0    0.585178
0    0.526444
0    0.577251
0    0.740437
0    0.511880
Name: mean_test_balanced_accuracy, dtype: float64","0    0.068918
0    0.058945
0    0.032772
0    0.073886
0    0.072052
0    0.067929
Name: std_test_balanced_accuracy, dtype: float64","0    0.202694
0    0.200042
0    0.127327
0    0.199868
0    0.305903
0    0.013853
Name: mean_test_mcc, dtype: float64","0    0.114254
0    0.159356
0    0.151548
0    0.181547
0    0.083208
0    0.078647
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.801536
0    0.909096
0    0.921488
0    0.931798
0    0.811931
0    0.489669
Name: mean_test_accuracy, dtype: float64","0    0.038211
0    0.015809
0    0.015426
0    0.025866
0    0.032882
0    0.020273
Name: std_test_accuracy, dtype: float64","0    0.228203
0    0.494167
0    0.660000
0    0.695476
0    0.282713
0    0.075266
Name: mean_test_precision, dtype: float64","0    0.069047
0    0.260396
0    0.394912
0    0.228850
0    0.053562
0    0.021447
Name: std_test_precision, dtype: float64","0    0.488889
0    0.201389
0    0.201389
0    0.451389
0    0.696064
0    0.408333
Name: mean_test_recall, dtype: float64","0    0.171774
0    0.107807
0    0.137948
0    0.184178
0    0.142237
0    0.120953
Name: std_test_recall, dtype: float64","0    0.306984
0    0.277688
0    0.299345
0    0.536173
0    0.400593
0    0.127081
Name: mean_test_f1, dtype: float64","0    0.092585
0    0.141641
0    0.192102
0    0.188420
0    0.073596
0    0.036379
Name: std_test_f1, dtype: float64","0    0.709485
0    0.742787
0    0.775647
0    0.872838
0    0.817777
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.076299
0    0.094388
0    0.097062
0    0.060645
0    0.072010
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.660922
0    0.590467
0    0.597285
0    0.715467
0    0.759844
0    0.453030
Name: mean_test_balanced_accuracy, dtype: float64","0    0.082199
0    0.053019
0    0.069522
0    0.095869
0    0.075040
0    0.065892
Name: std_test_balanced_accuracy, dtype: float64","0    0.233557
0    0.271636
0    0.333122
0    0.520990
0    0.357510
0   -0.053827
Name: mean_test_mcc, dtype: float64","0    0.114981
0    0.159345
0    0.215493
0    0.199588
0    0.098119
0    0.073236
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.869292
0    0.918077
0    0.920838
0    0.930046
0    0.807535
0    0.493595
Name: mean_test_accuracy, dtype: float64","0    0.032878
0    0.017103
0    0.013612
0    0.019748
0    0.048586
0    0.029140
Name: std_test_accuracy, dtype: float64","0    0.332979
0    0.575000
0    0.671429
0    0.706667
0    0.293244
0    0.070392
Name: mean_test_precision, dtype: float64","0    0.094839
0    0.147054
0    0.316550
0    0.126095
0    0.085967
0    0.028224
Name: std_test_precision, dtype: float64","0    0.428889
0    0.348889
0    0.237778
0    0.361111
0    0.753434
0    0.380000
Name: mean_test_recall, dtype: float64","0    0.153092
0    0.132888
0    0.145822
0    0.211067
0    0.167634
0    0.155619
Name: std_test_recall, dtype: float64","0    0.371395
0    0.427746
0    0.329903
0    0.458368
0    0.419275
0    0.118756
Name: mean_test_f1, dtype: float64","0    0.116185
0    0.130412
0    0.168118
0    0.181678
0    0.107293
0    0.047735
Name: std_test_f1, dtype: float64","0    0.792772
0    0.828618
0    0.846163
0    0.831383
0    0.876190
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.068862
0    0.066238
0    0.065024
0    0.079597
0    0.075884
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.670933
0    0.661798
0    0.613333
0    0.673974
0    0.783570
0    0.442530
Name: mean_test_balanced_accuracy, dtype: float64","0    0.081490
0    0.067580
0    0.070892
0    0.105330
0    0.095867
0    0.085950
Name: std_test_balanced_accuracy, dtype: float64","0    0.305332
0    0.404490
0    0.356698
0    0.464692
0    0.385084
0   -0.066556
Name: mean_test_mcc, dtype: float64","0    0.132673
0    0.136809
0    0.168466
0    0.175249
0    0.136449
0    0.099123
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.788922
0    0.893922
0    0.916289
0    0.891485
0    0.734608
0    0.495210
Name: mean_test_accuracy, dtype: float64","0    0.043958
0    0.023350
0    0.010996
0    0.017451
0    0.045104
0    0.037356
Name: std_test_accuracy, dtype: float64","0    0.153508
0    0.355238
0    0.300000
0    0.295238
0    0.206992
0    0.097992
Name: mean_test_precision, dtype: float64","0    0.105457
0    0.374421
0    0.458258
0    0.175271
0    0.075797
0    0.039174
Name: std_test_precision, dtype: float64","0    0.301786
0    0.132143
0    0.064286
0    0.144643
0    0.669921
0    0.560714
Name: mean_test_recall, dtype: float64","0    0.216720
0    0.129067
0    0.116332
0    0.092254
0    0.162892
0    0.216536
Name: std_test_recall, dtype: float64","0    0.202601
0    0.170519
0    0.101768
0    0.184380
0    0.312161
0    0.166757
Name: mean_test_f1, dtype: float64","0    0.141335
0    0.154077
0    0.174882
0    0.103896
0    0.097380
0    0.066242
Name: std_test_f1, dtype: float64","0    0.657162
0    0.726638
0    0.754284
0    0.771363
0    0.779963
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.106433
0    0.079979
0    0.068096
0    0.063546
0    0.097296
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.569274
0    0.550579
0    0.532143
0    0.554806
0    0.705544
0    0.524530
Name: mean_test_balanced_accuracy, dtype: float64","0    0.116782
0    0.064284
0    0.058166
0    0.042256
0    0.083793
0    0.118172
Name: std_test_balanced_accuracy, dtype: float64","0    0.103710
0    0.154260
0    0.129596
0    0.149740
0    0.259535
0    0.029328
Name: mean_test_mcc, dtype: float64","0    0.173060
0    0.184455
0    0.207677
0    0.113949
0    0.119577
0    0.134199
Name: std_test_mcc, dtype: float64"
