,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.760909
0    0.871818
0    0.910000
0    0.894545
0    0.811818
0    0.526364
Name: mean_test_accuracy, dtype: float64","0    0.046719
0    0.029444
0    0.002727
0    0.010123
0    0.048285
0    0.021685
Name: std_test_accuracy, dtype: float64","0    0.145402
0    0.313860
0    0.000000
0    0.363611
0    0.267878
0    0.101887
Name: mean_test_precision, dtype: float64","0    0.082758
0    0.133917
0    0.000000
0    0.245554
0    0.091852
0    0.021010
Name: std_test_precision, dtype: float64","0    0.335556
0    0.282222
0    0.000000
0    0.200000
0    0.610505
0    0.547778
Name: mean_test_recall, dtype: float64","0    0.168127
0    0.085375
0    0.000000
0    0.148324
0    0.203443
0    0.124231
Name: std_test_recall, dtype: float64","0    0.200757
0    0.289369
0    0.000000
0    0.231126
0    0.369762
0    0.171787
Name: mean_test_f1, dtype: float64","0    0.106792
0    0.095208
0    0.000000
0    0.133453
0    0.122776
0    0.035878
Name: std_test_f1, dtype: float64","0    0.643157
0    0.688637
0    0.687487
0    0.732718
0    0.825391
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.048747
0    0.092376
0    0.078842
0    0.086969
0    0.071152
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.569367
0    0.606171
0    0.500000
0    0.581510
0    0.720749
0    0.536117
Name: mean_test_balanced_accuracy, dtype: float64","0    0.088093
0    0.047960
0    0.000000
0    0.066958
0    0.104746
0    0.068030
Name: std_test_balanced_accuracy, dtype: float64","0    0.097942
0    0.224749
0    0.000000
0    0.201456
0    0.314217
0    0.040695
Name: mean_test_mcc, dtype: float64","0    0.131640
0    0.111282
0    0.000000
0    0.131087
0    0.151723
0    0.076720
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.790909
0    0.865455
0    0.909091
0    0.883636
0    0.818182
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.063636
0    0.037439
0    0.004066
0    0.054363
0    0.049793
0    0.024410
Name: std_test_accuracy, dtype: float64","0    0.200724
0    0.305776
0    0.100000
0    0.398972
0    0.303674
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.109110
0    0.163953
0    0.300000
0    0.181806
0    0.076718
0    0.026415
Name: std_test_precision, dtype: float64","0    0.405455
0    0.275455
0    0.010000
0    0.309091
0    0.713914
0    0.414545
Name: mean_test_recall, dtype: float64","0    0.190441
0    0.125642
0    0.030000
0    0.193104
0    0.164061
0    0.133806
Name: std_test_recall, dtype: float64","0    0.263918
0    0.279499
0    0.018182
0    0.321678
0    0.421792
0    0.133036
Name: mean_test_f1, dtype: float64","0    0.134472
0    0.129841
0    0.054545
0    0.164434
0    0.094407
0    0.044069
Name: std_test_f1, dtype: float64","0    0.691973
0    0.694145
0    0.783334
0    0.754447
0    0.824043
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.089228
0    0.105337
0    0.093360
0    0.082249
0    0.076070
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.617621
0    0.600202
0    0.505000
0    0.625530
0    0.771304
0    0.463035
Name: mean_test_balanced_accuracy, dtype: float64","0    0.100459
0    0.070433
0    0.015000
0    0.086842
0    0.083762
0    0.073628
Name: std_test_balanced_accuracy, dtype: float64","0    0.176498
0    0.212528
0    0.030289
0    0.280358
0    0.381576
0   -0.042357
Name: mean_test_mcc, dtype: float64","0    0.158285
0    0.149093
0    0.090867
0    0.173187
0    0.117961
0    0.084898
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.854545
0    0.888182
0    0.908182
0    0.924545
0    0.810909
0    0.528182
Name: mean_test_accuracy, dtype: float64","0    0.012197
0    0.016787
0    0.002727
0    0.012889
0    0.022926
0    0.033141
Name: std_test_accuracy, dtype: float64","0    0.301858
0    0.387421
0    0.000000
0    0.631389
0    0.301360
0    0.105660
Name: mean_test_precision, dtype: float64","0    0.053974
0    0.099786
0    0.000000
0    0.141310
0    0.036964
0    0.033962
Name: std_test_precision, dtype: float64","0    0.463636
0    0.387273
0    0.000000
0    0.416364
0    0.798510
0    0.555455
Name: mean_test_recall, dtype: float64","0    0.132428
0    0.139491
0    0.000000
0    0.117747
0    0.132796
0    0.182020
Name: std_test_recall, dtype: float64","0    0.363221
0    0.379436
0    0.000000
0    0.495222
0    0.434474
0    0.177530
Name: mean_test_f1, dtype: float64","0    0.078507
0    0.107833
0    0.000000
0    0.125905
0    0.045943
0    0.057230
Name: std_test_f1, dtype: float64","0    0.762698
0    0.761209
0    0.803716
0    0.837161
0    0.868115
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.068390
0    0.103472
0    0.087025
0    0.054164
0    0.070222
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.678753
0    0.663101
0    0.500000
0    0.696177
0    0.805146
0    0.540485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.060720
0    0.064679
0    0.000000
0    0.058368
0    0.051227
0    0.100120
Name: std_test_balanced_accuracy, dtype: float64","0    0.295366
0    0.323379
0    0.000000
0    0.471936
0    0.410970
0    0.046509
Name: mean_test_mcc, dtype: float64","0    0.088153
0    0.111667
0    0.000000
0    0.126273
0    0.057416
0    0.115248
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.845455
0    0.860909
0    0.910909
0    0.881818
0    0.721818
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.072954
0    0.046719
0    0.009791
0    0.045089
0    0.067076
0    0.025078
Name: std_test_accuracy, dtype: float64","0    0.289143
0    0.316405
0    0.350000
0    0.351257
0    0.207092
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.095498
0    0.182649
0    0.450000
0    0.272940
0    0.044298
0    0.027730
Name: std_test_precision, dtype: float64","0    0.336364
0    0.296364
0    0.060000
0    0.210000
0    0.701086
0    0.413636
Name: mean_test_recall, dtype: float64","0    0.167579
0    0.146259
0    0.080000
0    0.151327
0    0.174023
0    0.135650
Name: std_test_recall, dtype: float64","0    0.285558
0    0.289193
0    0.101515
0    0.230624
0    0.317014
0    0.132986
Name: mean_test_f1, dtype: float64","0    0.078789
0    0.127024
0    0.134166
0    0.135680
0    0.065107
0    0.046002
Name: std_test_f1, dtype: float64","0    0.696976
0    0.670816
0    0.755067
0    0.721738
0    0.786761
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.049224
0    0.160778
0    0.113619
0    0.079055
0    0.074178
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.616652
0    0.607152
0    0.528500
0    0.579990
0    0.712282
0    0.462586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.056574
0    0.079839
0    0.040562
0    0.059890
0    0.076462
0    0.074749
Name: std_test_balanced_accuracy, dtype: float64","0    0.220590
0    0.223450
0    0.129663
0    0.198270
0    0.267041
0   -0.042621
Name: mean_test_mcc, dtype: float64","0    0.087812
0    0.154912
0    0.182572
0    0.153913
0    0.093454
0    0.086728
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.730000
0    0.861818
0    0.908182
0    0.895455
0    0.731818
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.050132
0    0.027514
0    0.002727
0    0.017368
0    0.044768
0    0.027106
Name: std_test_accuracy, dtype: float64","0    0.151570
0    0.304095
0    0.000000
0    0.382478
0    0.219287
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.057178
0    0.088807
0    0.000000
0    0.195139
0    0.049072
0    0.027277
Name: std_test_precision, dtype: float64","0    0.425455
0    0.375455
0    0.000000
0    0.218182
0    0.729369
0    0.506364
Name: mean_test_recall, dtype: float64","0    0.177903
0    0.150649
0    0.000000
0    0.140366
0    0.113578
0    0.147713
Name: std_test_recall, dtype: float64","0    0.221746
0    0.326611
0    0.000000
0    0.265056
0    0.335943
0    0.161706
Name: mean_test_f1, dtype: float64","0    0.084740
0    0.104405
0    0.000000
0    0.145086
0    0.067801
0    0.046049
Name: std_test_f1, dtype: float64","0    0.639937
0    0.725951
0    0.577981
0    0.765153
0    0.800944
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.089205
0    0.100823
0    0.123461
0    0.055749
0    0.078787
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.593081
0    0.643167
0    0.500000
0    0.591076
0    0.730547
0    0.513434
Name: mean_test_balanced_accuracy, dtype: float64","0    0.086885
0    0.071719
0    0.000000
0    0.068896
0    0.065825
0    0.081306
Name: std_test_balanced_accuracy, dtype: float64","0    0.122667
0    0.258871
0    0.000000
0    0.230541
0    0.290555
0    0.015130
Name: mean_test_mcc, dtype: float64","0    0.114354
0    0.113932
0    0.000000
0    0.154031
0    0.088854
0    0.093881
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.739091
0    0.857273
0    0.908182
0    0.911818
0    0.783636
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.046542
0    0.019938
0    0.002727
0    0.024410
0    0.033228
0    0.029444
Name: std_test_accuracy, dtype: float64","0    0.159749
0    0.255908
0    0.000000
0    0.629444
0    0.259322
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.032723
0    0.111484
0    0.000000
0    0.245453
0    0.039425
0    0.030946
Name: std_test_precision, dtype: float64","0    0.428182
0    0.317273
0    0.000000
0    0.259091
0    0.720404
0    0.504545
Name: mean_test_recall, dtype: float64","0    0.113869
0    0.160549
0    0.000000
0    0.121237
0    0.126345
0    0.161821
Name: std_test_recall, dtype: float64","0    0.230082
0    0.280068
0    0.000000
0    0.343856
0    0.379722
0    0.161607
Name: mean_test_f1, dtype: float64","0    0.045829
0    0.126311
0    0.000000
0    0.134753
0    0.054277
0    0.051911
Name: std_test_f1, dtype: float64","0    0.660500
0    0.652000
0    0.610477
0    0.797769
0    0.832078
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.056433
0    0.080642
0    0.088378
0    0.068933
0    0.077369
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.599495
0    0.614591
0    0.500000
0    0.618535
0    0.755047
0    0.512535
Name: mean_test_balanced_accuracy, dtype: float64","0    0.045203
0    0.077672
0    0.000000
0    0.058816
0    0.059294
0    0.089010
Name: std_test_balanced_accuracy, dtype: float64","0    0.133539
0    0.205601
0    0.000000
0    0.352191
0    0.338665
0    0.014601
Name: mean_test_mcc, dtype: float64","0    0.061335
0    0.136392
0    0.000000
0    0.145234
0    0.074899
0    0.102469
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.836364
0    0.866364
0    0.910000
0    0.889091
0    0.726364
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.033029
0    0.031242
0    0.006364
0    0.011355
0    0.041351
0    0.019604
Name: std_test_accuracy, dtype: float64","0    0.248880
0    0.321514
0    0.100000
0    0.310539
0    0.221835
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.044862
0    0.142303
0    0.300000
0    0.144560
0    0.041023
0    0.022004
Name: std_test_precision, dtype: float64","0    0.367273
0    0.317273
0    0.020000
0    0.236364
0    0.781919
0    0.473636
Name: mean_test_recall, dtype: float64","0    0.080924
0    0.108517
0    0.060000
0    0.159234
0    0.136671
0    0.105662
Name: std_test_recall, dtype: float64","0    0.293475
0    0.305667
0    0.033333
0    0.258828
0    0.342936
0    0.152034
Name: mean_test_f1, dtype: float64","0    0.049927
0    0.091049
0    0.100000
0    0.146931
0    0.056114
0    0.036376
Name: std_test_f1, dtype: float64","0    0.709768
0    0.717938
0    0.688832
0    0.755882
0    0.808198
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.075202
0    0.085037
0    0.104051
0    0.048806
0    0.071712
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.625535
0    0.619596
0    0.510000
0    0.595652
0    0.751924
0    0.495586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.041604
0    0.050622
0    0.030000
0    0.073102
0    0.065382
0    0.058247
Name: std_test_balanced_accuracy, dtype: float64","0    0.212506
0    0.241018
0    0.043033
0    0.209836
0    0.309499
0   -0.004649
Name: mean_test_mcc, dtype: float64","0    0.063795
0    0.109355
0    0.129099
0    0.144389
0    0.075707
0    0.067699
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.783636
0    0.872727
0    0.911818
0    0.920000
0    0.790909
0    0.504545
Name: mean_test_accuracy, dtype: float64","0    0.043179
0    0.036815
0    0.005821
0    0.031175
0    0.037703
0    0.022727
Name: std_test_accuracy, dtype: float64","0    0.207020
0    0.368493
0    0.300000
0    0.622778
0    0.287469
0    0.081132
Name: mean_test_precision, dtype: float64","0    0.069348
0    0.183421
0    0.458258
0    0.219865
0    0.050733
0    0.023941
Name: std_test_precision, dtype: float64","0    0.487273
0    0.396364
0    0.039091
0    0.467273
0    0.831843
0    0.425455
Name: mean_test_recall, dtype: float64","0    0.184400
0    0.179218
0    0.065562
0    0.151968
0    0.114415
0    0.125098
Name: std_test_recall, dtype: float64","0    0.288170
0    0.365597
0    0.068182
0    0.519504
0    0.423655
0    0.136260
Name: mean_test_f1, dtype: float64","0    0.097985
0    0.142563
0    0.112009
0    0.158712
0    0.060415
0    0.040151
Name: std_test_f1, dtype: float64","0    0.726782
0    0.696531
0    0.738505
0    0.882879
0    0.885151
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.071223
0    0.123786
0    0.082234
0    0.036550
0    0.042018
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.650515
0    0.658626
0    0.519545
0    0.716626
0    0.809391
0    0.468985
Name: mean_test_balanced_accuracy, dtype: float64","0    0.087853
0    0.088668
0    0.032781
0    0.080482
0    0.049385
0    0.068801
Name: std_test_balanced_accuracy, dtype: float64","0    0.210297
0    0.306271
0    0.102057
0    0.490930
0    0.405213
0   -0.035764
Name: mean_test_mcc, dtype: float64","0    0.123323
0    0.166924
0    0.159794
0    0.175329
0    0.067610
0    0.079150
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.870000
0    0.925455
0    0.910909
0    0.922727
0    0.791818
0    0.520909
Name: mean_test_accuracy, dtype: float64","0    0.027887
0    0.019834
0    0.005455
0    0.019604
0    0.055811
0    0.032025
Name: std_test_accuracy, dtype: float64","0    0.353286
0    0.646310
0    0.400000
0    0.710833
0    0.282397
0    0.098113
Name: mean_test_precision, dtype: float64","0    0.105527
0    0.183711
0    0.435890
0    0.226202
0    0.078141
0    0.034585
Name: std_test_precision, dtype: float64","0    0.446364
0    0.379091
0    0.050000
0    0.299091
0    0.764545
0    0.512727
Name: mean_test_recall, dtype: float64","0    0.144854
0    0.195235
0    0.050000
0    0.111225
0    0.169269
0    0.173215
Name: std_test_recall, dtype: float64","0    0.385743
0    0.459605
0    0.087879
0    0.411832
0    0.407593
0    0.164683
Name: mean_test_f1, dtype: float64","0    0.095773
0    0.192568
0    0.088035
0    0.143476
0    0.096855
0    0.057594
Name: std_test_f1, dtype: float64","0    0.786565
0    0.831108
0    0.852664
0    0.827796
0    0.847632
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.078619
0    0.069629
0    0.081202
0    0.075365
0    0.089576
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.679621
0    0.680035
0    0.524000
0    0.642540
0    0.779679
0    0.517136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.068469
0    0.096798
0    0.024062
0    0.057862
0    0.086792
0    0.095438
Name: std_test_balanced_accuracy, dtype: float64","0    0.323113
0    0.450707
0    0.129597
0    0.423382
0    0.374982
0    0.020402
Name: mean_test_mcc, dtype: float64","0    0.112138
0    0.187921
0    0.135009
0    0.157014
0    0.120353
0    0.110688
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.799091
0    0.843636
0    0.908182
0    0.882727
0    0.686364
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.034843
0    0.032979
0    0.002727
0    0.028005
0    0.031557
0    0.017838
Name: std_test_accuracy, dtype: float64","0    0.180164
0    0.201183
0    0.000000
0    0.216667
0    0.179715
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.085487
0    0.123093
0    0.000000
0    0.348010
0    0.033787
0    0.018487
Name: std_test_precision, dtype: float64","0    0.354545
0    0.228182
0    0.000000
0    0.080000
0    0.676277
0    0.475455
Name: mean_test_recall, dtype: float64","0    0.200124
0    0.135051
0    0.000000
0    0.116619
0    0.105854
0    0.098001
Name: std_test_recall, dtype: float64","0    0.235997
0    0.207994
0    0.000000
0    0.101709
0    0.283048
0    0.152133
Name: mean_test_f1, dtype: float64","0    0.119206
0    0.117357
0    0.000000
0    0.148752
0    0.049689
0    0.031063
Name: std_test_f1, dtype: float64","0    0.662921
0    0.606240
0    0.608972
0    0.612448
0    0.729425
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.095064
0    0.096628
0    0.133352
0    0.118282
0    0.096366
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.599182
0    0.567051
0    0.500000
0    0.521990
0    0.681980
0    0.496485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.096040
0    0.067965
0    0.000000
0    0.058836
0    0.058495
0    0.053904
Name: std_test_balanced_accuracy, dtype: float64","0    0.146687
0    0.126604
0    0.000000
0    0.067451
0    0.220330
0   -0.004121
Name: mean_test_mcc, dtype: float64","0    0.140975
0    0.130194
0    0.000000
0    0.180314
0    0.072072
0    0.062043
Name: std_test_mcc, dtype: float64"
