,ID,WD_NAR_FIR_LR_accuracy,WD_NAR_FIR_NN_accuracy,WD_NAR_FIR_SVM_accuracy,WD_NAR_FIR_LDA_accuracy,WD_NAR_FIR_PRK_accuracy,WD_NAR_FIR_RF_accuracy,WD_NAR_FIR_LR_std_accuracy,WD_NAR_FIR_NN_std_accuracy,WD_NAR_FIR_SVM_std_accuracy,WD_NAR_FIR_LDA_std_accuracy,WD_NAR_FIR_PRK_std_accuracy,WD_NAR_FIR_RF_std_accuracy,WD_NAR_FIR_LR_precision,WD_NAR_FIR_NN_precision,WD_NAR_FIR_SVM_precision,WD_NAR_FIR_LDA_precision,WD_NAR_FIR_PRK_precision,WD_NAR_FIR_RF_precision,WD_NAR_FIR_LR_std_precision,WD_NAR_FIR_NN_std_precision,WD_NAR_FIR_SVM_std_precision,WD_NAR_FIR_LDA_std_precision,WD_NAR_FIR_PRK_std_precision,WD_NAR_FIR_RF_std_precision,WD_NAR_FIR_LR_recall,WD_NAR_FIR_NN_recall,WD_NAR_FIR_SVM_recall,WD_NAR_FIR_LDA_recall,WD_NAR_FIR_PRK_recall,WD_NAR_FIR_RF_recall,WD_NAR_FIR_LR_std_recall,WD_NAR_FIR_NN_std_recall,WD_NAR_FIR_SVM_std_recall,WD_NAR_FIR_LDA_std_recall,WD_NAR_FIR_PRK_std_recall,WD_NAR_FIR_RF_std_recall,WD_NAR_FIR_LR_f1,WD_NAR_FIR_NN_f1,WD_NAR_FIR_SVM_f1,WD_NAR_FIR_LDA_f1,WD_NAR_FIR_PRK_f1,WD_NAR_FIR_RF_f1,WD_NAR_FIR_LR_std_f1,WD_NAR_FIR_NN_std_f1,WD_NAR_FIR_SVM_std_f1,WD_NAR_FIR_LDA_std_f1,WD_NAR_FIR_PRK_std_f1,WD_NAR_FIR_RF_std_f1,WD_NAR_FIR_LR_roc_auc,WD_NAR_FIR_NN_roc_auc,WD_NAR_FIR_SVM_roc_auc,WD_NAR_FIR_LDA_roc_auc,WD_NAR_FIR_PRK_roc_auc,WD_NAR_FIR_RF_roc_auc,WD_NAR_FIR_LR_std_roc_auc,WD_NAR_FIR_NN_std_roc_auc,WD_NAR_FIR_SVM_std_roc_auc,WD_NAR_FIR_LDA_std_roc_auc,WD_NAR_FIR_PRK_std_roc_auc,WD_NAR_FIR_RF_std_roc_auc,WD_NAR_FIR_LR_balanced_accuracy,WD_NAR_FIR_NN_balanced_accuracy,WD_NAR_FIR_SVM_balanced_accuracy,WD_NAR_FIR_LDA_balanced_accuracy,WD_NAR_FIR_PRK_balanced_accuracy,WD_NAR_FIR_RF_balanced_accuracy,WD_NAR_FIR_LR_std_balanced_accuracy,WD_NAR_FIR_NN_std_balanced_accuracy,WD_NAR_FIR_SVM_std_balanced_accuracy,WD_NAR_FIR_LDA_std_balanced_accuracy,WD_NAR_FIR_PRK_std_balanced_accuracy,WD_NAR_FIR_RF_std_balanced_accuracy,WD_NAR_FIR_LR_mcc,WD_NAR_FIR_NN_mcc,WD_NAR_FIR_SVM_mcc,WD_NAR_FIR_LDA_mcc,WD_NAR_FIR_PRK_mcc,WD_NAR_FIR_RF_mcc,WD_NAR_FIR_LR_std_mcc,WD_NAR_FIR_NN_std_mcc,WD_NAR_FIR_SVM_std_mcc,WD_NAR_FIR_LDA_std_mcc,WD_NAR_FIR_PRK_std_mcc,WD_NAR_FIR_RF_std_mcc
0,IP102,0.790909,0.881818,0.910909,0.906364,0.778182,0.526364,0.035675,0.021513,0.003636,0.016288,0.028517,0.021685,0.199099,0.358475,0.1,0.421667,0.236169,0.101887,0.058977,0.110525,0.3,0.267608,0.036945,0.02101,0.415556,0.352222,0.01,0.18,0.674747,0.547778,0.090431,0.088757,0.03,0.16,0.188447,0.124231,0.267005,0.351823,0.018182,0.235418,0.347359,0.171787,0.06675,0.092794,0.054545,0.177432,0.065725,0.035878,0.668387,0.727428,0.715857,0.751178,0.771169,0.5,0.057521,0.071149,0.0555,0.074608,0.105187,0.0,0.621877,0.643161,0.505,0.57902,0.731413,0.536117,0.053027,0.04924,0.015,0.07691,0.080383,0.06803,0.179898,0.289173,0.030289,0.226321,0.302349,0.040695,0.083277,0.104027,0.090867,0.188763,0.093946,0.07672
1,IP104,0.786364,0.891818,0.912727,0.903636,0.814545,0.502727,0.0723,0.025536,0.009271,0.053505,0.029091,0.02441,0.206603,0.40881,0.633333,0.631468,0.28968,0.079245,0.094757,0.15298,0.371184,0.269822,0.05327,0.026415,0.416364,0.248182,0.119091,0.348182,0.705934,0.414545,0.172813,0.121291,0.075125,0.181866,0.169333,0.133806,0.273579,0.292044,0.193373,0.404065,0.407906,0.133036,0.120858,0.116061,0.114456,0.18574,0.079019,0.044069,0.669591,0.757365,0.829032,0.766543,0.823664,0.5,0.108954,0.080648,0.048996,0.106423,0.083417,0.0,0.620116,0.602581,0.55604,0.654086,0.765849,0.463035,0.106108,0.060189,0.037319,0.098067,0.08326,0.073628,0.182553,0.255252,0.240701,0.395867,0.367262,-0.042357,0.15539,0.123744,0.147357,0.191737,0.105874,0.084898
2,IP105,0.855455,0.923636,0.921818,0.917273,0.853636,0.528182,0.023863,0.019156,0.010909,0.013757,0.023863,0.033141,0.322497,0.661209,0.933333,0.614286,0.360398,0.10566,0.075633,0.174292,0.2,0.171655,0.077304,0.033962,0.513636,0.426364,0.169091,0.347273,0.747828,0.555455,0.116934,0.128208,0.07896,0.104114,0.110854,0.18202,0.395267,0.501742,0.278904,0.429944,0.484127,0.17753,0.08998,0.115371,0.11494,0.099679,0.087978,0.05723,0.822774,0.843193,0.852299,0.879843,0.896214,0.5,0.04334,0.05671,0.03363,0.046405,0.033035,0.0,0.701758,0.700172,0.583545,0.661126,0.805903,0.540485,0.062757,0.063796,0.040457,0.0503,0.059276,0.10012,0.329982,0.484393,0.368722,0.414635,0.450075,0.046509,0.103679,0.120202,0.115964,0.104803,0.097852,0.115248
3,IP106,0.84,0.874545,0.911818,0.890909,0.767273,0.502727,0.067567,0.019834,0.008182,0.054242,0.053659,0.025078,0.301365,0.283925,0.45,0.411553,0.211066,0.079245,0.105214,0.141926,0.471699,0.240423,0.046097,0.02773,0.407273,0.266364,0.06,0.219091,0.565303,0.413636,0.13254,0.131429,0.066332,0.183917,0.223745,0.13565,0.327432,0.26525,0.104545,0.262946,0.299784,0.132986,0.086762,0.114219,0.113475,0.188654,0.071868,0.046002,0.728854,0.723555,0.736521,0.756732,0.768402,0.5,0.074836,0.086054,0.105988,0.086077,0.077913,0.0,0.645606,0.601146,0.529,0.589035,0.676514,0.462586,0.05915,0.054746,0.033377,0.095787,0.085669,0.074749,0.258425,0.204544,0.150237,0.237282,0.23606,-0.042621,0.10166,0.114534,0.165264,0.203324,0.100086,0.086728
4,IP107,0.755455,0.901818,0.910909,0.906364,0.82,0.519091,0.048694,0.022563,0.012727,0.022654,0.029261,0.027106,0.166284,0.490491,0.416667,0.433571,0.296016,0.096226,0.063844,0.242333,0.381881,0.2683,0.054829,0.027277,0.408182,0.248182,0.09,0.278182,0.674823,0.506364,0.183558,0.121291,0.09434,0.178664,0.134428,0.147713,0.234393,0.312378,0.145105,0.331508,0.40676,0.161706,0.09212,0.126673,0.146126,0.20138,0.062247,0.046049,0.661337,0.749542,0.781463,0.780335,0.812056,0.5,0.091435,0.108956,0.073342,0.069797,0.058142,0.0,0.599449,0.608061,0.54199,0.624066,0.754865,0.513434,0.097095,0.059835,0.047508,0.088523,0.06201,0.081306,0.137629,0.292605,0.170333,0.301179,0.361414,0.01513,0.128817,0.148935,0.175784,0.20984,0.079657,0.093881
5,IP108,0.736364,0.860909,0.908182,0.92,0.772727,0.519091,0.043408,0.038365,0.002727,0.017153,0.041461,0.029444,0.160457,0.296232,0.0,0.680556,0.249869,0.096226,0.051798,0.137292,0.0,0.256174,0.049764,0.030946,0.438182,0.317273,0.0,0.279091,0.716263,0.504545,0.159068,0.117371,0.0,0.14119,0.120782,0.161821,0.233178,0.301717,0.0,0.37754,0.369521,0.161607,0.074407,0.124378,0.0,0.155251,0.069631,0.051911,0.607026,0.678266,0.664878,0.821784,0.794708,0.5,0.093701,0.103717,0.074414,0.06663,0.09493,0.0,0.60246,0.616566,0.5,0.632035,0.74752,0.512535,0.079892,0.067294,0.0,0.069851,0.072955,0.08901,0.136619,0.228297,0.0,0.391277,0.324976,0.014601,0.105437,0.140755,0.0,0.162112,0.096104,0.102469
6,IP109,0.818182,0.872727,0.904545,0.898182,0.722727,0.513636,0.048787,0.027574,0.004545,0.018091,0.043456,0.019604,0.237303,0.284562,0.033333,0.445635,0.216094,0.090566,0.080111,0.160877,0.1,0.225228,0.023785,0.022004,0.386364,0.216364,0.01,0.216364,0.764848,0.473636,0.083344,0.120041,0.03,0.1114,0.126624,0.105662,0.287544,0.233848,0.015385,0.272665,0.334437,0.152034,0.072971,0.121621,0.046154,0.114779,0.030148,0.036376,0.71147,0.685653,0.683021,0.758372,0.805958,0.5,0.087763,0.087841,0.061068,0.068446,0.066879,0.0,0.624066,0.577672,0.5025,0.591652,0.742212,0.495586,0.045181,0.059019,0.012698,0.053181,0.063126,0.058247,0.203809,0.175397,0.005033,0.250801,0.296501,-0.004649,0.086843,0.133537,0.047367,0.1263,0.060035,0.067699
7,IP111,0.798182,0.914545,0.919091,0.932727,0.814545,0.504545,0.024326,0.0142,0.013757,0.017814,0.02159,0.022727,0.244174,0.556508,0.675,0.709268,0.30597,0.081132,0.034874,0.122455,0.395197,0.169415,0.035048,0.023941,0.574545,0.348182,0.169091,0.486364,0.80346,0.425455,0.125098,0.122781,0.119309,0.140262,0.104312,0.125098,0.341382,0.418138,0.262321,0.564078,0.441839,0.13626,0.053681,0.126337,0.177139,0.128114,0.047413,0.040151,0.754473,0.762307,0.801456,0.909062,0.883909,0.5,0.050688,0.049348,0.060615,0.041711,0.040926,0.0,0.697652,0.660076,0.582045,0.732172,0.809616,0.468985,0.058284,0.06006,0.060354,0.069714,0.051106,0.068801,0.277048,0.392399,0.307038,0.547445,0.417487,-0.035764,0.073684,0.121262,0.201091,0.133966,0.063061,0.07915
8,IP112,0.866364,0.921818,0.921818,0.928182,0.818182,0.520909,0.023016,0.015851,0.013606,0.019263,0.044536,0.032025,0.329389,0.637143,0.708333,0.691061,0.309446,0.098113,0.077672,0.187474,0.323286,0.159583,0.083025,0.034585,0.427273,0.367273,0.218182,0.387273,0.756364,0.512727,0.157721,0.128642,0.133051,0.177364,0.175941,0.173215,0.364264,0.454827,0.321341,0.48315,0.435469,0.164683,0.09367,0.132721,0.171884,0.160703,0.104885,0.057594,0.788253,0.832622,0.847856,0.833168,0.865582,0.5,0.076338,0.063133,0.07217,0.093107,0.094032,0.0,0.669111,0.672621,0.605591,0.685126,0.790655,0.517136,0.075073,0.06406,0.066366,0.088938,0.094329,0.095438,0.29966,0.440449,0.35888,0.477581,0.402231,0.020402,0.109013,0.138483,0.179763,0.163197,0.131627,0.110688
9,IP113,0.801818,0.899091,0.908182,0.897273,0.751818,0.513636,0.022926,0.017463,0.002727,0.021145,0.054249,0.017838,0.159948,0.368333,0.0,0.295556,0.222852,0.090566,0.089274,0.205541,0.0,0.272899,0.070544,0.018487,0.305455,0.219091,0.0,0.15,0.647186,0.475455,0.182644,0.172701,0.0,0.136015,0.138957,0.098001,0.208726,0.262296,0.0,0.195155,0.329133,0.152133,0.119619,0.173613,0.0,0.176171,0.094057,0.031063,0.663154,0.718948,0.685074,0.732621,0.777792,0.5,0.078782,0.091488,0.076341,0.099871,0.09534,0.0,0.578646,0.593525,0.5,0.56148,0.705078,0.496485,0.08541,0.084153,0.0,0.06807,0.088544,0.053904,0.115512,0.229326,0.0,0.16477,0.268794,-0.004121,0.133509,0.178094,0.0,0.189539,0.122473,0.062043
