,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.769091
0    0.854545
0    0.910000
0    0.892727
0    0.803636
0    0.526364
Name: mean_test_accuracy, dtype: float64","0    0.051618
0    0.020730
0    0.002727
0    0.008907
0    0.032064
0    0.021685
Name: std_test_accuracy, dtype: float64","0    0.159237
0    0.222211
0    0.000000
0    0.288214
0    0.244788
0    0.101887
Name: mean_test_precision, dtype: float64","0    0.104465
0    0.098980
0    0.000000
0    0.170886
0    0.064445
0    0.021010
Name: std_test_precision, dtype: float64","0    0.335556
0    0.262222
0    0.000000
0    0.190000
0    0.598283
0    0.547778
Name: mean_test_recall, dtype: float64","0    0.155778
0    0.148922
0    0.000000
0    0.151327
0    0.233127
0    0.124231
Name: std_test_recall, dtype: float64","0    0.211135
0    0.236673
0    0.000000
0    0.217709
0    0.343749
0    0.171787
Name: mean_test_f1, dtype: float64","0    0.116245
0    0.119668
0    0.000000
0    0.147891
0    0.104007
0    0.035878
Name: std_test_f1, dtype: float64","0    0.648437
0    0.708418
0    0.681337
0    0.742549
0    0.791761
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.058455
0    0.074495
0    0.083229
0    0.085176
0    0.087512
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.573877
0    0.587661
0    0.500000
0    0.576010
0    0.710642
0    0.536117
Name: mean_test_balanced_accuracy, dtype: float64","0    0.085253
0    0.073740
0    0.000000
0    0.069587
0    0.104445
0    0.068030
Name: std_test_balanced_accuracy, dtype: float64","0    0.110261
0    0.160340
0    0.000000
0    0.175392
0    0.290045
0    0.040695
Name: mean_test_mcc, dtype: float64","0    0.139875
0    0.128085
0    0.000000
0    0.145055
0    0.133488
0    0.076720
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.798182
0    0.889091
0    0.911818
0    0.884545
0    0.807273
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.044313
0    0.022194
0    0.007100
0    0.042650
0    0.035860
0    0.024410
Name: std_test_accuracy, dtype: float64","0    0.196006
0    0.395976
0    0.300000
0    0.403943
0    0.279123
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.093628
0    0.130240
0    0.458258
0    0.184177
0    0.066318
0    0.026415
Name: std_test_precision, dtype: float64","0    0.395455
0    0.335455
0    0.040000
0    0.308182
0    0.685101
0    0.414545
Name: mean_test_recall, dtype: float64","0    0.176853
0    0.130887
0    0.066332
0    0.152741
0    0.152929
0    0.133806
Name: std_test_recall, dtype: float64","0    0.259216
0    0.349655
0    0.069697
0    0.326060
0    0.394958
0    0.133036
Name: mean_test_f1, dtype: float64","0    0.120623
0    0.119957
0    0.113424
0    0.128643
0    0.089472
0    0.044069
Name: std_test_f1, dtype: float64","0    0.698240
0    0.740702
0    0.804952
0    0.771613
0    0.831444
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.085754
0    0.096301
0    0.072352
0    0.082596
0    0.071881
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.617126
0    0.640187
0    0.520000
0    0.625576
0    0.752442
0    0.463035
Name: mean_test_balanced_accuracy, dtype: float64","0    0.086880
0    0.062387
0    0.033166
0    0.064997
0    0.082117
0    0.073628
Name: std_test_balanced_accuracy, dtype: float64","0    0.173197
0    0.298974
0    0.103611
0    0.282892
0    0.348648
0   -0.042357
Name: mean_test_mcc, dtype: float64","0    0.137472
0    0.121734
0    0.161653
0    0.141670
0    0.114089
0    0.084898
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.852727
0    0.883636
0    0.907273
0    0.923636
0    0.798182
0    0.528182
Name: mean_test_accuracy, dtype: float64","0    0.023284
0    0.035629
0    0.006803
0    0.012984
0    0.032979
0    0.033141
Name: std_test_accuracy, dtype: float64","0    0.307008
0    0.421268
0    0.100000
0    0.623413
0    0.286847
0    0.105660
Name: mean_test_precision, dtype: float64","0    0.079121
0    0.151282
0    0.300000
0    0.099325
0    0.046770
0    0.033962
Name: std_test_precision, dtype: float64","0    0.484545
0    0.417273
0    0.010000
0    0.416364
0    0.796490
0    0.555455
Name: mean_test_recall, dtype: float64","0    0.141307
0    0.101595
0    0.030000
0    0.108924
0    0.154258
0    0.182020
Name: std_test_recall, dtype: float64","0    0.374091
0    0.405577
0    0.018182
0    0.494928
0    0.418264
0    0.177530
Name: mean_test_f1, dtype: float64","0    0.098323
0    0.102071
0    0.054545
0    0.106329
0    0.059915
0    0.057230
Name: std_test_f1, dtype: float64","0    0.768038
0    0.806168
0    0.832359
0    0.837788
0    0.880644
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.069305
0    0.079237
0    0.077684
0    0.056128
0    0.066081
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.687202
0    0.674106
0    0.504000
0    0.695672
0    0.797081
0    0.540485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.071600
0    0.051473
0    0.015620
0    0.054989
0    0.061153
0    0.100120
Name: std_test_balanced_accuracy, dtype: float64","0    0.306607
0    0.350466
0    0.025986
0    0.468931
0    0.394540
0    0.046509
Name: mean_test_mcc, dtype: float64","0    0.113250
0    0.119075
0    0.093189
0    0.106722
0    0.074272
0    0.115248
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.844545
0    0.840909
0    0.909091
0    0.890000
0    0.730909
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.073681
0    0.044023
0    0.014084
0    0.032385
0    0.069258
0    0.025078
Name: std_test_accuracy, dtype: float64","0    0.307597
0    0.201940
0    0.333333
0    0.341667
0    0.208681
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.114887
0    0.092418
0    0.447214
0    0.218486
0    0.051950
0    0.027730
Name: std_test_precision, dtype: float64","0    0.376364
0    0.239091
0    0.070000
0    0.210000
0    0.664722
0    0.413636
Name: mean_test_recall, dtype: float64","0    0.153537
0    0.150539
0    0.100499
0    0.137477
0    0.164490
0    0.135650
Name: std_test_recall, dtype: float64","0    0.313223
0    0.209005
0    0.113054
0    0.242647
0    0.315847
0    0.132986
Name: mean_test_f1, dtype: float64","0    0.077907
0    0.102614
0    0.159074
0    0.143370
0    0.075916
0    0.046002
Name: std_test_f1, dtype: float64","0    0.712727
0    0.631956
0    0.756454
0    0.736528
0    0.772652
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.057534
0    0.109764
0    0.108403
0    0.077533
0    0.108451
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.634152
0    0.570495
0    0.532000
0    0.584490
0    0.701043
0    0.462586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.048878
0    0.068029
0    0.051536
0    0.058900
0    0.090702
0    0.074749
Name: std_test_balanced_accuracy, dtype: float64","0    0.248741
0    0.129785
0    0.131786
0    0.207246
0    0.256731
0   -0.042621
Name: mean_test_mcc, dtype: float64","0    0.088527
0    0.114532
0    0.201809
0    0.151527
0    0.113727
0    0.086728
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.748182
0    0.866364
0    0.908182
0    0.900909
0    0.733636
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.058501
0    0.031505
0    0.002727
0    0.016983
0    0.041271
0    0.027106
Name: std_test_accuracy, dtype: float64","0    0.175283
0    0.293618
0    0.000000
0    0.426926
0    0.224238
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.052259
0    0.139623
0    0.000000
0    0.186186
0    0.044271
0    0.027277
Name: std_test_precision, dtype: float64","0    0.445455
0    0.286364
0    0.000000
0    0.237273
0    0.758662
0    0.506364
Name: mean_test_recall, dtype: float64","0    0.135024
0    0.167985
0    0.000000
0    0.155369
0    0.126210
0    0.147713
Name: std_test_recall, dtype: float64","0    0.248500
0    0.271303
0    0.000000
0    0.290706
0    0.344963
0    0.161706
Name: mean_test_f1, dtype: float64","0    0.070836
0    0.139801
0    0.000000
0    0.151352
0    0.062985
0    0.046049
Name: std_test_f1, dtype: float64","0    0.651347
0    0.695975
0    0.641036
0    0.773768
0    0.806348
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.078779
0    0.106947
0    0.114148
0    0.056681
0    0.077367
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.612081
0    0.605621
0    0.500000
0    0.602616
0    0.744684
0    0.513434
Name: mean_test_balanced_accuracy, dtype: float64","0    0.071839
0    0.081522
0    0.000000
0    0.076382
0    0.066419
0    0.081306
Name: std_test_balanced_accuracy, dtype: float64","0    0.155072
0    0.208987
0    0.000000
0    0.262443
0    0.306618
0    0.015130
Name: mean_test_mcc, dtype: float64","0    0.097199
0    0.145522
0    0.000000
0    0.157189
0    0.085691
0    0.093881
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.735455
0    0.877273
0    0.908182
0    0.913636
0    0.785455
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.053698
0    0.023793
0    0.002727
0    0.024478
0    0.033328
0    0.029444
Name: std_test_accuracy, dtype: float64","0    0.156881
0    0.357331
0    0.000000
0    0.643333
0    0.270786
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.032835
0    0.103139
0    0.000000
0    0.244177
0    0.034744
0    0.030946
Name: std_test_precision, dtype: float64","0    0.428182
0    0.386364
0    0.000000
0    0.279091
0    0.772828
0    0.504545
Name: mean_test_recall, dtype: float64","0    0.130254
0    0.130178
0    0.000000
0    0.133921
0    0.103717
0    0.161821
Name: std_test_recall, dtype: float64","0    0.226495
0    0.362394
0    0.000000
0    0.363839
0    0.399073
0    0.161607
Name: mean_test_f1, dtype: float64","0    0.048294
0    0.098931
0    0.000000
0    0.142085
0    0.045600
0    0.051911
Name: std_test_f1, dtype: float64","0    0.668414
0    0.679513
0    0.631095
0    0.809672
0    0.847192
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.053976
0    0.079699
0    0.073807
0    0.060812
0    0.056766
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.597500
0    0.656667
0    0.500000
0    0.628535
0    0.779799
0    0.512535
Name: mean_test_balanced_accuracy, dtype: float64","0    0.048023
0    0.063074
0    0.000000
0    0.064720
0    0.047688
0    0.089010
Name: std_test_balanced_accuracy, dtype: float64","0    0.129963
0    0.301000
0    0.000000
0    0.371482
0    0.367975
0    0.014601
Name: mean_test_mcc, dtype: float64","0    0.063784
0    0.108217
0    0.000000
0    0.149983
0    0.059983
0    0.102469
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.832727
0    0.863636
0    0.908182
0    0.890909
0    0.717273
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.029931
0    0.025062
0    0.004896
0    0.016763
0    0.046789
0    0.019604
Name: std_test_accuracy, dtype: float64","0    0.240575
0    0.276698
0    0.066667
0    0.321374
0    0.221660
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.052032
0    0.099636
0    0.200000
0    0.157742
0    0.043068
0    0.022004
Name: std_test_precision, dtype: float64","0    0.367273
0    0.288182
0    0.020000
0    0.236364
0    0.812323
0    0.473636
Name: mean_test_recall, dtype: float64","0    0.092460
0    0.138770
0    0.060000
0    0.159234
0    0.129193
0    0.105662
Name: std_test_recall, dtype: float64","0    0.287969
0    0.274343
0    0.030769
0    0.262601
0    0.345473
0    0.152034
Name: mean_test_f1, dtype: float64","0    0.060400
0    0.101613
0    0.092308
0    0.150906
0    0.056719
0    0.036376
Name: std_test_f1, dtype: float64","0    0.714553
0    0.699760
0    0.691074
0    0.759182
0    0.804403
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.075147
0    0.098914
0    0.102934
0    0.051233
0    0.075037
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.623545
0    0.605056
0    0.509000
0    0.596636
0    0.760611
0    0.495586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.046670
0    0.066140
0    0.028705
0    0.073150
0    0.065989
0    0.058247
Name: std_test_balanced_accuracy, dtype: float64","0    0.205881
0    0.204818
0    0.030506
0    0.216107
0    0.317271
0   -0.004649
Name: mean_test_mcc, dtype: float64","0    0.073477
0    0.113528
0    0.102016
0    0.149339
0    0.076851
0    0.067699
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.792727
0    0.872727
0    0.913636
0    0.928182
0    0.794545
0    0.504545
Name: mean_test_accuracy, dtype: float64","0    0.034689
0    0.029317
0    0.006098
0    0.022434
0    0.038182
0    0.022727
Name: std_test_accuracy, dtype: float64","0    0.223424
0    0.354676
0    0.466667
0    0.669704
0    0.293826
0    0.081132
Name: mean_test_precision, dtype: float64","0    0.058743
0    0.157500
0    0.476095
0    0.189973
0    0.047293
0    0.023941
Name: std_test_precision, dtype: float64","0    0.507273
0    0.415455
0    0.069091
0    0.487273
0    0.851843
0    0.425455
Name: mean_test_recall, dtype: float64","0    0.155282
0    0.164495
0    0.077800
0    0.154930
0    0.097041
0    0.125098
Name: std_test_recall, dtype: float64","0    0.308505
0    0.373102
0    0.117133
0    0.549623
0    0.434497
0    0.136260
Name: mean_test_f1, dtype: float64","0    0.082440
0    0.138414
0    0.127467
0    0.144009
0    0.057022
0    0.040151
Name: std_test_f1, dtype: float64","0    0.723641
0    0.719219
0    0.761424
0    0.892565
0    0.892787
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.068373
0    0.089351
0    0.091553
0    0.037090
0    0.040898
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.664525
0    0.667187
0    0.534045
0    0.730126
0    0.820292
0    0.468985
Name: mean_test_balanced_accuracy, dtype: float64","0    0.077879
0    0.083445
0    0.038079
0    0.078062
0    0.046772
0    0.068801
Name: std_test_balanced_accuracy, dtype: float64","0    0.233520
0    0.310373
0    0.165881
0    0.527613
0    0.419261
0   -0.035764
Name: mean_test_mcc, dtype: float64","0    0.107672
0    0.156200
0    0.169863
0    0.154123
0    0.066180
0    0.079150
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.871818
0    0.922727
0    0.918182
0    0.928182
0    0.812727
0    0.520909
Name: mean_test_accuracy, dtype: float64","0    0.026489
0    0.013016
0    0.007042
0    0.015980
0    0.054120
0    0.032025
Name: std_test_accuracy, dtype: float64","0    0.346956
0    0.625476
0    0.825000
0    0.795556
0    0.306980
0    0.098113
Name: mean_test_precision, dtype: float64","0    0.128551
0    0.100357
0    0.317214
0    0.200859
0    0.100669
0    0.034585
Name: std_test_precision, dtype: float64","0    0.407273
0    0.379091
0    0.129091
0    0.328182
0    0.743636
0    0.512727
Name: mean_test_recall, dtype: float64","0    0.159897
0    0.179211
0    0.078498
0    0.128851
0    0.175753
0    0.173215
Name: std_test_recall, dtype: float64","0    0.365503
0    0.449093
0    0.215584
0    0.446560
0    0.428082
0    0.164683
Name: mean_test_f1, dtype: float64","0    0.114042
0    0.165610
0    0.113541
0    0.136661
0    0.113391
0    0.057594
Name: std_test_f1, dtype: float64","0    0.798242
0    0.839014
0    0.861138
0    0.830229
0    0.847767
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.075797
0    0.066725
0    0.071957
0    0.080129
0    0.091558
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.663096
0    0.678540
0    0.563545
0    0.658586
0    0.781706
0    0.517136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.076309
0    0.085668
0    0.038387
0    0.063700
0    0.090511
0    0.095438
Name: std_test_balanced_accuracy, dtype: float64","0    0.302394
0    0.438107
0    0.299859
0    0.470944
0    0.392630
0    0.020402
Name: mean_test_mcc, dtype: float64","0    0.131813
0    0.145305
0    0.125143
0    0.132431
0    0.135512
0    0.110688
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.798182
0    0.858182
0    0.908182
0    0.883636
0    0.699091
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.027813
0    0.029374
0    0.002727
0    0.024326
0    0.040949
0    0.017838
Name: std_test_accuracy, dtype: float64","0    0.176582
0    0.222381
0    0.000000
0    0.104167
0    0.182405
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.098248
0    0.106867
0    0.000000
0    0.218303
0    0.047876
0    0.018487
Name: std_test_precision, dtype: float64","0    0.363636
0    0.229091
0    0.000000
0    0.050000
0    0.646999
0    0.475455
Name: mean_test_recall, dtype: float64","0    0.219692
0    0.174195
0    0.000000
0    0.102470
0    0.154110
0    0.098001
Name: std_test_recall, dtype: float64","0    0.235914
0    0.214618
0    0.000000
0    0.064103
0    0.283027
0    0.152133
Name: mean_test_f1, dtype: float64","0    0.134332
0    0.123072
0    0.000000
0    0.128333
0    0.069966
0    0.031063
Name: std_test_f1, dtype: float64","0    0.679884
0    0.609005
0    0.578862
0    0.622444
0    0.730791
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.103396
0    0.129738
0    0.085013
0    0.126025
0    0.108262
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.602727
0    0.575490
0    0.500000
0    0.508980
0    0.675322
0    0.496485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.104175
0    0.080523
0    0.000000
0    0.052203
0    0.072744
0    0.053904
Name: std_test_balanced_accuracy, dtype: float64","0    0.147965
0    0.144665
0    0.000000
0    0.021230
0    0.217642
0   -0.004121
Name: mean_test_mcc, dtype: float64","0    0.156165
0    0.134253
0    0.000000
0    0.144845
0    0.093607
0    0.062043
Name: std_test_mcc, dtype: float64"
