,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.768182
0    0.891818
0    0.911818
0    0.899091
0    0.789091
0    0.526364
Name: mean_test_accuracy, dtype: float64","0    0.036193
0    0.015980
0    0.004166
0    0.021685
0    0.027212
0    0.021685
Name: std_test_accuracy, dtype: float64","0    0.177905
0    0.345487
0    0.200000
0    0.431667
0    0.254726
0    0.101887
Name: mean_test_precision, dtype: float64","0    0.049219
0    0.145411
0    0.400000
0    0.295188
0    0.041174
0    0.021010
Name: std_test_precision, dtype: float64","0    0.414444
0    0.270000
0    0.020000
0    0.170000
0    0.696768
0    0.547778
Name: mean_test_recall, dtype: float64","0    0.070632
0    0.148661
0    0.040000
0    0.118743
0    0.134260
0    0.124231
Name: std_test_recall, dtype: float64","0    0.247367
0    0.290595
0    0.036364
0    0.227880
0    0.371597
0    0.171787
Name: mean_test_f1, dtype: float64","0    0.056974
0    0.132543
0    0.072727
0    0.147321
0    0.059976
0    0.035878
Name: std_test_f1, dtype: float64","0    0.655647
0    0.730367
0    0.730487
0    0.742768
0    0.789328
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.063744
0    0.083367
0    0.074173
0    0.086505
0    0.090833
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.608841
0    0.611510
0    0.510000
0    0.570520
0    0.747489
0    0.536117
Name: mean_test_balanced_accuracy, dtype: float64","0    0.046103
0    0.066429
0    0.020000
0    0.061186
0    0.065693
0    0.068030
Name: std_test_balanced_accuracy, dtype: float64","0    0.154711
0    0.244097
0    0.060578
0    0.213138
0    0.328656
0    0.040695
Name: mean_test_mcc, dtype: float64","0    0.071880
0    0.129297
0    0.121157
0    0.167420
0    0.082214
0    0.076720
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.796364
0    0.904545
0    0.920909
0    0.908182
0    0.813636
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.047621
0    0.019177
0    0.012231
0    0.025857
0    0.030220
0    0.024410
Name: std_test_accuracy, dtype: float64","0    0.208013
0    0.460931
0    0.661667
0    0.545577
0    0.283324
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.064369
0    0.212646
0    0.356219
0    0.189327
0    0.055329
0    0.026415
Name: std_test_precision, dtype: float64","0    0.415455
0    0.268182
0    0.209091
0    0.306364
0    0.685934
0    0.414545
Name: mean_test_recall, dtype: float64","0    0.145116
0    0.149614
0    0.145284
0    0.111196
0    0.180308
0    0.133806
Name: std_test_recall, dtype: float64","0    0.274046
0    0.329031
0    0.301295
0    0.378780
0    0.398037
0    0.133036
Name: mean_test_f1, dtype: float64","0    0.085371
0    0.161133
0    0.193210
0    0.129120
0    0.082815
0    0.044069
Name: std_test_f1, dtype: float64","0    0.680264
0    0.760810
0    0.819871
0    0.771021
0    0.828660
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.100575
0    0.063890
0    0.054883
0    0.092354
0    0.077853
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.625162
0    0.618576
0    0.601045
0    0.637677
0    0.756340
0    0.463035
Name: mean_test_balanced_accuracy, dtype: float64","0    0.076069
0    0.074758
0    0.071196
0    0.056919
0    0.083971
0    0.073628
Name: std_test_balanced_accuracy, dtype: float64","0    0.187938
0    0.299918
0    0.333311
0    0.357339
0    0.354772
0   -0.042357
Name: mean_test_mcc, dtype: float64","0    0.108072
0    0.172466
0    0.196014
0    0.139610
0    0.107743
0    0.084898
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.871818
0    0.924545
0    0.932727
0    0.913636
0    0.844545
0    0.528182
Name: mean_test_accuracy, dtype: float64","0    0.020103
0    0.017273
0    0.008332
0    0.019177
0    0.020909
0    0.033141
Name: std_test_accuracy, dtype: float64","0    0.352925
0    0.627738
0    0.863333
0    0.575556
0    0.347193
0    0.105660
Name: mean_test_precision, dtype: float64","0    0.086823
0    0.117793
0    0.120370
0    0.205183
0    0.061449
0    0.033962
Name: std_test_precision, dtype: float64","0    0.483636
0    0.426364
0    0.337273
0    0.346364
0    0.771237
0    0.555455
Name: mean_test_recall, dtype: float64","0    0.136352
0    0.135784
0    0.112628
0    0.135112
0    0.104840
0    0.182020
Name: std_test_recall, dtype: float64","0    0.406205
0    0.502386
0    0.467394
0    0.417912
0    0.476333
0    0.177530
Name: mean_test_f1, dtype: float64","0    0.103246
0    0.128704
0    0.118842
0    0.130897
0    0.071223
0    0.057230
Name: std_test_f1, dtype: float64","0    0.792482
0    0.830141
0    0.855369
0    0.858027
0    0.875428
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.057003
0    0.059292
0    0.049177
0    0.064957
0    0.045824
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.697268
0    0.700672
0    0.665136
0    0.658677
0    0.811617
0    0.540485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.069268
0    0.069297
0    0.054424
0    0.068017
0    0.054074
0    0.100120
Name: std_test_balanced_accuracy, dtype: float64","0    0.342905
0    0.476712
0    0.501487
0    0.396286
0    0.446332
0    0.046509
Name: mean_test_mcc, dtype: float64","0    0.115377
0    0.131627
0    0.087928
0    0.143485
0    0.080358
0    0.115248
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.838182
0    0.905455
0    0.911818
0    0.897273
0    0.777273
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.048070
0    0.021203
0    0.011535
0    0.034027
0    0.060199
0    0.025078
Name: std_test_accuracy, dtype: float64","0    0.276226
0    0.486310
0    0.631667
0    0.314213
0    0.225786
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.121937
0    0.224529
0    0.377746
0    0.261163
0    0.053917
0    0.027730
Name: std_test_precision, dtype: float64","0    0.377273
0    0.238182
0    0.129091
0    0.209091
0    0.571364
0    0.413636
Name: mean_test_recall, dtype: float64","0    0.141786
0    0.112139
0    0.090344
0    0.221602
0    0.185413
0    0.135650
Name: std_test_recall, dtype: float64","0    0.300559
0    0.305815
0    0.203323
0    0.230632
0    0.317435
0    0.132986
Name: mean_test_f1, dtype: float64","0    0.085846
0    0.135652
0    0.129938
0    0.222941
0    0.079963
0    0.046002
Name: std_test_f1, dtype: float64","0    0.730858
0    0.750484
0    0.751296
0    0.756034
0    0.738175
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.064551
0    0.068177
0    0.077491
0    0.098572
0    0.092453
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.631081
0    0.605576
0    0.560045
0    0.588035
0    0.685348
0    0.462586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.063646
0    0.052798
0    0.045207
0    0.105864
0    0.079763
0    0.074749
Name: std_test_balanced_accuracy, dtype: float64","0    0.228866
0    0.290025
0    0.245913
0    0.201265
0    0.253333
0   -0.042621
Name: mean_test_mcc, dtype: float64","0    0.105866
0    0.143998
0    0.158945
0    0.224665
0    0.101673
0    0.086728
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.763636
0    0.901818
0    0.913636
0    0.902727
0    0.780000
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.045455
0    0.021818
0    0.014230
0    0.019938
0    0.068971
0    0.027106
Name: std_test_accuracy, dtype: float64","0    0.165029
0    0.471905
0    0.653333
0    0.415411
0    0.265342
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.063733
0    0.156658
0    0.233548
0    0.241006
0    0.080542
0    0.027277
Name: std_test_precision, dtype: float64","0    0.397273
0    0.279091
0    0.189091
0    0.249091
0    0.700985
0    0.506364
Name: mean_test_recall, dtype: float64","0    0.186044
0    0.118045
0    0.095242
0    0.157417
0    0.104462
0    0.147713
Name: std_test_recall, dtype: float64","0    0.231093
0    0.336831
0    0.279331
0    0.302652
0    0.381085
0    0.161706
Name: mean_test_f1, dtype: float64","0    0.093782
0    0.124454
0    0.119007
0    0.182649
0    0.096225
0    0.046049
Name: std_test_f1, dtype: float64","0    0.671912
0    0.741688
0    0.783017
0    0.783835
0    0.826346
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.100554
0    0.122783
0    0.087421
0    0.082652
0    0.065118
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.598980
0    0.622015
0    0.588030
0    0.609035
0    0.744369
0    0.513434
Name: mean_test_balanced_accuracy, dtype: float64","0    0.091754
0    0.058760
0    0.047828
0    0.077742
0    0.074084
0    0.081306
Name: std_test_balanced_accuracy, dtype: float64","0    0.136416
0    0.306521
0    0.306193
0    0.270586
0    0.332829
0    0.015130
Name: mean_test_mcc, dtype: float64","0    0.123704
0    0.127801
0    0.117185
0    0.192117
0    0.116379
0    0.093881
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.719091
0    0.885455
0    0.907273
0    0.925455
0    0.731818
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.055066
0    0.024461
0    0.003636
0    0.018091
0    0.049668
0    0.029444
Name: std_test_accuracy, dtype: float64","0    0.147593
0    0.360833
0    0.000000
0    0.675000
0    0.220529
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.057687
0    0.145488
0    0.000000
0    0.151153
0    0.039900
0    0.030946
Name: std_test_precision, dtype: float64","0    0.408182
0    0.308182
0    0.000000
0    0.339091
0    0.732626
0    0.504545
Name: mean_test_recall, dtype: float64","0    0.133016
0    0.123813
0    0.000000
0    0.169835
0    0.102403
0    0.161821
Name: std_test_recall, dtype: float64","0    0.214328
0    0.329986
0    0.000000
0    0.436510
0    0.337224
0    0.161607
Name: mean_test_f1, dtype: float64","0    0.074771
0    0.130321
0    0.000000
0    0.177640
0    0.053475
0    0.051911
Name: std_test_f1, dtype: float64","0    0.615516
0    0.705681
0    0.710548
0    0.806689
0    0.779561
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.083929
0    0.098963
0    0.091678
0    0.065947
0    0.077701
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.579460
0    0.626051
0    0.499500
0    0.662040
0    0.732161
0    0.512535
Name: mean_test_balanced_accuracy, dtype: float64","0    0.073837
0    0.066456
0    0.001500
0    0.084742
0    0.055458
0    0.089010
Name: std_test_balanced_accuracy, dtype: float64","0    0.107569
0    0.270381
0   -0.003029
0    0.437450
0    0.292613
0    0.014601
Name: mean_test_mcc, dtype: float64","0    0.103315
0    0.143062
0    0.009087
0    0.169216
0    0.073339
0    0.102469
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.817273
0    0.882727
0    0.906364
0    0.900000
0    0.761818
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.044248
0    0.022800
0    0.010000
0    0.016763
0    0.045418
0    0.019604
Name: std_test_accuracy, dtype: float64","0    0.228007
0    0.344583
0    0.400000
0    0.389881
0    0.233786
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.095364
0    0.181736
0    0.435890
0    0.287781
0    0.048568
0    0.022004
Name: std_test_precision, dtype: float64","0    0.375455
0    0.267273
0    0.059091
0    0.196364
0    0.686017
0    0.473636
Name: mean_test_recall, dtype: float64","0    0.121223
0    0.154930
0    0.065839
0    0.157049
0    0.139481
0    0.105662
Name: std_test_recall, dtype: float64","0    0.279672
0    0.280063
0    0.098268
0    0.245035
0    0.345920
0    0.152034
Name: mean_test_f1, dtype: float64","0    0.101254
0    0.128374
0    0.103314
0    0.175944
0    0.062663
0    0.036376
Name: std_test_f1, dtype: float64","0    0.693240
0    0.683813
0    0.677188
0    0.759690
0    0.788148
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.081146
0    0.093518
0    0.099316
0    0.055517
0    0.085802
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.618611
0    0.606126
0    0.525545
0    0.583662
0    0.728346
0    0.495586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.067775
0    0.068183
0    0.033076
0    0.077040
0    0.078153
0    0.058247
Name: std_test_balanced_accuracy, dtype: float64","0    0.193613
0    0.233123
0    0.124968
0    0.220490
0    0.295475
0   -0.004649
Name: mean_test_mcc, dtype: float64","0    0.118953
0    0.138662
0    0.151142
0    0.188257
0    0.094200
0    0.067699
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.799091
0    0.911818
0    0.919091
0    0.923636
0    0.819091
0    0.504545
Name: mean_test_accuracy, dtype: float64","0    0.029162
0    0.016288
0    0.018829
0    0.025455
0    0.039091
0    0.022727
Name: std_test_accuracy, dtype: float64","0    0.235190
0    0.532143
0    0.584762
0    0.638175
0    0.311627
0    0.081132
Name: mean_test_precision, dtype: float64","0    0.040564
0    0.189310
0    0.409290
0    0.210003
0    0.057714
0    0.023941
Name: std_test_precision, dtype: float64","0    0.524545
0    0.258182
0    0.209091
0    0.428182
0    0.763258
0    0.425455
Name: mean_test_recall, dtype: float64","0    0.116637
0    0.121029
0    0.192633
0    0.175972
0    0.106865
0    0.125098
Name: std_test_recall, dtype: float64","0    0.323450
0    0.342205
0    0.287477
0    0.499102
0    0.439737
0    0.136260
Name: mean_test_f1, dtype: float64","0    0.058108
0    0.145000
0    0.239654
0    0.169389
0    0.067098
0    0.040151
Name: std_test_f1, dtype: float64","0    0.721308
0    0.760946
0    0.802615
0    0.883664
0    0.841992
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.059570
0    0.045322
0    0.073374
0    0.046817
0    0.056568
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.675646
0    0.618086
0    0.600045
0    0.701076
0    0.793975
0    0.468985
Name: mean_test_balanced_accuracy, dtype: float64","0    0.057083
0    0.062333
0    0.096099
0    0.090333
0    0.054616
0    0.068801
Name: std_test_balanced_accuracy, dtype: float64","0    0.251434
0    0.327189
0    0.307861
0    0.477878
0    0.407347
0   -0.035764
Name: mean_test_mcc, dtype: float64","0    0.076528
0    0.153038
0    0.252110
0    0.181575
0    0.080032
0    0.079150
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.870000
0    0.918182
0    0.919091
0    0.926364
0    0.804545
0    0.520909
Name: mean_test_accuracy, dtype: float64","0    0.025078
0    0.019498
0    0.014345
0    0.019688
0    0.046931
0    0.032025
Name: std_test_accuracy, dtype: float64","0    0.346041
0    0.598056
0    0.658333
0    0.690040
0    0.294285
0    0.098113
Name: mean_test_precision, dtype: float64","0    0.087402
0    0.186634
0    0.330088
0    0.151033
0    0.092000
0    0.034585
Name: std_test_precision, dtype: float64","0    0.456364
0    0.368182
0    0.238182
0    0.367273
0    0.757273
0    0.512727
Name: mean_test_recall, dtype: float64","0    0.170163
0    0.112907
0    0.163019
0    0.162938
0    0.169932
0    0.173215
Name: std_test_recall, dtype: float64","0    0.387994
0    0.450736
0    0.324897
0    0.465237
0    0.419892
0    0.164683
Name: mean_test_f1, dtype: float64","0    0.103915
0    0.128609
0    0.180858
0    0.158474
0    0.111357
0    0.057594
Name: std_test_f1, dtype: float64","0    0.781853
0    0.825810
0    0.846704
0    0.822837
0    0.877775
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.075359
0    0.051340
0    0.061164
0    0.084583
0    0.072572
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.684141
0    0.671071
0    0.613091
0    0.675131
0    0.783614
0    0.517136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.084863
0    0.059201
0    0.078847
0    0.082240
0    0.093733
0    0.095438
Name: std_test_balanced_accuracy, dtype: float64","0    0.324616
0    0.426197
0    0.350481
0    0.462466
0    0.385759
0    0.020402
Name: mean_test_mcc, dtype: float64","0    0.124757
0    0.143976
0    0.182930
0    0.155596
0    0.136592
0    0.110688
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.800000
0    0.900000
0    0.913636
0    0.894545
0    0.742727
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.018631
0    0.021513
0    0.008381
0    0.023776
0    0.059620
0    0.017838
Name: std_test_accuracy, dtype: float64","0    0.165975
0    0.391667
0    0.400000
0    0.380000
0    0.224203
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.070217
0    0.311916
0    0.489898
0    0.294090
0    0.074658
0    0.018487
Name: std_test_precision, dtype: float64","0    0.315455
0    0.207273
0    0.060000
0    0.159091
0    0.675570
0    0.475455
Name: mean_test_recall, dtype: float64","0    0.155401
0    0.185677
0    0.080000
0    0.102550
0    0.114215
0    0.098001
Name: std_test_recall, dtype: float64","0    0.216520
0    0.256587
0    0.103030
0    0.215721
0    0.332627
0    0.152133
Name: mean_test_f1, dtype: float64","0    0.097440
0    0.204058
0    0.134976
0    0.140004
0    0.088496
0    0.031063
Name: std_test_f1, dtype: float64","0    0.661581
0    0.743031
0    0.749564
0    0.760843
0    0.787113
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.085861
0    0.088235
0    0.073065
0    0.098098
0    0.090126
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.582131
0    0.588621
0    0.530000
0    0.564020
0    0.712682
0    0.496485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.072483
0    0.094090
0    0.040000
0    0.054564
0    0.075564
0    0.053904
Name: std_test_balanced_accuracy, dtype: float64","0    0.122333
0    0.228841
0    0.146645
0    0.191446
0    0.276518
0   -0.004121
Name: mean_test_mcc, dtype: float64","0    0.110364
0    0.222808
0    0.184068
0    0.171045
0    0.110348
0    0.062043
Name: std_test_mcc, dtype: float64"
