,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.767168
0    0.891463
0    0.910763
0    0.900637
0    0.782017
0    0.527124
Name: mean_test_accuracy, dtype: float64","0    0.043147
0    0.012690
0    0.004216
0    0.009942
0    0.031028
0    0.012217
Name: std_test_accuracy, dtype: float64","0    0.176408
0    0.366364
0    0.200000
0    0.386364
0    0.256408
0    0.106205
Name: mean_test_precision, dtype: float64","0    0.068681
0    0.080781
0    0.400000
0    0.268849
0    0.048057
0    0.014798
Name: std_test_precision, dtype: float64","0    0.394444
0    0.261111
0    0.020000
0    0.160000
0    0.716692
0    0.564444
Name: mean_test_recall, dtype: float64","0    0.105672
0    0.126711
0    0.040000
0    0.128062
0    0.119652
0    0.071802
Name: std_test_recall, dtype: float64","0    0.241614
0    0.290961
0    0.036364
0    0.206002
0    0.374849
0    0.178757
Name: mean_test_f1, dtype: float64","0    0.080283
0    0.098832
0    0.072727
0    0.137004
0    0.060326
0    0.024559
Name: std_test_f1, dtype: float64","0    0.649068
0    0.748992
0    0.729836
0    0.734092
0    0.793299
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.062390
0    0.076541
0    0.075529
0    0.084867
0    0.089396
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.599526
0    0.607803
0    0.510000
0    0.567353
0    0.752684
0    0.543864
Name: mean_test_balanced_accuracy, dtype: float64","0    0.066433
0    0.056286
0    0.020000
0    0.058015
0    0.055865
0    0.038971
Name: std_test_balanced_accuracy, dtype: float64","0    0.144719
0    0.246721
0    0.060553
0    0.191378
0    0.334070
0    0.050804
Name: mean_test_mcc, dtype: float64","0    0.102214
0    0.090950
0    0.121106
0    0.140384
0    0.073763
0    0.044868
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.800476
0    0.907781
0    0.919227
0    0.910701
0    0.792704
0    0.500970
Name: mean_test_accuracy, dtype: float64","0    0.046324
0    0.017129
0    0.013439
0    0.022325
0    0.024136
0    0.015885
Name: std_test_accuracy, dtype: float64","0    0.197110
0    0.545357
0    0.708333
0    0.508571
0    0.266412
0    0.078431
Name: mean_test_precision, dtype: float64","0    0.099522
0    0.187791
0    0.305619
0    0.173947
0    0.021608
0    0.017538
Name: std_test_precision, dtype: float64","0    0.400000
0    0.297778
0    0.193333
0    0.351111
0    0.742237
0    0.421111
Name: mean_test_recall, dtype: float64","0    0.184859
0    0.086752
0    0.098282
0    0.177930
0    0.126588
0    0.093419
Name: std_test_recall, dtype: float64","0    0.262400
0    0.364010
0    0.292324
0    0.401092
0    0.389381
0    0.132186
Name: mean_test_f1, dtype: float64","0    0.126598
0    0.088284
0    0.137449
0    0.170127
0    0.031365
0    0.029407
Name: std_test_f1, dtype: float64","0    0.678021
0    0.787370
0    0.835778
0    0.792083
0    0.842620
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.102505
0    0.061301
0    0.033212
0    0.076513
0    0.060348
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.620005
0    0.633193
0    0.592484
0    0.658851
0    0.770199
0    0.465002
Name: mean_test_balanced_accuracy, dtype: float64","0    0.094348
0    0.041808
0    0.049013
0    0.089283
0    0.053184
0    0.050869
Name: std_test_balanced_accuracy, dtype: float64","0    0.177217
0    0.343513
0    0.331923
0    0.369975
0    0.355647
0   -0.040099
Name: mean_test_mcc, dtype: float64","0    0.147804
0    0.079531
0    0.150348
0    0.173997
0    0.052388
0    0.057819
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.849148
0    0.927436
0    0.937930
0    0.919771
0    0.830998
0    0.523407
Name: mean_test_accuracy, dtype: float64","0    0.023826
0    0.014773
0    0.008714
0    0.019627
0    0.027454
0    0.029880
Name: std_test_accuracy, dtype: float64","0    0.277230
0    0.646667
0    0.893333
0    0.605238
0    0.316928
0    0.101961
Name: mean_test_precision, dtype: float64","0    0.094263
0    0.114455
0    0.109087
0    0.210487
0    0.068422
0    0.028818
Name: std_test_precision, dtype: float64","0    0.465556
0    0.412222
0    0.357778
0    0.366667
0    0.746616
0    0.563333
Name: mean_test_recall, dtype: float64","0    0.185089
0    0.144226
0    0.106203
0    0.142118
0    0.128050
0    0.171201
Name: std_test_recall, dtype: float64","0    0.345197
0    0.492665
0    0.496803
0    0.441295
0    0.439106
0    0.172623
Name: mean_test_f1, dtype: float64","0    0.123970
0    0.116825
0    0.101727
0    0.134641
0    0.068307
0    0.049321
Name: std_test_f1, dtype: float64","0    0.798817
0    0.820018
0    0.853354
0    0.856535
0    0.870740
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.047184
0    0.064337
0    0.047524
0    0.050512
0    0.035193
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.676166
0    0.695102
0    0.676279
0    0.670214
0    0.793234
0    0.541606
Name: mean_test_balanced_accuracy, dtype: float64","0    0.091035
0    0.070965
0    0.051558
0    0.069854
0    0.058709
0    0.093693
Name: std_test_balanced_accuracy, dtype: float64","0    0.279090
0    0.475538
0    0.533416
0    0.424024
0    0.409110
0    0.046213
Name: mean_test_mcc, dtype: float64","0    0.141505
0    0.117993
0    0.074939
0    0.147827
0    0.079010
0    0.105966
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.844149
0    0.906663
0    0.912614
0    0.897713
0    0.792505
0    0.504446
Name: mean_test_accuracy, dtype: float64","0    0.027418
0    0.018353
0    0.014551
0    0.021364
0    0.027146
0    0.025619
Name: std_test_accuracy, dtype: float64","0    0.259797
0    0.378571
0    0.566667
0    0.305556
0    0.238780
0    0.092000
Name: mean_test_precision, dtype: float64","0    0.059788
0    0.287928
0    0.416333
0    0.254878
0    0.048191
0    0.027129
Name: std_test_precision, dtype: float64","0    0.374444
0    0.198889
0    0.121111
0    0.153333
0    0.604921
0    0.503333
Name: mean_test_recall, dtype: float64","0    0.143677
0    0.148112
0    0.104993
0    0.112195
0    0.172979
0    0.138247
Name: std_test_recall, dtype: float64","0    0.295789
0    0.254670
0    0.190466
0    0.197924
0    0.340505
0    0.155537
Name: mean_test_f1, dtype: float64","0    0.065528
0    0.184453
0    0.154638
0    0.147723
0    0.073951
0    0.045292
Name: std_test_f1, dtype: float64","0    0.705309
0    0.745914
0    0.747372
0    0.767427
0    0.754894
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.063342
0    0.063687
0    0.081016
0    0.077601
0    0.089451
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.632689
0    0.587984
0    0.556196
0    0.562453
0    0.707992
0    0.503853
Name: mean_test_balanced_accuracy, dtype: float64","0    0.058853
0    0.072039
0    0.053742
0    0.052953
0    0.081349
0    0.076216
Name: std_test_balanced_accuracy, dtype: float64","0    0.224152
0    0.234846
0    0.226626
0    0.169986
0    0.282910
0    0.005002
Name: mean_test_mcc, dtype: float64","0    0.077434
0    0.191005
0    0.187630
0    0.158472
0    0.101823
0    0.087847
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.775818
0    0.890597
0    0.915260
0    0.893789
0    0.801682
0    0.506520
Name: mean_test_accuracy, dtype: float64","0    0.044308
0    0.024173
0    0.017446
0    0.016879
0    0.061087
0    0.031856
Name: std_test_accuracy, dtype: float64","0    0.174084
0    0.308056
0    0.563333
0    0.343690
0    0.280231
0    0.102128
Name: mean_test_precision, dtype: float64","0    0.059647
0    0.199334
0    0.346795
0    0.148068
0    0.078711
0    0.034043
Name: std_test_precision, dtype: float64","0    0.362500
0    0.204167
0    0.186111
0    0.283333
0    0.646263
0    0.556944
Name: mean_test_recall, dtype: float64","0    0.129465
0    0.138618
0    0.147667
0    0.173049
0    0.148947
0    0.178238
Name: std_test_recall, dtype: float64","0    0.231888
0    0.238630
0    0.268145
0    0.304692
0    0.383348
0    0.172532
Name: mean_test_f1, dtype: float64","0    0.075191
0    0.157376
0    0.192708
0    0.156083
0    0.093288
0    0.057056
Name: std_test_f1, dtype: float64","0    0.645489
0    0.717628
0    0.786408
0    0.765778
0    0.795470
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.094601
0    0.107740
0    0.077671
0    0.090357
0    0.089812
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.590228
0    0.581971
0    0.587733
0    0.619790
0    0.731665
0    0.529095
Name: mean_test_balanced_accuracy, dtype: float64","0    0.070852
0    0.066750
0    0.074202
0    0.082132
0    0.081023
0    0.097514
Name: std_test_balanced_accuracy, dtype: float64","0    0.133762
0    0.193722
0    0.285867
0    0.257551
0    0.330558
0    0.034170
Name: mean_test_mcc, dtype: float64","0    0.100413
0    0.157967
0    0.205769
0    0.150654
0    0.113346
0    0.113263
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.725705
0    0.894757
0    0.904831
0    0.913795
0    0.749401
0    0.499513
Name: mean_test_accuracy, dtype: float64","0    0.041203
0    0.021274
0    0.005295
0    0.013155
0    0.078917
0    0.026893
Name: std_test_accuracy, dtype: float64","0    0.168389
0    0.440397
0    0.000000
0    0.658333
0    0.247632
0    0.106522
Name: mean_test_precision, dtype: float64","0    0.053604
0    0.148436
0    0.000000
0    0.196815
0    0.066432
0    0.024691
Name: std_test_precision, dtype: float64","0    0.470833
0    0.305556
0    0.000000
0    0.237500
0    0.710823
0    0.581944
Name: mean_test_recall, dtype: float64","0    0.142109
0    0.118667
0    0.000000
0    0.078186
0    0.124236
0    0.152329
Name: std_test_recall, dtype: float64","0    0.247018
0    0.351366
0    0.000000
0    0.339907
0    0.358944
0    0.180000
Name: mean_test_f1, dtype: float64","0    0.075391
0    0.118073
0    0.000000
0    0.094592
0    0.070344
0    0.042437
Name: std_test_f1, dtype: float64","0    0.644875
0    0.691814
0    0.695814
0    0.774575
0    0.791412
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.094945
0    0.095190
0    0.089104
0    0.071748
0    0.077128
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.611667
0    0.631119
0    0.500000
0    0.611327
0    0.732589
0    0.536636
Name: mean_test_balanced_accuracy, dtype: float64","0    0.076094
0    0.059913
0    0.000000
0    0.038508
0    0.055100
0    0.083155
Name: std_test_balanced_accuracy, dtype: float64","0    0.148953
0    0.307473
0    0.000000
0    0.354797
0    0.309671
0    0.041587
Name: mean_test_mcc, dtype: float64","0    0.103477
0    0.126469
0    0.000000
0    0.105968
0    0.078064
0    0.096789
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.821905
0    0.887619
0    0.906667
0    0.893333
0    0.727619
0    0.500000
Name: mean_test_accuracy, dtype: float64","0    0.047246
0    0.016385
0    0.012635
0    0.015238
0    0.046501
0    0.025644
Name: std_test_accuracy, dtype: float64","0    0.229706
0    0.342976
0    0.266667
0    0.321970
0    0.222880
0    0.080392
Name: mean_test_precision, dtype: float64","0    0.125002
0    0.148956
0    0.416333
0    0.185475
0    0.040464
0    0.026956
Name: std_test_precision, dtype: float64","0    0.356667
0    0.280000
0    0.064444
0    0.223333
0    0.771086
0    0.422222
Name: mean_test_recall, dtype: float64","0    0.190998
0    0.181135
0    0.132665
0    0.195533
0    0.149725
0    0.135446
Name: std_test_recall, dtype: float64","0    0.270230
0    0.294353
0    0.089697
0    0.251007
0    0.342494
0    0.135027
Name: mean_test_f1, dtype: float64","0    0.134760
0    0.147649
0    0.164349
0    0.184174
0    0.052387
0    0.044921
Name: std_test_f1, dtype: float64","0    0.695598
0    0.731363
0    0.695524
0    0.773771
0    0.806108
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.118064
0    0.097770
0    0.100780
0    0.060726
0    0.080388
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.612747
0    0.614830
0    0.528554
0    0.592264
0    0.748115
0    0.465048
Name: mean_test_balanced_accuracy, dtype: float64","0    0.097198
0    0.084211
0    0.064731
0    0.094892
0    0.080129
0    0.074803
Name: std_test_balanced_accuracy, dtype: float64","0    0.187470
0    0.245088
0    0.097650
0    0.208769
0    0.305484
0   -0.040358
Name: mean_test_mcc, dtype: float64","0    0.157829
0    0.153407
0    0.187968
0    0.185832
0    0.086770
0    0.087625
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.792941
0    0.912693
0    0.917029
0    0.934233
0    0.807094
0    0.500000
Name: mean_test_accuracy, dtype: float64","0    0.060730
0    0.010351
0    0.015228
0    0.012437
0    0.051066
0    0.027286
Name: std_test_accuracy, dtype: float64","0    0.225961
0    0.534524
0    0.607500
0    0.717738
0    0.295888
0    0.095745
Name: mean_test_precision, dtype: float64","0    0.083677
0    0.126102
0    0.313459
0    0.132410
0    0.075455
0    0.025620
Name: std_test_precision, dtype: float64","0    0.479167
0    0.322222
0    0.229167
0    0.477778
0    0.763571
0    0.538889
Name: mean_test_recall, dtype: float64","0    0.138367
0    0.112114
0    0.180582
0    0.137240
0    0.183365
0    0.153005
Name: std_test_recall, dtype: float64","0    0.303275
0    0.391772
0    0.300596
0    0.558928
0    0.420381
0    0.162532
Name: mean_test_f1, dtype: float64","0    0.101090
0    0.104080
0    0.186866
0    0.108186
0    0.093058
0    0.043784
Name: std_test_f1, dtype: float64","0    0.723630
0    0.790677
0    0.811268
0    0.895791
0    0.848556
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.097837
0    0.073851
0    0.090454
0    0.052678
0    0.095133
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.651824
0    0.646909
0    0.607496
0    0.728833
0    0.787626
0    0.517652
Name: mean_test_balanced_accuracy, dtype: float64","0    0.081323
0    0.053807
0    0.086606
0    0.066662
0    0.085864
0    0.083933
Name: std_test_balanced_accuracy, dtype: float64","0    0.223873
0    0.366939
0    0.321049
0    0.546088
0    0.391224
0    0.019383
Name: mean_test_mcc, dtype: float64","0    0.125610
0    0.103323
0    0.181014
0    0.106646
0    0.115523
0    0.095812
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.867039
0    0.915304
0    0.922594
0    0.927139
0    0.800484
0    0.508190
Name: mean_test_accuracy, dtype: float64","0    0.033297
0    0.014755
0    0.012972
0    0.019500
0    0.052270
0    0.026147
Name: std_test_accuracy, dtype: float64","0    0.340189
0    0.572143
0    0.678571
0    0.684524
0    0.288420
0    0.084906
Name: mean_test_precision, dtype: float64","0    0.089248
0    0.191195
0    0.313392
0    0.140792
0    0.087547
0    0.027015
Name: std_test_precision, dtype: float64","0    0.450000
0    0.340000
0    0.260000
0    0.360000
0    0.754343
0    0.450000
Name: mean_test_recall, dtype: float64","0    0.143178
0    0.101980
0    0.135647
0    0.185472
0    0.174284
0    0.143178
Name: std_test_recall, dtype: float64","0    0.382481
0    0.418765
0    0.361560
0    0.455459
0    0.414336
0    0.142857
Name: mean_test_f1, dtype: float64","0    0.104158
0    0.113402
0    0.163367
0    0.170392
0    0.110999
0    0.045453
Name: std_test_f1, dtype: float64","0    0.796348
0    0.829988
0    0.848362
0    0.833399
0    0.865570
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.062793
0    0.052438
0    0.064521
0    0.073011
0    0.085079
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.679424
0    0.656485
0    0.624500
0    0.671985
0    0.779943
0    0.482010
Name: mean_test_balanced_accuracy, dtype: float64","0    0.075855
0    0.050882
0    0.066047
0    0.093037
0    0.097735
0    0.078770
Name: std_test_balanced_accuracy, dtype: float64","0    0.317216
0    0.395549
0    0.383448
0    0.455047
0    0.379320
0   -0.020718
Name: mean_test_mcc, dtype: float64","0    0.121122
0    0.128349
0    0.172099
0    0.165417
0    0.140554
0    0.090716
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.806757
0    0.894595
0    0.914865
0    0.879730
0    0.672973
0    0.500000
Name: mean_test_accuracy, dtype: float64","0    0.054071
0    0.039537
0    0.012162
0    0.035471
0    0.065593
0    0.024174
Name: std_test_accuracy, dtype: float64","0    0.188689
0    0.344167
0    0.200000
0    0.276667
0    0.170777
0    0.100000
Name: mean_test_precision, dtype: float64","0    0.102191
0    0.387048
0    0.400000
0    0.275197
0    0.062366
0    0.025784
Name: std_test_precision, dtype: float64","0    0.359524
0    0.166667
0    0.047619
0    0.166667
0    0.661349
0    0.573810
Name: mean_test_recall, dtype: float64","0    0.214933
0    0.158293
0    0.104328
0    0.106479
0    0.160500
0    0.129297
Name: std_test_recall, dtype: float64","0    0.242258
0    0.219293
0    0.075000
0    0.188765
0    0.269205
0    0.170202
Name: mean_test_f1, dtype: float64","0    0.132712
0    0.221039
0    0.160078
0    0.123017
0    0.087064
0    0.042913
Name: std_test_f1, dtype: float64","0    0.689281
0    0.719387
0    0.718006
0    0.734272
0    0.726372
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.098487
0    0.111189
0    0.091030
0    0.144881
0    0.087469
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.605530
0    0.566224
0    0.523810
0    0.558092
0    0.666574
0    0.533206
Name: mean_test_balanced_accuracy, dtype: float64","0    0.109117
0    0.086278
0    0.052164
0    0.045812
0    0.080587
0    0.071296
Name: std_test_balanced_accuracy, dtype: float64","0    0.157661
0    0.189921
0    0.092318
0    0.146074
0    0.204722
0    0.038403
Name: mean_test_mcc, dtype: float64","0    0.162303
0    0.257266
0    0.189922
0    0.150795
0    0.106459
0    0.082953
Name: std_test_mcc, dtype: float64"
