,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.785561
0    0.913620
0    0.924834
0    0.904019
0    0.604864
0    0.534204
Name: mean_test_accuracy, dtype: float64","0    0.030692
0    0.022783
0    0.006989
0    0.024719
0    0.044232
0    0.042204
Name: std_test_accuracy, dtype: float64","0    0.109544
0    0.400000
0    0.000000
0    0.275000
0    0.118636
0    0.093333
Name: mean_test_precision, dtype: float64","0    0.084337
0    0.435890
0    0.000000
0    0.333437
0    0.045257
0    0.044222
Name: std_test_precision, dtype: float64","0    0.310000
0    0.125000
0    0.000000
0    0.150000
0    0.740714
0    0.590000
Name: mean_test_recall, dtype: float64","0    0.251794
0    0.136473
0    0.000000
0    0.161245
0    0.237161
0    0.276405
Name: std_test_recall, dtype: float64","0    0.160021
0    0.179683
0    0.000000
0    0.185238
0    0.198588
0    0.161008
Name: mean_test_f1, dtype: float64","0    0.122428
0    0.183991
0    0.000000
0    0.198850
0    0.069999
0    0.075987
Name: std_test_f1, dtype: float64","0    0.592768
0    0.634977
0    0.653714
0    0.711555
0    0.731345
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.116566
0    0.148528
0    0.093154
0    0.063148
0    0.119746
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.567629
0    0.551278
0    0.500000
0    0.557698
0    0.669688
0    0.559670
Name: mean_test_balanced_accuracy, dtype: float64","0    0.116400
0    0.072710
0    0.000000
0    0.084688
0    0.109544
0    0.149975
Name: std_test_balanced_accuracy, dtype: float64","0    0.079411
0    0.179133
0    0.000000
0    0.150349
0    0.157495
0    0.064268
Name: mean_test_mcc, dtype: float64","0    0.154253
0    0.233948
0    0.000000
0    0.227212
0    0.095240
0    0.155569
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.808290
0    0.914014
0    0.916108
0    0.923293
0    0.844588
0    0.530573
Name: mean_test_accuracy, dtype: float64","0    0.028625
0    0.009087
0    0.013961
0    0.020888
0    0.045474
0    0.028436
Name: std_test_accuracy, dtype: float64","0    0.214109
0    0.550000
0    0.491667
0    0.596364
0    0.328195
0    0.111525
Name: mean_test_precision, dtype: float64","0    0.068651
0    0.168819
0    0.366003
0    0.183679
0    0.071068
0    0.029638
Name: std_test_precision, dtype: float64","0    0.454167
0    0.276389
0    0.155556
0    0.413889
0    0.703442
0    0.630556
Name: mean_test_recall, dtype: float64","0    0.161858
0    0.082273
0    0.122632
0    0.149820
0    0.145523
0    0.162708
Name: std_test_recall, dtype: float64","0    0.288916
0    0.352234
0    0.227436
0    0.476116
0    0.442056
0    0.189468
Name: mean_test_f1, dtype: float64","0    0.094651
0    0.083342
0    0.170184
0    0.154074
0    0.086613
0    0.050011
Name: std_test_f1, dtype: float64","0    0.700619
0    0.799654
0    0.844426
0    0.828690
0    0.860605
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.096044
0    0.047738
0    0.027120
0    0.053998
0    0.042104
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.648227
0    0.625714
0    0.572102
0    0.692759
0    0.780641
0    0.575780
Name: mean_test_balanced_accuracy, dtype: float64","0    0.082027
0    0.039154
0    0.060950
0    0.075318
0    0.074052
0    0.089103
Name: std_test_balanced_accuracy, dtype: float64","0    0.214568
0    0.338228
0    0.240758
0    0.452043
0    0.406115
0    0.085498
Name: mean_test_mcc, dtype: float64","0    0.116155
0    0.069665
0    0.192114
0    0.159182
0    0.103620
0    0.100670
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.847648
0    0.929644
0    0.922681
0    0.915678
0    0.787477
0    0.484977
Name: mean_test_accuracy, dtype: float64","0    0.027823
0    0.021972
0    0.012440
0    0.021424
0    0.064995
0    0.035172
Name: std_test_accuracy, dtype: float64","0    0.257704
0    0.671667
0    0.550000
0    0.529127
0    0.272260
0    0.086667
Name: mean_test_precision, dtype: float64","0    0.091674
0    0.210033
0    0.471699
0    0.200338
0    0.091170
0    0.033628
Name: std_test_precision, dtype: float64","0    0.441071
0    0.396429
0    0.110714
0    0.337500
0    0.783135
0    0.528571
Name: mean_test_recall, dtype: float64","0    0.208409
0    0.174745
0    0.123924
0    0.162774
0    0.129823
0    0.205815
Name: std_test_recall, dtype: float64","0    0.320853
0    0.478687
0    0.176667
0    0.398144
0    0.398468
0    0.148839
Name: mean_test_f1, dtype: float64","0    0.126091
0    0.169403
0    0.179175
0    0.149183
0    0.108571
0    0.057666
Name: std_test_f1, dtype: float64","0    0.803707
0    0.807432
0    0.840936
0    0.858888
0    0.880377
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.057009
0    0.060255
0    0.058016
0    0.057910
0    0.048782
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.663700
0    0.688111
0    0.554732
0    0.653584
0    0.785460
0    0.504808
Name: mean_test_balanced_accuracy, dtype: float64","0    0.102808
0    0.086885
0    0.061828
0    0.081854
0    0.077601
0    0.112467
Name: std_test_balanced_accuracy, dtype: float64","0    0.255783
0    0.472514
0    0.228176
0    0.373775
0    0.373876
0    0.004993
Name: mean_test_mcc, dtype: float64","0    0.149740
0    0.172608
0    0.209392
0    0.164290
0    0.124051
0    0.125740
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.864951
0    0.921719
0    0.921693
0    0.918309
0    0.793412
0    0.503996
Name: mean_test_accuracy, dtype: float64","0    0.034889
0    0.018399
0    0.007798
0    0.020637
0    0.038321
0    0.025400
Name: std_test_accuracy, dtype: float64","0    0.274689
0    0.506667
0    0.500000
0    0.598690
0    0.221971
0    0.095362
Name: mean_test_precision, dtype: float64","0    0.080732
0    0.274287
0    0.447214
0    0.278138
0    0.058896
0    0.024504
Name: std_test_precision, dtype: float64","0    0.371429
0    0.235714
0    0.083929
0    0.294643
0    0.633254
0    0.598214
Name: mean_test_recall, dtype: float64","0    0.152739
0    0.152739
0    0.068721
0    0.121966
0    0.226225
0    0.156747
Name: std_test_recall, dtype: float64","0    0.303858
0    0.312922
0    0.141667
0    0.365293
0    0.326980
0    0.164452
Name: mean_test_f1, dtype: float64","0    0.097502
0    0.181005
0    0.116170
0    0.127381
0    0.091733
0    0.042276
Name: std_test_f1, dtype: float64","0    0.719366
0    0.733173
0    0.764830
0    0.774347
0    0.757195
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.089302
0    0.122272
0    0.127516
0    0.088689
0    0.109499
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.639927
0    0.609200
0    0.540112
0    0.634343
0    0.719984
0    0.546947
Name: mean_test_balanced_accuracy, dtype: float64","0    0.065561
0    0.076744
0    0.034172
0    0.058420
0    0.105207
0    0.085358
Name: std_test_balanced_accuracy, dtype: float64","0    0.243113
0    0.308643
0    0.187553
0    0.364171
0    0.284289
0    0.051191
Name: mean_test_mcc, dtype: float64","0    0.102074
0    0.189620
0    0.165979
0    0.142082
0    0.126530
0    0.092535
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.761358
0    0.896499
0    0.911739
0    0.882820
0    0.827702
0    0.528368
Name: mean_test_accuracy, dtype: float64","0    0.037286
0    0.019997
0    0.016491
0    0.028849
0    0.041727
0    0.026455
Name: std_test_accuracy, dtype: float64","0    0.175642
0    0.448810
0    0.533333
0    0.324978
0    0.325810
0    0.128904
Name: mean_test_precision, dtype: float64","0    0.094282
0    0.255442
0    0.476095
0    0.231723
0    0.082563
0    0.025501
Name: std_test_precision, dtype: float64","0    0.419643
0    0.298214
0    0.128571
0    0.296429
0    0.681667
0    0.662500
Name: mean_test_recall, dtype: float64","0    0.220628
0    0.235559
0    0.134771
0    0.225905
0    0.154596
0    0.128385
Name: std_test_recall, dtype: float64","0    0.246294
0    0.328242
0    0.199444
0    0.303133
0    0.436925
0    0.215774
Name: mean_test_f1, dtype: float64","0    0.129305
0    0.183997
0    0.196787
0    0.214760
0    0.101350
0    0.042452
Name: std_test_f1, dtype: float64","0    0.703516
0    0.769794
0    0.800610
0    0.773376
0    0.815599
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.107807
0    0.113985
0    0.095586
0    0.120595
0    0.097664
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.608924
0    0.629935
0    0.562747
0    0.621466
0    0.762171
0    0.588161
Name: mean_test_balanced_accuracy, dtype: float64","0    0.105905
0    0.110424
0    0.067381
0    0.110407
0    0.080797
0    0.071869
Name: std_test_balanced_accuracy, dtype: float64","0    0.150461
0    0.300552
0    0.240209
0    0.246593
0    0.386995
0    0.104744
Name: mean_test_mcc, dtype: float64","0    0.155496
0    0.201104
0    0.226375
0    0.225452
0    0.117087
0    0.085074
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.759140
0    0.905248
0    0.924578
0    0.900486
0    0.759677
0    0.532873
Name: mean_test_accuracy, dtype: float64","0    0.048418
0    0.017056
0    0.007159
0    0.036250
0    0.081802
0    0.030333
Name: std_test_accuracy, dtype: float64","0    0.107650
0    0.133333
0    0.000000
0    0.361667
0    0.213930
0    0.093333
Name: mean_test_precision, dtype: float64","0    0.068262
0    0.208167
0    0.000000
0    0.323183
0    0.085834
0    0.035901
Name: std_test_precision, dtype: float64","0    0.275000
0    0.060000
0    0.000000
0    0.210000
0    0.724524
0    0.585000
Name: mean_test_recall, dtype: float64","0    0.122984
0    0.091652
0    0.000000
0    0.156205
0    0.195261
0    0.206216
Name: std_test_recall, dtype: float64","0    0.153011
0    0.082143
0    0.000000
0    0.243333
0    0.317582
0    0.160840
Name: mean_test_f1, dtype: float64","0    0.088343
0    0.125814
0    0.000000
0    0.180616
0    0.096135
0    0.061094
Name: std_test_f1, dtype: float64","0    0.601653
0    0.655734
0    0.612765
0    0.785239
0    0.806306
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.104603
0    0.100583
0    0.155234
0    0.096553
0    0.096302
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.536850
0    0.516993
0    0.500000
0    0.583312
0    0.744516
0    0.556414
Name: mean_test_balanced_accuracy, dtype: float64","0    0.075489
0    0.047760
0    0.000000
0    0.079583
0    0.091018
0    0.111317
Name: std_test_balanced_accuracy, dtype: float64","0    0.053339
0    0.051436
0    0.000000
0    0.213765
0    0.294981
0    0.062477
Name: mean_test_mcc, dtype: float64","0    0.109392
0    0.137904
0    0.000000
0    0.209668
0    0.114356
0    0.115738
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.837412
0    0.862179
0    0.899123
0    0.894752
0    0.784163
0    0.503249
Name: mean_test_accuracy, dtype: float64","0    0.041288
0    0.037205
0    0.007070
0    0.023445
0    0.051731
0    0.022695
Name: std_test_accuracy, dtype: float64","0    0.279127
0    0.318420
0    0.033333
0    0.439167
0    0.269927
0    0.108511
Name: mean_test_precision, dtype: float64","0    0.133198
0    0.290010
0    0.100000
0    0.317920
0    0.054292
0    0.022213
Name: std_test_precision, dtype: float64","0    0.400000
0    0.200000
0    0.011111
0    0.211111
0    0.719264
0    0.566667
Name: mean_test_recall, dtype: float64","0    0.180534
0    0.129577
0    0.033333
0    0.160631
0    0.193059
0    0.116003
Name: std_test_recall, dtype: float64","0    0.325460
0    0.221635
0    0.016667
0    0.265138
0    0.389731
0    0.182143
Name: mean_test_f1, dtype: float64","0    0.148770
0    0.138706
0    0.050000
0    0.184629
0    0.080870
0    0.037287
Name: std_test_f1, dtype: float64","0    0.715322
0    0.719607
0    0.695780
0    0.770150
0    0.822062
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.130552
0    0.133223
0    0.073065
0    0.077505
0    0.080705
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.642377
0    0.566896
0    0.503146
0    0.589929
0    0.755987
0    0.531526
Name: mean_test_balanced_accuracy, dtype: float64","0    0.097255
0    0.065338
0    0.013925
0    0.080694
0    0.103757
0    0.064245
Name: std_test_balanced_accuracy, dtype: float64","0    0.244198
0    0.167651
0    0.009646
0    0.242062
0    0.342441
0    0.037439
Name: mean_test_mcc, dtype: float64","0    0.170409
0    0.175886
0    0.047605
0    0.200401
0    0.124852
0    0.076363
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.798579
0    0.917877
0    0.923193
0    0.928456
0    0.823754
0    0.470246
Name: mean_test_accuracy, dtype: float64","0    0.035014
0    0.022877
0    0.009755
0    0.020815
0    0.030689
0    0.026732
Name: std_test_accuracy, dtype: float64","0    0.218375
0    0.373333
0    0.475000
0    0.670952
0    0.301992
0    0.057895
Name: mean_test_precision, dtype: float64","0    0.055161
0    0.353883
0    0.425000
0    0.246117
0    0.054471
0    0.025784
Name: std_test_precision, dtype: float64","0    0.530952
0    0.252381
0    0.138095
0    0.416667
0    0.809405
0    0.347619
Name: mean_test_recall, dtype: float64","0    0.176913
0    0.237428
0    0.136277
0    0.136464
0    0.127554
0    0.164337
Name: std_test_recall, dtype: float64","0    0.305579
0    0.297677
0    0.206133
0    0.494286
0    0.436993
0    0.099192
Name: mean_test_f1, dtype: float64","0    0.077833
0    0.279382
0    0.189317
0    0.136712
0    0.067190
0    0.044508
Name: std_test_f1, dtype: float64","0    0.738223
0    0.765952
0    0.794141
0    0.896967
0    0.861965
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.107169
0    0.087307
0    0.097279
0    0.058705
0    0.084567
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.677174
0    0.616077
0    0.566884
0    0.696035
0    0.817094
0    0.414762
Name: mean_test_balanced_accuracy, dtype: float64","0    0.081331
0    0.118493
0    0.066349
0    0.069124
0    0.058421
0    0.089160
Name: std_test_balanced_accuracy, dtype: float64","0    0.243709
0    0.272053
0    0.235377
0    0.483204
0    0.421445
0   -0.095818
Name: mean_test_mcc, dtype: float64","0    0.102849
0    0.288526
0    0.210312
0    0.153933
0    0.076894
0    0.099085
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.892303
0    0.929525
0    0.932566
0    0.926535
0    0.753343
0    0.500505
Name: mean_test_accuracy, dtype: float64","0    0.026692
0    0.015548
0    0.010808
0    0.015372
0    0.042073
0    0.019092
Name: std_test_accuracy, dtype: float64","0    0.342006
0    0.565476
0    0.693333
0    0.583333
0    0.201282
0    0.082000
Name: mean_test_precision, dtype: float64","0    0.121834
0    0.302078
0    0.322335
0    0.204532
0    0.046525
0    0.016613
Name: std_test_precision, dtype: float64","0    0.412500
0    0.307143
0    0.228571
0    0.319643
0    0.719048
0    0.530357
Name: mean_test_recall, dtype: float64","0    0.216425
0    0.161466
0    0.132143
0    0.193888
0    0.189615
0    0.126786
Name: std_test_recall, dtype: float64","0    0.366510
0    0.386400
0    0.328326
0    0.381003
0    0.313603
0    0.141984
Name: mean_test_f1, dtype: float64","0    0.149433
0    0.191289
0    0.169377
0    0.172985
0    0.072579
0    0.029317
Name: std_test_f1, dtype: float64","0    0.796550
0    0.816067
0    0.836500
0    0.828686
0    0.838337
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.091269
0    0.072932
0    0.077083
0    0.076012
0    0.106257
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.672925
0    0.644828
0    0.610469
0    0.648910
0    0.737567
0    0.514342
Name: mean_test_balanced_accuracy, dtype: float64","0    0.109721
0    0.079661
0    0.064981
0    0.094220
0    0.097339
0    0.068424
Name: std_test_balanced_accuracy, dtype: float64","0    0.314623
0    0.380786
0    0.363951
0    0.378493
0    0.284526
0    0.014177
Name: mean_test_mcc, dtype: float64","0    0.169327
0    0.199762
0    0.173623
0    0.162638
0    0.112650
0    0.072530
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.822449
0    0.895918
0    0.916327
0    0.895918
0    0.610204
0    0.512245
Name: mean_test_accuracy, dtype: float64","0    0.049192
0    0.028057
0    0.006122
0    0.014286
0    0.051991
0    0.037017
Name: std_test_accuracy, dtype: float64","0    0.136753
0    0.166667
0    0.000000
0    0.233333
0    0.142543
0    0.087500
Name: mean_test_precision, dtype: float64","0    0.130084
0    0.341565
0    0.000000
0    0.200000
0    0.037158
0    0.039308
Name: std_test_precision, dtype: float64","0    0.215000
0    0.070000
0    0.000000
0    0.245000
0    0.743333
0    0.510000
Name: mean_test_recall, dtype: float64","0    0.161323
0    0.155242
0    0.000000
0    0.250450
0    0.191949
0    0.225610
Name: std_test_recall, dtype: float64","0    0.163030
0    0.090476
0    0.000000
0    0.225714
0    0.235430
0    0.149261
Name: mean_test_f1, dtype: float64","0    0.139958
0    0.188622
0    0.000000
0    0.203821
0    0.051177
0    0.066714
Name: std_test_f1, dtype: float64","0    0.688889
0    0.691818
0    0.728586
0    0.734242
0    0.727506
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.114881
0    0.166868
0    0.120447
0    0.092117
0    0.102101
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.546313
0    0.520556
0    0.500000
0    0.600253
0    0.672577
0    0.511136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.081026
0    0.081576
0    0.000000
0    0.114219
0    0.100239
0    0.122887
Name: std_test_balanced_accuracy, dtype: float64","0    0.075747
0    0.059364
0    0.000000
0    0.185070
0    0.184517
0    0.012909
Name: mean_test_mcc, dtype: float64","0    0.149375
0    0.216517
0    0.000000
0    0.202573
0    0.099064
0    0.134923
Name: std_test_mcc, dtype: float64"
