,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.796646
0    0.916846
0    0.924834
0    0.888146
0    0.549283
0    0.534204
Name: mean_test_accuracy, dtype: float64","0    0.038563
0    0.019737
0    0.006989
0    0.029747
0    0.084958
0    0.042204
Name: std_test_accuracy, dtype: float64","0    0.104920
0    0.325000
0    0.000000
0    0.125000
0    0.106084
0    0.093333
Name: mean_test_precision, dtype: float64","0    0.094220
0    0.447912
0    0.000000
0    0.154785
0    0.034095
0    0.044222
Name: std_test_precision, dtype: float64","0    0.265000
0    0.085000
0    0.000000
0    0.090000
0    0.765714
0    0.590000
Name: mean_test_recall, dtype: float64","0    0.266505
0    0.105000
0    0.000000
0    0.111355
0    0.264591
0    0.276405
Name: std_test_recall, dtype: float64","0    0.146116
0    0.128889
0    0.000000
0    0.104365
0    0.181502
0    0.161008
Name: mean_test_f1, dtype: float64","0    0.133213
0    0.162936
0    0.000000
0    0.128929
0    0.056959
0    0.075987
Name: std_test_f1, dtype: float64","0    0.603504
0    0.621484
0    0.660296
0    0.653510
0    0.697422
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.092210
0    0.168217
0    0.122262
0    0.090827
0    0.152492
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.552917
0    0.534726
0    0.500000
0    0.521664
0    0.650910
0    0.559670
Name: mean_test_balanced_accuracy, dtype: float64","0    0.126372
0    0.054461
0    0.000000
0    0.060211
0    0.113816
0    0.149975
Name: std_test_balanced_accuracy, dtype: float64","0    0.064162
0    0.132139
0    0.000000
0    0.049224
0    0.135160
0    0.064268
Name: mean_test_mcc, dtype: float64","0    0.166816
0    0.217307
0    0.000000
0    0.139622
0    0.093857
0    0.155569
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.828018
0    0.906701
0    0.919190
0    0.918116
0    0.808140
0    0.530573
Name: mean_test_accuracy, dtype: float64","0    0.033789
0    0.019826
0    0.016462
0    0.022445
0    0.046523
0    0.028436
Name: std_test_accuracy, dtype: float64","0    0.204234
0    0.512143
0    0.665000
0    0.534524
0    0.287117
0    0.111525
Name: mean_test_precision, dtype: float64","0    0.110673
0    0.287436
0    0.318630
0    0.194340
0    0.090217
0    0.029638
Name: std_test_precision, dtype: float64","0    0.386111
0    0.258333
0    0.212500
0    0.366667
0    0.746775
0    0.630556
Name: mean_test_recall, dtype: float64","0    0.239179
0    0.103786
0    0.144878
0    0.167958
0    0.131660
0    0.162708
Name: std_test_recall, dtype: float64","0    0.262786
0    0.323985
0    0.298743
0    0.425938
0    0.405339
0    0.189468
Name: mean_test_f1, dtype: float64","0    0.146089
0    0.120976
0    0.175980
0    0.178333
0    0.094570
0    0.050011
Name: std_test_f1, dtype: float64","0    0.718968
0    0.795173
0    0.828053
0    0.819324
0    0.863448
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.089781
0    0.042753
0    0.039856
0    0.075878
0    0.045131
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.628398
0    0.613270
0    0.599451
0    0.668573
0    0.781008
0    0.575780
Name: mean_test_balanced_accuracy, dtype: float64","0    0.113699
0    0.052898
0    0.073293
0    0.085946
0    0.065873
0    0.089103
Name: std_test_balanced_accuracy, dtype: float64","0    0.190447
0    0.307237
0    0.325473
0    0.396963
0    0.377149
0    0.085498
Name: mean_test_mcc, dtype: float64","0    0.168660
0    0.149169
0    0.179683
0    0.184212
0    0.099316
0    0.100670
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.860358
0    0.933119
0    0.934256
0    0.906496
0    0.782852
0    0.484977
Name: mean_test_accuracy, dtype: float64","0    0.026653
0    0.018168
0    0.019095
0    0.024304
0    0.032502
0    0.035172
Name: std_test_accuracy, dtype: float64","0    0.280553
0    0.715000
0    0.758333
0    0.429087
0    0.256664
0    0.086667
Name: mean_test_precision, dtype: float64","0    0.087907
0    0.184157
0    0.342479
0    0.203490
0    0.048795
0    0.033628
Name: std_test_precision, dtype: float64","0    0.425000
0    0.398214
0    0.289286
0    0.312500
0    0.798016
0    0.528571
Name: mean_test_recall, dtype: float64","0    0.177640
0    0.168473
0    0.161071
0    0.188518
0    0.099692
0    0.205815
Name: std_test_recall, dtype: float64","0    0.333673
0    0.489565
0    0.410707
0    0.347244
0    0.386686
0    0.148839
Name: mean_test_f1, dtype: float64","0    0.118910
0    0.163124
0    0.207900
0    0.184658
0    0.063971
0    0.057666
Name: std_test_f1, dtype: float64","0    0.781666
0    0.829941
0    0.849668
0    0.826582
0    0.870212
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.066626
0    0.057320
0    0.060529
0    0.098776
0    0.043113
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.663244
0    0.690911
0    0.642127
0    0.637294
0    0.789766
0    0.504808
Name: mean_test_balanced_accuracy, dtype: float64","0    0.087610
0    0.084285
0    0.081867
0    0.093997
0    0.055139
0    0.112467
Name: std_test_balanced_accuracy, dtype: float64","0    0.269361
0    0.489102
0    0.442583
0    0.311331
0    0.366805
0    0.004993
Name: mean_test_mcc, dtype: float64","0    0.134713
0    0.152124
0    0.221748
0    0.192872
0    0.076469
0    0.125740
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.871757
0    0.930771
0    0.926226
0    0.918309
0    0.761721
0    0.503996
Name: mean_test_accuracy, dtype: float64","0    0.034397
0    0.010638
0    0.009110
0    0.020002
0    0.071300
0    0.025400
Name: std_test_accuracy, dtype: float64","0    0.282772
0    0.635000
0    0.700000
0    0.540476
0    0.200382
0    0.095362
Name: mean_test_precision, dtype: float64","0    0.123356
0    0.279131
0    0.339935
0    0.227266
0    0.079789
0    0.024504
Name: std_test_precision, dtype: float64","0    0.371429
0    0.303571
0    0.178571
0    0.251786
0    0.569960
0    0.598214
Name: mean_test_recall, dtype: float64","0    0.165562
0    0.169971
0    0.101330
0    0.154946
0    0.165696
0    0.156747
Name: std_test_recall, dtype: float64","0    0.307473
0    0.389035
0    0.270354
0    0.321320
0    0.288090
0    0.164452
Name: mean_test_f1, dtype: float64","0    0.116984
0    0.182080
0    0.136054
0    0.155634
0    0.094527
0    0.042276
Name: std_test_f1, dtype: float64","0    0.703821
0    0.736200
0    0.754343
0    0.766958
0    0.719567
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.088921
0    0.120211
0    0.121002
0    0.098838
0    0.112625
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.643654
0    0.644980
0    0.585582
0    0.614759
0    0.674694
0    0.546947
Name: mean_test_balanced_accuracy, dtype: float64","0    0.068983
0    0.081755
0    0.049589
0    0.076794
0    0.074830
0    0.085358
Name: std_test_balanced_accuracy, dtype: float64","0    0.251435
0    0.398539
0    0.318726
0    0.317843
0    0.230017
0    0.051191
Name: mean_test_mcc, dtype: float64","0    0.118344
0    0.174941
0    0.148151
0    0.157270
0    0.107096
0    0.092535
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.779281
0    0.908942
0    0.914555
0    0.882839
0    0.818075
0    0.528368
Name: mean_test_accuracy, dtype: float64","0    0.041861
0    0.027177
0    0.030614
0    0.030803
0    0.036131
0    0.026455
Name: std_test_accuracy, dtype: float64","0    0.182836
0    0.583095
0    0.591667
0    0.373016
0    0.300530
0    0.128904
Name: mean_test_precision, dtype: float64","0    0.108781
0    0.304491
0    0.419076
0    0.252318
0    0.093504
0    0.025501
Name: std_test_precision, dtype: float64","0    0.391071
0    0.325000
0    0.239286
0    0.267857
0    0.649167
0    0.662500
Name: mean_test_recall, dtype: float64","0    0.268030
0    0.203571
0    0.247462
0    0.174416
0    0.194845
0    0.128385
Name: std_test_recall, dtype: float64","0    0.244130
0    0.390756
0    0.314631
0    0.301103
0    0.407225
0    0.215774
Name: mean_test_f1, dtype: float64","0    0.147224
0    0.205969
0    0.274464
0    0.190034
0    0.118797
0    0.042452
Name: std_test_f1, dtype: float64","0    0.695480
0    0.784068
0    0.821464
0    0.774905
0    0.799417
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.122583
0    0.101464
0    0.093504
0    0.107990
0    0.089599
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.606060
0    0.648712
0    0.613536
0    0.608719
0    0.742016
0    0.588161
Name: mean_test_balanced_accuracy, dtype: float64","0    0.126599
0    0.102569
0    0.126053
0    0.090025
0    0.095645
0    0.071869
Name: std_test_balanced_accuracy, dtype: float64","0    0.151955
0    0.376104
0    0.328412
0    0.249510
0    0.352754
0    0.104744
Name: mean_test_mcc, dtype: float64","0    0.181595
0    0.217103
0    0.289180
0    0.209790
0    0.136993
0    0.085074
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.773835
0    0.910164
0    0.921352
0    0.910087
0    0.701664
0    0.532873
Name: mean_test_accuracy, dtype: float64","0    0.063506
0    0.017637
0    0.004745
0    0.021955
0    0.051017
0    0.030333
Name: std_test_accuracy, dtype: float64","0    0.145976
0    0.183333
0    0.000000
0    0.322778
0    0.185655
0    0.093333
Name: mean_test_precision, dtype: float64","0    0.075197
0    0.320156
0    0.000000
0    0.294837
0    0.047815
0    0.035901
Name: std_test_precision, dtype: float64","0    0.365000
0    0.070000
0    0.000000
0    0.275000
0    0.852143
0    0.585000
Name: mean_test_recall, dtype: float64","0    0.137931
0    0.107703
0    0.000000
0    0.244182
0    0.136951
0    0.206216
Name: std_test_recall, dtype: float64","0    0.204986
0    0.097143
0    0.000000
0    0.282143
0    0.299538
0    0.160840
Name: mean_test_f1, dtype: float64","0    0.095682
0    0.151294
0    0.000000
0    0.230490
0    0.062252
0    0.061094
Name: std_test_f1, dtype: float64","0    0.609239
0    0.672066
0    0.674753
0    0.797474
0    0.831601
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.120344
0    0.087108
0    0.101000
0    0.083431
0    0.070978
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.586281
0    0.524595
0    0.498276
0    0.618368
0    0.771962
0    0.556414
Name: mean_test_balanced_accuracy, dtype: float64","0    0.083836
0    0.055352
0    0.003448
0    0.117003
0    0.057668
0    0.111317
Name: std_test_balanced_accuracy, dtype: float64","0    0.120548
0    0.074779
0   -0.006725
0    0.246894
0    0.298581
0    0.062477
Name: mean_test_mcc, dtype: float64","0    0.121074
0    0.182756
0    0.013450
0    0.246479
0    0.063759
0    0.115738
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.820079
0    0.881720
0    0.896950
0    0.885016
0    0.736641
0    0.503249
Name: mean_test_accuracy, dtype: float64","0    0.049213
0    0.026070
0    0.011248
0    0.019038
0    0.067843
0    0.022695
Name: std_test_accuracy, dtype: float64","0    0.245353
0    0.309286
0    0.200000
0    0.344574
0    0.223382
0    0.108511
Name: mean_test_precision, dtype: float64","0    0.118046
0    0.204619
0    0.331662
0    0.198450
0    0.053474
0    0.022213
Name: std_test_precision, dtype: float64","0    0.366667
0    0.222222
0    0.055556
0    0.211111
0    0.663420
0    0.566667
Name: mean_test_recall, dtype: float64","0    0.165179
0    0.172133
0    0.102439
0    0.135628
0    0.177543
0    0.116003
Name: std_test_recall, dtype: float64","0    0.288169
0    0.254633
0    0.078182
0    0.249857
0    0.329287
0    0.182143
Name: mean_test_f1, dtype: float64","0    0.129049
0    0.183298
0    0.131124
0    0.141669
0    0.069963
0    0.037287
Name: std_test_f1, dtype: float64","0    0.691340
0    0.723051
0    0.713532
0    0.760633
0    0.792369
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.131400
0    0.116123
0    0.110800
0    0.086293
0    0.102435
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.617915
0    0.587646
0    0.521761
0    0.584521
0    0.704902
0    0.531526
Name: mean_test_balanced_accuracy, dtype: float64","0    0.088904
0    0.088135
0    0.048298
0    0.063989
0    0.089840
0    0.064245
Name: std_test_balanced_accuracy, dtype: float64","0    0.200215
0    0.199506
0    0.071410
0    0.206465
0    0.266358
0    0.037439
Name: mean_test_mcc, dtype: float64","0    0.151732
0    0.193656
0    0.150440
0    0.150587
0    0.105671
0    0.076363
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.810351
0    0.917912
0    0.921860
0    0.931140
0    0.827772
0    0.470246
Name: mean_test_accuracy, dtype: float64","0    0.052891
0    0.017427
0    0.018172
0    0.024286
0    0.031499
0    0.026732
Name: std_test_accuracy, dtype: float64","0    0.228613
0    0.565000
0    0.565000
0    0.676667
0    0.303651
0    0.057895
Name: mean_test_precision, dtype: float64","0    0.119191
0    0.391184
0    0.421930
0    0.294033
0    0.065900
0    0.025784
Name: std_test_precision, dtype: float64","0    0.459524
0    0.204762
0    0.185714
0    0.400000
0    0.780833
0    0.347619
Name: mean_test_recall, dtype: float64","0    0.183210
0    0.144514
0    0.147849
0    0.183132
0    0.158021
0    0.164337
Name: std_test_recall, dtype: float64","0    0.301193
0    0.276349
0    0.266450
0    0.486636
0    0.433161
0    0.099192
Name: mean_test_f1, dtype: float64","0    0.141732
0    0.170759
0    0.201322
0    0.196728
0    0.082238
0    0.044508
Name: std_test_f1, dtype: float64","0    0.714424
0    0.763295
0    0.789821
0    0.864082
0    0.846854
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.097697
0    0.072759
0    0.088365
0    0.068387
0    0.090735
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.650901
0    0.594441
0    0.587785
0    0.689876
0    0.806496
0    0.414762
Name: mean_test_balanced_accuracy, dtype: float64","0    0.105347
0    0.068987
0    0.073535
0    0.094083
0    0.076577
0    0.089160
Name: std_test_balanced_accuracy, dtype: float64","0    0.227626
0    0.294210
0    0.290582
0    0.478642
0    0.412801
0   -0.095818
Name: mean_test_mcc, dtype: float64","0    0.166272
0    0.195107
0    0.225450
0    0.215024
0    0.099901
0    0.099085
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.879212
0    0.924515
0    0.932556
0    0.928556
0    0.770414
0    0.500505
Name: mean_test_accuracy, dtype: float64","0    0.034273
0    0.017941
0    0.014837
0    0.018027
0    0.063668
0    0.019092
Name: std_test_accuracy, dtype: float64","0    0.307032
0    0.556667
0    0.681667
0    0.598333
0    0.216983
0    0.082000
Name: mean_test_precision, dtype: float64","0    0.138358
0    0.263899
0    0.337347
0    0.242264
0    0.067458
0    0.016613
Name: std_test_precision, dtype: float64","0    0.360714
0    0.321429
0    0.269643
0    0.280357
0    0.695437
0    0.530357
Name: mean_test_recall, dtype: float64","0    0.171614
0    0.141737
0    0.142063
0    0.190503
0    0.202995
0    0.126786
Name: std_test_recall, dtype: float64","0    0.321083
0    0.392924
0    0.367855
0    0.361458
0    0.327921
0    0.141984
Name: mean_test_f1, dtype: float64","0    0.135739
0    0.160058
0    0.179083
0    0.182570
0    0.095813
0    0.029317
Name: std_test_f1, dtype: float64","0    0.780490
0    0.817299
0    0.831207
0    0.819111
0    0.828650
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.091341
0    0.066860
0    0.067497
0    0.070577
0    0.105580
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.642140
0    0.648704
0    0.629369
0    0.631991
0    0.736142
0    0.514342
Name: mean_test_balanced_accuracy, dtype: float64","0    0.091157
0    0.071680
0    0.070111
0    0.094776
0    0.108433
0    0.068424
Name: std_test_balanced_accuracy, dtype: float64","0    0.263415
0    0.378575
0    0.391829
0    0.367107
0    0.294309
0    0.014177
Name: mean_test_mcc, dtype: float64","0    0.154930
0    0.175452
0    0.188154
0    0.190886
0    0.134110
0    0.072530
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.842857
0    0.897959
0    0.920408
0    0.893878
0    0.628571
0    0.512245
Name: mean_test_accuracy, dtype: float64","0    0.048338
0    0.049149
0    0.010990
0    0.015272
0    0.068177
0    0.037017
Name: std_test_accuracy, dtype: float64","0    0.171905
0    0.300000
0    0.200000
0    0.200000
0    0.149655
0    0.087500
Name: mean_test_precision, dtype: float64","0    0.163472
0    0.458258
0    0.400000
0    0.208167
0    0.029468
0    0.039308
Name: std_test_precision, dtype: float64","0    0.220000
0    0.115000
0    0.050000
0    0.140000
0    0.746667
0    0.510000
Name: mean_test_recall, dtype: float64","0    0.207605
0    0.184459
0    0.100000
0    0.146287
0    0.180093
0    0.225610
Name: std_test_recall, dtype: float64","0    0.186760
0    0.163810
0    0.080000
0    0.163492
0    0.245663
0    0.149261
Name: mean_test_f1, dtype: float64","0    0.176292
0    0.257418
0    0.160000
0    0.169187
0    0.039133
0    0.066714
Name: std_test_f1, dtype: float64","0    0.680152
0    0.705505
0    0.702475
0    0.726414
0    0.706808
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.140401
0    0.104048
0    0.092866
0    0.080315
0    0.130100
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.559949
0    0.541944
0    0.525000
0    0.551061
0    0.683997
0    0.511136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.110366
0    0.104012
0    0.050000
0    0.072104
0    0.094823
0    0.122887
Name: std_test_balanced_accuracy, dtype: float64","0    0.107957
0    0.143870
0    0.096825
0    0.116544
0    0.198389
0    0.012909
Name: mean_test_mcc, dtype: float64","0    0.195624
0    0.301429
0    0.193649
0    0.172520
0    0.088801
0    0.134923
Name: std_test_mcc, dtype: float64"
