,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.764545
0    0.905455
0    0.910000
Name: mean_test_accuracy, dtype: float64","0    0.178141
0    0.410000
0    0.250000
Name: mean_test_precision, dtype: float64","0    0.425556
0    0.250000
0    0.030000
Name: mean_test_recall, dtype: float64","0    0.248814
0    0.301373
0    0.053030
Name: mean_test_f1, dtype: float64","0    0.658316
0    0.748017
0    0.717957
Name: mean_test_roc_auc, dtype: float64","0    0.611921
0    0.610020
0    0.513500
Name: mean_test_balanced_accuracy, dtype: float64","0    0.157501
0    0.270214
0    0.075640
Name: mean_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.806364
0    0.905455
0    0.920909
Name: mean_test_accuracy, dtype: float64","0    0.217002
0    0.504008
0    0.644722
Name: mean_test_precision, dtype: float64","0    0.425455
0    0.277273
0    0.287273
Name: mean_test_recall, dtype: float64","0    0.284779
0    0.343622
0    0.375233
Name: mean_test_f1, dtype: float64","0    0.694238
0    0.756081
0    0.826614
Name: mean_test_roc_auc, dtype: float64","0    0.635146
0    0.623121
0    0.636131
Name: mean_test_balanced_accuracy, dtype: float64","0    0.202945
0    0.319857
0    0.382992
Name: mean_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.872727
0    0.930000
0    0.932727
Name: mean_test_accuracy, dtype: float64","0    0.370471
0    0.719643
0    0.779167
Name: mean_test_precision, dtype: float64","0    0.522727
0    0.446364
0    0.377273
Name: mean_test_recall, dtype: float64","0    0.431293
0    0.539888
0    0.498230
Name: mean_test_f1, dtype: float64","0    0.816887
0    0.861394
0    0.873238
Name: mean_test_roc_auc, dtype: float64","0    0.715318
0    0.712682
0    0.683136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.370623
0    0.526918
0    0.507894
Name: mean_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.839091
0    0.906364
0    0.908182
Name: mean_test_accuracy, dtype: float64","0    0.250145
0    0.598936
0    0.466667
Name: mean_test_precision, dtype: float64","0    0.367273
0    0.249091
0    0.119091
Name: mean_test_recall, dtype: float64","0    0.285688
0    0.319423
0    0.184066
Name: mean_test_f1, dtype: float64","0    0.718769
0    0.760815
0    0.755883
Name: mean_test_roc_auc, dtype: float64","0    0.627096
0    0.611025
0    0.553545
Name: mean_test_balanced_accuracy, dtype: float64","0    0.212932
0    0.325014
0    0.197884
Name: mean_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.772727
0    0.900000
0    0.912727
Name: mean_test_accuracy, dtype: float64","0    0.172826
0    0.500794
0    0.552778
Name: mean_test_precision, dtype: float64","0    0.388182
0    0.249091
0    0.239091
Name: mean_test_recall, dtype: float64","0    0.237375
0    0.311033
0    0.319065
Name: mean_test_f1, dtype: float64","0    0.657042
0    0.742840
0    0.773211
Name: mean_test_roc_auc, dtype: float64","0    0.599965
0    0.607525
0    0.610025
Name: mean_test_balanced_accuracy, dtype: float64","0    0.142374
0    0.289969
0    0.317535
Name: mean_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.714545
0    0.901818
0    0.911818
Name: mean_test_accuracy, dtype: float64","0    0.133493
0    0.461429
0    0.266667
Name: mean_test_precision, dtype: float64","0    0.388182
0    0.288182
0    0.049091
Name: mean_test_recall, dtype: float64","0    0.197213
0    0.351961
0    0.080769
Name: mean_test_f1, dtype: float64","0    0.584325
0    0.711314
0    0.747965
Name: mean_test_roc_auc, dtype: float64","0    0.567980
0    0.626066
0    0.524045
Name: mean_test_balanced_accuracy, dtype: float64","0    0.088104
0    0.313313
0    0.105303
Name: mean_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.825455
0    0.897273
0    0.900909
Name: mean_test_accuracy, dtype: float64","0    0.243164
0    0.437024
0    0.266667
Name: mean_test_precision, dtype: float64","0    0.366364
0    0.217273
0    0.087273
Name: mean_test_recall, dtype: float64","0    0.287698
0    0.282828
0    0.123154
Name: mean_test_f1, dtype: float64","0    0.697409
0    0.745405
0    0.733233
Name: mean_test_roc_auc, dtype: float64","0    0.619071
0    0.591626
0    0.535136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.202799
0    0.254006
0    0.110845
Name: mean_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.804545
0    0.916364
0    0.919091
Name: mean_test_accuracy, dtype: float64","0    0.225469
0    0.594762
0    0.588095
Name: mean_test_precision, dtype: float64","0    0.456364
0    0.269091
0    0.249091
Name: mean_test_recall, dtype: float64","0    0.301041
0    0.363183
0    0.337029
Name: mean_test_f1, dtype: float64","0    0.696616
0    0.772271
0    0.826362
Name: mean_test_roc_auc, dtype: float64","0    0.648076
0    0.625525
0    0.618040
Name: mean_test_balanced_accuracy, dtype: float64","0    0.220119
0    0.359003
0    0.342543
Name: mean_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.878182
0    0.923636
0    0.920000
Name: mean_test_accuracy, dtype: float64","0    0.370227
0    0.641190
0    0.690000
Name: mean_test_precision, dtype: float64","0    0.425455
0    0.397273
0    0.287273
Name: mean_test_recall, dtype: float64","0    0.392449
0    0.481905
0    0.378698
Name: mean_test_f1, dtype: float64","0    0.811706
0    0.844551
0    0.868653
Name: mean_test_roc_auc, dtype: float64","0    0.674692
0    0.687131
0    0.635631
Name: mean_test_balanced_accuracy, dtype: float64","0    0.328553
0    0.463021
0    0.393128
Name: mean_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.806364
0    0.897273
0    0.915455
Name: mean_test_accuracy, dtype: float64","0    0.176480
0    0.340556
0    0.600000
Name: mean_test_precision, dtype: float64","0    0.314545
0    0.185455
0    0.078182
Name: mean_test_recall, dtype: float64","0    0.224727
0    0.235437
0    0.136830
Name: mean_test_f1, dtype: float64","0    0.672886
0    0.763520
0    0.764279
Name: mean_test_roc_auc, dtype: float64","0    0.585192
0    0.577207
0    0.539091
Name: mean_test_balanced_accuracy, dtype: float64","0    0.131765
0    0.200509
0    0.205014
Name: mean_test_mcc, dtype: float64"
