,ba,auc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,0.7324999999999999,0.8031463486008942
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,0.7175,0.8119010099208119
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,0.845,0.883081100902883
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,0.5549999999999999,0.755071903586755
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,0.81,0.8353700234888354
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,0.6475,0.8006719590878008
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,0.6925,0.8004836519688004
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,0.7675,0.865925331271866
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,0.77,0.8706032765438706
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,0.7075,0.791048474216791
IP114_RSVP_Calibration_Wed_24_Aug_2022_12hr35min04sec_-0700,0.4175,0.5583008751325582
IP115_RSVP_Calibration_Thu_04_Aug_2022_09hr17min12sec_-0700,0.6725,0.7522671186037522
IP116_RSVP_Calibration_Fri_26_Aug_2022_13hr16min30sec_-0700,0.495,0.5313134917095313
IP117_RSVP_Calibration_Wed_03_Aug_2022_10hr13min18sec_-0700,0.445,0.5952288922585952
IP120_RSVP_Calibration_Wed_17_Aug_2022_10hr17min29sec_-0700,0.9275,0.9622691998929623
IP121_RSVP_Calibration_Mon_08_Aug_2022_13hr42min00sec_-0700,0.9199999999999999,0.8427437338328428
IP122_RSVP_Calibration_Thu_08_Sep_2022_13hr57min08sec_-0700,0.8925000000000001,0.9231905172499232
IP123_RSVP_Calibration_Fri_19_Aug_2022_13hr56min37sec_-0700,0.7424999999999999,0.8217028910098216
IP124_RSVP_Calibration_Fri_02_Sep_2022_08hr18min56sec_-0700,0.7225,0.7589470658777591
IP125_RSVP_Calibration_Wed_14_Sep_2022_14hr41min17sec_-0700,0.735,0.7742494970217743
IP126_RSVP_Calibration_Thu_25_Aug_2022_10hr32min56sec_-0700,0.7075,0.8286702544128287
IP127_RSVP_Calibration_Mon_29_Aug_2022_09hr30min57sec_-0700,0.7575000000000001,0.8304343947908304
IP128_RSVP_Calibration_Fri_26_Aug_2022_09hr41min34sec_-0700,0.44499999999999995,0.5453770602285454
IP129_RSVP_Calibration_Thu_29_Sep_2022_13hr58min47sec_-0700,0.7625,0.888006818699888
IP130_RSVP_Calibration_Mon_12_Sep_2022_13hr27min39sec_-0700,0.725,0.7747648638737749
IP131_RSVP_Calibration_Mon_12_Sep_2022_09hr34min04sec_-0700,0.895,0.9178683634129179
IP132_RSVP_Calibration_Thu_15_Sep_2022_09hr27min27sec_-0700,0.6075,0.7056858839037058
IP133_RSVP_Calibration_Thu_22_Sep_2022_13hr44min19sec_-0700,0.86,0.858948056967859
IP134_RSVP_Calibration_Mon_19_Sep_2022_13hr42min55sec_-0700,0.7849999999999999,0.9064410945599065
IP135_RSVP_Calibration_Fri_30_Sep_2022_13hr18min41sec_-0700,0.9275,0.9575516110169575
