,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,mcc
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.804545
1    0.797273
2    0.792727
0    0.907273
1    0.890909
2    0.906364
3    0.848182
4    0.846364
5    0.888182
6    0.883636
7    0.885455
8    0.902727
0    0.908182
1    0.909091
2    0.920909
Name: mean_test_accuracy, dtype: float64","0    0.215109
1    0.208625
2    0.200129
0    0.536825
1    0.406339
2    0.489722
3    0.281667
4    0.292372
5    0.394312
6    0.393317
7    0.394672
8    0.551933
0    0.000000
1    0.100000
2    0.644722
Name: mean_test_precision, dtype: float64","0    0.425455
1    0.425455
2    0.415455
0    0.277273
1    0.327273
2    0.277273
3    0.377273
4    0.415455
5    0.365455
6    0.386364
7    0.386364
8    0.357273
0    0.000000
1    0.010000
2    0.287273
Name: mean_test_recall, dtype: float64","0    0.282919
1    0.277875
2    0.268308
0    0.349273
1    0.354607
2    0.342846
3    0.317192
4    0.337085
5    0.369191
6    0.385983
7    0.383992
8    0.401656
0    0.000000
1    0.018182
2    0.375233
Name: mean_test_f1, dtype: float64","0    0.695171
1    0.690132
2    0.688532
0    0.762279
1    0.752406
2    0.759924
3    0.726290
4    0.722668
5    0.778384
6    0.769689
7    0.775535
8    0.799587
0    0.845233
1    0.846041
2    0.826614
Name: mean_test_roc_auc, dtype: float64","0    0.634146
1    0.630146
2    0.623146
0    0.624121
1    0.637621
2    0.623621
3    0.636606
4    0.652672
5    0.653202
6    0.660152
7    0.661152
8    0.657611
0    0.500000
1    0.505000
2    0.636131
Name: mean_test_balanced_accuracy, dtype: float64","0    0.200796
1    0.193125
2    0.181351
0    0.331682
1    0.302899
2    0.316788
3    0.242494
4    0.263246
5    0.315025
6    0.324567
7    0.325678
8    0.375152
0    0.000000
1    0.030289
2    0.382992
Name: mean_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.872727
1    0.866364
2    0.864545
0    0.920000
1    0.917273
2    0.926364
3    0.895455
4    0.901818
5    0.922727
6    0.910000
7    0.914545
8    0.930909
0    0.908182
1    0.909091
2    0.932727
Name: mean_test_accuracy, dtype: float64","0    0.369478
1    0.349469
2    0.345031
0    0.610040
1    0.582316
2    0.673056
3    0.445897
4    0.472186
5    0.607908
6    0.517386
7    0.547294
8    0.709820
0    0.000000
1    0.100000
2    0.779167
Name: mean_test_precision, dtype: float64","0    0.522727
1    0.512727
2    0.513636
0    0.413636
1    0.484545
2    0.436364
3    0.513636
4    0.445455
5    0.493636
6    0.544545
7    0.473636
8    0.473636
0    0.000000
1    0.010000
2    0.377273
Name: mean_test_recall, dtype: float64","0    0.430959
1    0.413046
2    0.410456
0    0.482708
1    0.521118
2    0.522043
3    0.472816
4    0.451294
5    0.534601
6    0.524181
7    0.498946
8    0.553362
0    0.000000
1    0.018182
2    0.498230
Name: mean_test_f1, dtype: float64","0    0.817679
1    0.810502
2    0.814604
0    0.840929
1    0.842326
2    0.859235
3    0.868944
4    0.858718
5    0.876710
6    0.871397
7    0.871828
8    0.883150
0    0.891348
1    0.891064
2    0.873238
Name: mean_test_roc_auc, dtype: float64","0    0.715318
1    0.707303
2    0.706758
0    0.692313
1    0.722763
2    0.706182
3    0.723798
4    0.696707
5    0.729798
6    0.745747
7    0.716293
8    0.725308
0    0.500000
1    0.505000
2    0.683136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.370143
1    0.350682
2    0.347635
0    0.456723
1    0.483535
2    0.501292
3    0.419452
4    0.402186
5    0.502260
6    0.478926
7    0.459349
8    0.538172
0    0.000000
1    0.030289
2    0.507894
Name: mean_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.840909
1    0.837273
2    0.836364
0    0.892727
1    0.882727
2    0.903636
3    0.858182
4    0.854545
5    0.899091
6    0.883636
7    0.898182
8    0.907273
0    0.908182
1    0.908182
2    0.908182
Name: mean_test_accuracy, dtype: float64","0    0.257352
1    0.282984
2    0.271464
0    0.352749
1    0.362925
2    0.586029
3    0.234810
4    0.229805
5    0.383690
6    0.279167
7    0.356548
8    0.515000
0    0.000000
1    0.000000
2    0.466667
Name: mean_test_precision, dtype: float64","0    0.377273
1    0.406364
2    0.416364
0    0.207273
1    0.278182
2    0.229091
3    0.229091
4    0.246364
5    0.218182
6    0.208182
7    0.218182
8    0.219091
0    0.000000
1    0.000000
2    0.119091
Name: mean_test_recall, dtype: float64","0    0.294195
1    0.315222
2    0.314917
0    0.254603
1    0.303187
2    0.297766
3    0.217838
4    0.228863
5    0.265376
6    0.229085
7    0.257892
8    0.275595
0    0.000000
1    0.000000
2    0.184066
Name: mean_test_f1, dtype: float64","0    0.718344
1    0.719003
2    0.720589
0    0.730437
1    0.748798
2    0.762970
3    0.720758
4    0.722221
5    0.755007
6    0.753515
7    0.750572
8    0.766492
0    0.771003
1    0.771103
2    0.755883
Name: mean_test_roc_auc, dtype: float64","0    0.632596
1    0.643646
2    0.647631
0    0.584621
1    0.611061
2    0.600540
3    0.575510
4    0.581157
5    0.593076
6    0.580071
7    0.592576
8    0.598045
0    0.500000
1    0.500000
2    0.553545
Name: mean_test_balanced_accuracy, dtype: float64","0    0.222481
1    0.245932
2    0.244614
0    0.213724
1    0.250394
2    0.304547
3    0.150314
4    0.155875
5    0.235111
6    0.177546
7    0.225335
8    0.277145
0    0.000000
1    0.000000
2    0.197884
Name: mean_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.771818
1    0.746364
2    0.757273
0    0.896364
1    0.890909
2    0.897273
3    0.827273
4    0.870000
5    0.905455
6    0.884545
7    0.885455
8    0.912727
0    0.908182
1    0.910000
2    0.912727
Name: mean_test_accuracy, dtype: float64","0    0.174909
1    0.155712
2    0.163089
0    0.415173
1    0.370144
2    0.475198
3    0.226375
4    0.322576
5    0.487619
6    0.360730
7    0.378690
8    0.563950
0    0.000000
1    0.300000
2    0.552778
Name: mean_test_precision, dtype: float64","0    0.397273
1    0.399091
2    0.389091
0    0.268182
1    0.300000
2    0.249091
3    0.329091
4    0.320000
5    0.278182
6    0.299091
7    0.299091
8    0.318182
0    0.000000
1    0.030000
2    0.239091
Name: mean_test_recall, dtype: float64","0    0.241385
1    0.222829
2    0.227874
0    0.310417
1    0.324824
2    0.301015
3    0.265717
4    0.311137
5    0.339226
6    0.321554
7    0.327156
8    0.391801
0    0.000000
1    0.054545
2    0.319065
Name: mean_test_f1, dtype: float64","0    0.657033
1    0.650385
2    0.655375
0    0.732014
1    0.731891
2    0.743187
3    0.703127
4    0.733687
5    0.769719
6    0.724393
7    0.736291
8    0.768800
0    0.789449
1    0.790333
2    0.773211
Name: mean_test_roc_auc, dtype: float64","0    0.603510
1    0.590394
2    0.591899
0    0.614071
1    0.625480
2    0.606025
3    0.603434
4    0.622944
5    0.623571
6    0.621515
7    0.622000
8    0.645566
0    0.500000
1    0.514500
2    0.610025
Name: mean_test_balanced_accuracy, dtype: float64","0    0.147043
1    0.122512
2    0.128615
0    0.273211
1    0.272772
2    0.276522
3    0.178078
4    0.246158
5    0.313944
6    0.263959
7    0.271860
8    0.373534
0    0.000000
1    0.087838
2    0.317535
Name: mean_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.822727
1    0.806364
2    0.800909
0    0.885455
1    0.876364
2    0.893636
3    0.881818
4    0.866364
5    0.898182
6    0.884545
7    0.894545
8    0.903636
0    0.908182
1    0.908182
2    0.900909
Name: mean_test_accuracy, dtype: float64","0    0.237175
1    0.220912
2    0.210523
0    0.324343
1    0.304452
2    0.322197
3    0.388864
4    0.228388
5    0.360238
6    0.402835
7    0.353651
8    0.382500
0    0.000000
1    0.000000
2    0.266667
Name: mean_test_precision, dtype: float64","0    0.365455
1    0.385455
2    0.376364
0    0.228182
1    0.276364
2    0.197273
3    0.336364
4    0.218182
5    0.187273
6    0.217273
7    0.227273
8    0.157273
0    0.000000
1    0.000000
2    0.087273
Name: mean_test_recall, dtype: float64","0    0.282715
1    0.276673
2    0.266928
0    0.258425
1    0.283400
2    0.237369
3    0.343390
4    0.216163
5    0.240370
6    0.257040
7    0.273105
8    0.218535
0    0.000000
1    0.000000
2    0.123154
Name: mean_test_f1, dtype: float64","0    0.698577
1    0.694424
2    0.691230
0    0.741251
1    0.721291
2    0.746207
3    0.728635
4    0.708918
5    0.760125
6    0.743578
7    0.744215
8    0.760317
0    0.725028
1    0.725245
2    0.733233
Name: mean_test_roc_auc, dtype: float64","0    0.617111
1    0.617081
2    0.610045
0    0.590081
1    0.606662
2    0.580626
3    0.636652
4    0.575066
5    0.578626
6    0.584621
7    0.594616
8    0.568131
0    0.500000
1    0.500000
2    0.535136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.197482
1    0.188222
2    0.175400
0    0.208119
1    0.220667
2    0.199490
3    0.289885
4    0.150593
5    0.211346
6    0.220800
7    0.231957
8    0.204327
0    0.000000
1    0.000000
2    0.110845
Name: mean_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.802727
1    0.786364
2    0.780909
0    0.901818
1    0.900909
2    0.915455
3    0.867273
4    0.901818
5    0.916364
6    0.908182
7    0.919091
8    0.916364
0    0.908182
1    0.910909
2    0.919091
Name: mean_test_accuracy, dtype: float64","0    0.220901
1    0.221349
2    0.216522
0    0.441569
1    0.436742
2    0.585952
3    0.322321
4    0.473968
5    0.635000
6    0.488333
7    0.623413
8    0.570476
0    0.000000
1    0.300000
2    0.588095
Name: mean_test_precision, dtype: float64","0    0.446364
1    0.505455
2    0.504545
0    0.268182
1    0.319091
2    0.259091
3    0.388182
4    0.388182
5    0.269091
6    0.377273
7    0.348182
8    0.269091
0    0.000000
1    0.030000
2    0.249091
Name: mean_test_recall, dtype: float64","0    0.294760
1    0.306597
2    0.301422
0    0.322807
1    0.358722
2    0.351993
3    0.343542
4    0.420338
5    0.370241
6    0.416918
7    0.439233
8    0.359559
0    0.000000
1    0.054545
2    0.337029
Name: mean_test_f1, dtype: float64","0    0.695100
1    0.684690
2    0.689698
0    0.765985
1    0.776891
2    0.773316
3    0.753308
4    0.792065
5    0.822437
6    0.795003
7    0.803554
8    0.830551
0    0.829972
1    0.830289
2    0.826362
Name: mean_test_roc_auc, dtype: float64","0    0.642576
1    0.660116
2    0.656652
0    0.617071
1    0.639525
2    0.620530
3    0.652020
4    0.671056
5    0.625525
6    0.669601
7    0.662571
8    0.625530
0    0.500000
1    0.515000
2    0.618040
Name: mean_test_balanced_accuracy, dtype: float64","0    0.212198
1    0.228408
2    0.222198
0    0.289707
1    0.317404
2    0.348594
3    0.277963
4    0.373207
5    0.372405
6    0.378584
7    0.423343
8    0.351285
0    0.000000
1    0.090867
2    0.342543
Name: mean_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.879091
1    0.870000
2    0.870909
0    0.904545
1    0.898182
2    0.920909
3    0.901818
4    0.896364
5    0.915455
6    0.915455
7    0.920000
8    0.925455
0    0.908182
1    0.908182
2    0.920000
Name: mean_test_accuracy, dtype: float64","0    0.375783
1    0.358336
2    0.352493
0    0.460967
1    0.494161
2    0.628810
3    0.483489
4    0.432430
5    0.574423
6    0.554444
7    0.614762
8    0.673333
0    0.000000
1    0.100000
2    0.690000
Name: mean_test_precision, dtype: float64","0    0.435455
1    0.455455
2    0.445455
0    0.317273
1    0.397273
2    0.367273
3    0.417273
4    0.397273
5    0.396364
6    0.396364
7    0.407273
8    0.377273
0    0.000000
1    0.010000
2    0.287273
Name: mean_test_recall, dtype: float64","0    0.400636
1    0.394174
2    0.387274
0    0.367871
1    0.415611
2    0.454241
3    0.430244
4    0.404575
5    0.460037
6    0.457166
7    0.477075
8    0.476412
0    0.000000
1    0.018182
2    0.378698
Name: mean_test_f1, dtype: float64","0    0.812422
1    0.808447
2    0.803104
0    0.838774
1    0.809046
2    0.842269
3    0.829502
4    0.823794
5    0.858457
6    0.859165
7    0.863455
8    0.871177
0    0.849014
1    0.848539
2    0.868653
Name: mean_test_roc_auc, dtype: float64","0    0.679692
1    0.683682
2    0.679682
0    0.640621
1    0.673136
2    0.672131
3    0.684121
4    0.672116
5    0.682172
6    0.682157
7    0.689631
8    0.679131
0    0.500000
1    0.504500
2    0.635631
Name: mean_test_balanced_accuracy, dtype: float64","0    0.336948
1    0.330376
2    0.323405
0    0.330012
1    0.377084
2    0.437739
3    0.388418
4    0.354434
5    0.429428
6    0.422615
7    0.453826
8    0.465254
0    0.000000
1    0.027260
2    0.393128
Name: mean_test_mcc, dtype: float64"
IP115_RSVP_Calibration_Thu_04_Aug_2022_09hr17min12sec_-0700,"0    0.785455
1    0.779091
2    0.780000
0    0.888182
1    0.883636
2    0.895455
3    0.854545
4    0.867273
5    0.898182
6    0.872727
7    0.888182
8    0.899091
0    0.908182
1    0.908182
2    0.904545
Name: mean_test_accuracy, dtype: float64","0    0.158299
1    0.158103
2    0.154292
0    0.243730
1    0.256071
2    0.335000
3    0.227821
4    0.239214
5    0.401905
6    0.256132
7    0.327341
8    0.416667
0    0.000000
1    0.000000
2    0.300000
Name: mean_test_precision, dtype: float64","0    0.317273
1    0.327273
2    0.327273
0    0.120000
1    0.150000
2    0.090000
3    0.258182
4    0.188182
5    0.170000
6    0.190000
7    0.170000
8    0.130000
0    0.000000
1    0.000000
2    0.070000
Name: mean_test_recall, dtype: float64","0    0.207797
1    0.210964
2    0.206740
0    0.158720
1    0.186414
2    0.135288
3    0.233411
4    0.196311
5    0.232354
6    0.209473
7    0.215821
8    0.187153
0    0.000000
1    0.000000
2    0.109574
Name: mean_test_f1, dtype: float64","0    0.629045
1    0.642131
2    0.641729
0    0.658396
1    0.648660
2    0.675747
3    0.694104
4    0.679714
5    0.708470
6    0.692733
7    0.689871
8    0.724179
0    0.689639
1    0.691082
2    0.674902
Name: mean_test_roc_auc, dtype: float64","0    0.575071
1    0.576040
2    0.576556
0    0.542995
1    0.553985
2    0.533480
3    0.586561
4    0.562056
5    0.570990
6    0.565985
7    0.565485
8    0.553495
0    0.500000
1    0.500000
2    0.529500
Name: mean_test_balanced_accuracy, dtype: float64","0    0.110588
1    0.111420
2    0.109407
0    0.118621
1    0.136274
2    0.123729
3    0.160406
4    0.135177
5    0.211143
6    0.150404
7    0.177133
8    0.181981
0    0.000000
1    0.000000
2    0.115354
Name: mean_test_mcc, dtype: float64"
IP120_RSVP_Calibration_Wed_17_Aug_2022_10hr17min29sec_-0700,"0    0.876364
1    0.876364
2    0.874545
0    0.946364
1    0.935455
2    0.938182
3    0.924545
4    0.924545
5    0.941818
6    0.950000
7    0.932727
8    0.941818
0    0.908182
1    0.944545
2    0.950000
Name: mean_test_accuracy, dtype: float64","0    0.376261
1    0.378548
2    0.372723
0    0.763506
1    0.689628
2    0.708550
3    0.630116
4    0.599388
5    0.690263
6    0.715833
7    0.633957
8    0.708664
0    0.000000
1    0.904167
2    0.858171
Name: mean_test_precision, dtype: float64","0    0.575455
1    0.605455
2    0.595455
0    0.623636
1    0.624545
2    0.585455
3    0.653636
4    0.625455
5    0.704545
6    0.790909
7    0.705455
8    0.643636
0    0.000000
1    0.446364
2    0.534545
Name: mean_test_recall, dtype: float64","0    0.443086
1    0.457235
2    0.447952
0    0.671639
1    0.626673
2    0.617292
3    0.619508
4    0.595591
5    0.680801
6    0.741431
7    0.651204
8    0.665802
0    0.000000
1    0.570177
2    0.642230
Name: mean_test_f1, dtype: float64","0    0.880434
1    0.878075
2    0.881769
0    0.941076
1    0.935131
2    0.946882
3    0.938290
4    0.947425
5    0.956992
6    0.961112
7    0.950949
8    0.960143
0    0.970021
1    0.970595
2    0.966285
Name: mean_test_roc_auc, dtype: float64","0    0.741172
1    0.754672
2    0.749167
0    0.801303
1    0.795747
2    0.779707
3    0.802788
4    0.790202
5    0.835253
6    0.878444
7    0.830707
8    0.807803
0    0.500000
1    0.720682
2    0.763268
Name: mean_test_balanced_accuracy, dtype: float64","0    0.396541
1    0.411828
2    0.402571
0    0.655343
1    0.608592
2    0.600430
3    0.592209
4    0.564759
5    0.659008
6    0.721393
7    0.625900
8    0.640267
0    0.000000
1    0.598215
2    0.646676
Name: mean_test_mcc, dtype: float64"
IP121_RSVP_Calibration_Mon_08_Aug_2022_13hr42min00sec_-0700,"0    0.899091
1    0.896364
2    0.894545
0    0.917273
1    0.913636
2    0.920909
3    0.904545
4    0.914545
5    0.914545
6    0.906364
7    0.920909
8    0.918182
0    0.908182
1    0.921818
2    0.921818
Name: mean_test_accuracy, dtype: float64","0    0.467599
1    0.474179
2    0.469466
0    0.586367
1    0.566541
2    0.626984
3    0.523810
4    0.586313
5    0.559082
6    0.543835
7    0.606344
8    0.594946
0    0.000000
1    0.700000
2    0.613254
Name: mean_test_precision, dtype: float64","0    0.487273
1    0.516364
2    0.516364
0    0.416364
1    0.428182
2    0.409091
3    0.438182
4    0.475455
5    0.429091
6    0.497273
7    0.497273
8    0.419091
0    0.000000
1    0.150000
2    0.389091
Name: mean_test_recall, dtype: float64","0    0.468537
1    0.485983
2    0.483799
0    0.471548
1    0.472161
2    0.466961
3    0.459677
4    0.510254
5    0.468036
6    0.497421
7    0.534648
8    0.477779
0    0.000000
1    0.237329
2    0.454814
Name: mean_test_f1, dtype: float64","0    0.813572
1    0.810553
2    0.809161
0    0.818262
1    0.837090
2    0.844924
3    0.823736
4    0.837077
5    0.831402
6    0.827183
7    0.834765
8    0.823711
0    0.839392
1    0.840543
2    0.842110
Name: mean_test_roc_auc, dtype: float64","0    0.714096
1    0.725641
2    0.724641
0    0.692152
1    0.695556
2    0.691025
3    0.695066
4    0.717207
5    0.696515
6    0.722611
7    0.730616
8    0.694020
0    0.500000
1    0.575000
2    0.682535
Name: mean_test_balanced_accuracy, dtype: float64","0    0.418555
1    0.434745
2    0.431414
0    0.443956
1    0.439703
2    0.449619
3    0.420180
4    0.475661
5    0.436780
6    0.459845
7    0.501697
8    0.450662
0    0.000000
1    0.301231
2    0.440675
Name: mean_test_mcc, dtype: float64"
