,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,roc_auc,std_roc_auc,balanced_accuracy,std_balanced_accuracy,mcc,std_mcc
IP102_RSVP_Calibration_Fri_22_Jul_2022_13hr58min58sec_-0700,"0    0.790909
0    0.881818
0    0.910909
0    0.906364
0    0.778182
0    0.526364
Name: mean_test_accuracy, dtype: float64","0    0.035675
0    0.021513
0    0.003636
0    0.016288
0    0.028517
0    0.021685
Name: std_test_accuracy, dtype: float64","0    0.199099
0    0.358475
0    0.100000
0    0.421667
0    0.236169
0    0.101887
Name: mean_test_precision, dtype: float64","0    0.058977
0    0.110525
0    0.300000
0    0.267608
0    0.036945
0    0.021010
Name: std_test_precision, dtype: float64","0    0.415556
0    0.352222
0    0.010000
0    0.180000
0    0.674747
0    0.547778
Name: mean_test_recall, dtype: float64","0    0.090431
0    0.088757
0    0.030000
0    0.160000
0    0.188447
0    0.124231
Name: std_test_recall, dtype: float64","0    0.267005
0    0.351823
0    0.018182
0    0.235418
0    0.347359
0    0.171787
Name: mean_test_f1, dtype: float64","0    0.066750
0    0.092794
0    0.054545
0    0.177432
0    0.065725
0    0.035878
Name: std_test_f1, dtype: float64","0    0.668387
0    0.727428
0    0.715857
0    0.751178
0    0.771169
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.057521
0    0.071149
0    0.055500
0    0.074608
0    0.105187
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.621877
0    0.643161
0    0.505000
0    0.579020
0    0.731413
0    0.536117
Name: mean_test_balanced_accuracy, dtype: float64","0    0.053027
0    0.049240
0    0.015000
0    0.076910
0    0.080383
0    0.068030
Name: std_test_balanced_accuracy, dtype: float64","0    0.179898
0    0.289173
0    0.030289
0    0.226321
0    0.302349
0    0.040695
Name: mean_test_mcc, dtype: float64","0    0.083277
0    0.104027
0    0.090867
0    0.188763
0    0.093946
0    0.076720
Name: std_test_mcc, dtype: float64"
IP104_RSVP_Calibration_Thu_01_Sep_2022_09hr35min51sec_-0700,"0    0.786364
0    0.891818
0    0.912727
0    0.903636
0    0.814545
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.072300
0    0.025536
0    0.009271
0    0.053505
0    0.029091
0    0.024410
Name: std_test_accuracy, dtype: float64","0    0.206603
0    0.408810
0    0.633333
0    0.631468
0    0.289680
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.094757
0    0.152980
0    0.371184
0    0.269822
0    0.053270
0    0.026415
Name: std_test_precision, dtype: float64","0    0.416364
0    0.248182
0    0.119091
0    0.348182
0    0.705934
0    0.414545
Name: mean_test_recall, dtype: float64","0    0.172813
0    0.121291
0    0.075125
0    0.181866
0    0.169333
0    0.133806
Name: std_test_recall, dtype: float64","0    0.273579
0    0.292044
0    0.193373
0    0.404065
0    0.407906
0    0.133036
Name: mean_test_f1, dtype: float64","0    0.120858
0    0.116061
0    0.114456
0    0.185740
0    0.079019
0    0.044069
Name: std_test_f1, dtype: float64","0    0.669591
0    0.757365
0    0.829032
0    0.766543
0    0.823664
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.108954
0    0.080648
0    0.048996
0    0.106423
0    0.083417
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.620116
0    0.602581
0    0.556040
0    0.654086
0    0.765849
0    0.463035
Name: mean_test_balanced_accuracy, dtype: float64","0    0.106108
0    0.060189
0    0.037319
0    0.098067
0    0.083260
0    0.073628
Name: std_test_balanced_accuracy, dtype: float64","0    0.182553
0    0.255252
0    0.240701
0    0.395867
0    0.367262
0   -0.042357
Name: mean_test_mcc, dtype: float64","0    0.155390
0    0.123744
0    0.147357
0    0.191737
0    0.105874
0    0.084898
Name: std_test_mcc, dtype: float64"
IP105_RSVP_Calibration_Fri_12_Aug_2022_14hr09min28sec_-0700,"0    0.855455
0    0.923636
0    0.921818
0    0.917273
0    0.853636
0    0.528182
Name: mean_test_accuracy, dtype: float64","0    0.023863
0    0.019156
0    0.010909
0    0.013757
0    0.023863
0    0.033141
Name: std_test_accuracy, dtype: float64","0    0.322497
0    0.661209
0    0.933333
0    0.614286
0    0.360398
0    0.105660
Name: mean_test_precision, dtype: float64","0    0.075633
0    0.174292
0    0.200000
0    0.171655
0    0.077304
0    0.033962
Name: std_test_precision, dtype: float64","0    0.513636
0    0.426364
0    0.169091
0    0.347273
0    0.747828
0    0.555455
Name: mean_test_recall, dtype: float64","0    0.116934
0    0.128208
0    0.078960
0    0.104114
0    0.110854
0    0.182020
Name: std_test_recall, dtype: float64","0    0.395267
0    0.501742
0    0.278904
0    0.429944
0    0.484127
0    0.177530
Name: mean_test_f1, dtype: float64","0    0.089980
0    0.115371
0    0.114940
0    0.099679
0    0.087978
0    0.057230
Name: std_test_f1, dtype: float64","0    0.822774
0    0.843193
0    0.852299
0    0.879843
0    0.896214
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.043340
0    0.056710
0    0.033630
0    0.046405
0    0.033035
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.701758
0    0.700172
0    0.583545
0    0.661126
0    0.805903
0    0.540485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.062757
0    0.063796
0    0.040457
0    0.050300
0    0.059276
0    0.100120
Name: std_test_balanced_accuracy, dtype: float64","0    0.329982
0    0.484393
0    0.368722
0    0.414635
0    0.450075
0    0.046509
Name: mean_test_mcc, dtype: float64","0    0.103679
0    0.120202
0    0.115964
0    0.104803
0    0.097852
0    0.115248
Name: std_test_mcc, dtype: float64"
IP106_RSVP_Calibration_Fri_12_Aug_2022_09hr51min02sec_-0700,"0    0.840000
0    0.874545
0    0.911818
0    0.890909
0    0.767273
0    0.502727
Name: mean_test_accuracy, dtype: float64","0    0.067567
0    0.019834
0    0.008182
0    0.054242
0    0.053659
0    0.025078
Name: std_test_accuracy, dtype: float64","0    0.301365
0    0.283925
0    0.450000
0    0.411553
0    0.211066
0    0.079245
Name: mean_test_precision, dtype: float64","0    0.105214
0    0.141926
0    0.471699
0    0.240423
0    0.046097
0    0.027730
Name: std_test_precision, dtype: float64","0    0.407273
0    0.266364
0    0.060000
0    0.219091
0    0.565303
0    0.413636
Name: mean_test_recall, dtype: float64","0    0.132540
0    0.131429
0    0.066332
0    0.183917
0    0.223745
0    0.135650
Name: std_test_recall, dtype: float64","0    0.327432
0    0.265250
0    0.104545
0    0.262946
0    0.299784
0    0.132986
Name: mean_test_f1, dtype: float64","0    0.086762
0    0.114219
0    0.113475
0    0.188654
0    0.071868
0    0.046002
Name: std_test_f1, dtype: float64","0    0.728854
0    0.723555
0    0.736521
0    0.756732
0    0.768402
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.074836
0    0.086054
0    0.105988
0    0.086077
0    0.077913
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.645606
0    0.601146
0    0.529000
0    0.589035
0    0.676514
0    0.462586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.059150
0    0.054746
0    0.033377
0    0.095787
0    0.085669
0    0.074749
Name: std_test_balanced_accuracy, dtype: float64","0    0.258425
0    0.204544
0    0.150237
0    0.237282
0    0.236060
0   -0.042621
Name: mean_test_mcc, dtype: float64","0    0.101660
0    0.114534
0    0.165264
0    0.203324
0    0.100086
0    0.086728
Name: std_test_mcc, dtype: float64"
IP107_RSVP_Calibration_Mon_22_Aug_2022_13hr28min57sec_-0700,"0    0.755455
0    0.901818
0    0.910909
0    0.906364
0    0.820000
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.048694
0    0.022563
0    0.012727
0    0.022654
0    0.029261
0    0.027106
Name: std_test_accuracy, dtype: float64","0    0.166284
0    0.490491
0    0.416667
0    0.433571
0    0.296016
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.063844
0    0.242333
0    0.381881
0    0.268300
0    0.054829
0    0.027277
Name: std_test_precision, dtype: float64","0    0.408182
0    0.248182
0    0.090000
0    0.278182
0    0.674823
0    0.506364
Name: mean_test_recall, dtype: float64","0    0.183558
0    0.121291
0    0.094340
0    0.178664
0    0.134428
0    0.147713
Name: std_test_recall, dtype: float64","0    0.234393
0    0.312378
0    0.145105
0    0.331508
0    0.406760
0    0.161706
Name: mean_test_f1, dtype: float64","0    0.092120
0    0.126673
0    0.146126
0    0.201380
0    0.062247
0    0.046049
Name: std_test_f1, dtype: float64","0    0.661337
0    0.749542
0    0.781463
0    0.780335
0    0.812056
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.091435
0    0.108956
0    0.073342
0    0.069797
0    0.058142
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.599449
0    0.608061
0    0.541990
0    0.624066
0    0.754865
0    0.513434
Name: mean_test_balanced_accuracy, dtype: float64","0    0.097095
0    0.059835
0    0.047508
0    0.088523
0    0.062010
0    0.081306
Name: std_test_balanced_accuracy, dtype: float64","0    0.137629
0    0.292605
0    0.170333
0    0.301179
0    0.361414
0    0.015130
Name: mean_test_mcc, dtype: float64","0    0.128817
0    0.148935
0    0.175784
0    0.209840
0    0.079657
0    0.093881
Name: std_test_mcc, dtype: float64"
IP108_RSVP_Calibration_Thu_11_Aug_2022_09hr40min37sec_-0700,"0    0.736364
0    0.860909
0    0.908182
0    0.920000
0    0.772727
0    0.519091
Name: mean_test_accuracy, dtype: float64","0    0.043408
0    0.038365
0    0.002727
0    0.017153
0    0.041461
0    0.029444
Name: std_test_accuracy, dtype: float64","0    0.160457
0    0.296232
0    0.000000
0    0.680556
0    0.249869
0    0.096226
Name: mean_test_precision, dtype: float64","0    0.051798
0    0.137292
0    0.000000
0    0.256174
0    0.049764
0    0.030946
Name: std_test_precision, dtype: float64","0    0.438182
0    0.317273
0    0.000000
0    0.279091
0    0.716263
0    0.504545
Name: mean_test_recall, dtype: float64","0    0.159068
0    0.117371
0    0.000000
0    0.141190
0    0.120782
0    0.161821
Name: std_test_recall, dtype: float64","0    0.233178
0    0.301717
0    0.000000
0    0.377540
0    0.369521
0    0.161607
Name: mean_test_f1, dtype: float64","0    0.074407
0    0.124378
0    0.000000
0    0.155251
0    0.069631
0    0.051911
Name: std_test_f1, dtype: float64","0    0.607026
0    0.678266
0    0.664878
0    0.821784
0    0.794708
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.093701
0    0.103717
0    0.074414
0    0.066630
0    0.094930
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.602460
0    0.616566
0    0.500000
0    0.632035
0    0.747520
0    0.512535
Name: mean_test_balanced_accuracy, dtype: float64","0    0.079892
0    0.067294
0    0.000000
0    0.069851
0    0.072955
0    0.089010
Name: std_test_balanced_accuracy, dtype: float64","0    0.136619
0    0.228297
0    0.000000
0    0.391277
0    0.324976
0    0.014601
Name: mean_test_mcc, dtype: float64","0    0.105437
0    0.140755
0    0.000000
0    0.162112
0    0.096104
0    0.102469
Name: std_test_mcc, dtype: float64"
IP109_RSVP_Calibration_Fri_19_Aug_2022_09hr58min29sec_-0700,"0    0.818182
0    0.872727
0    0.904545
0    0.898182
0    0.722727
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.048787
0    0.027574
0    0.004545
0    0.018091
0    0.043456
0    0.019604
Name: std_test_accuracy, dtype: float64","0    0.237303
0    0.284562
0    0.033333
0    0.445635
0    0.216094
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.080111
0    0.160877
0    0.100000
0    0.225228
0    0.023785
0    0.022004
Name: std_test_precision, dtype: float64","0    0.386364
0    0.216364
0    0.010000
0    0.216364
0    0.764848
0    0.473636
Name: mean_test_recall, dtype: float64","0    0.083344
0    0.120041
0    0.030000
0    0.111400
0    0.126624
0    0.105662
Name: std_test_recall, dtype: float64","0    0.287544
0    0.233848
0    0.015385
0    0.272665
0    0.334437
0    0.152034
Name: mean_test_f1, dtype: float64","0    0.072971
0    0.121621
0    0.046154
0    0.114779
0    0.030148
0    0.036376
Name: std_test_f1, dtype: float64","0    0.711470
0    0.685653
0    0.683021
0    0.758372
0    0.805958
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.087763
0    0.087841
0    0.061068
0    0.068446
0    0.066879
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.624066
0    0.577672
0    0.502500
0    0.591652
0    0.742212
0    0.495586
Name: mean_test_balanced_accuracy, dtype: float64","0    0.045181
0    0.059019
0    0.012698
0    0.053181
0    0.063126
0    0.058247
Name: std_test_balanced_accuracy, dtype: float64","0    0.203809
0    0.175397
0    0.005033
0    0.250801
0    0.296501
0   -0.004649
Name: mean_test_mcc, dtype: float64","0    0.086843
0    0.133537
0    0.047367
0    0.126300
0    0.060035
0    0.067699
Name: std_test_mcc, dtype: float64"
IP111_RSVP_Calibration_Thu_18_Aug_2022_13hr51min01sec_-0700,"0    0.798182
0    0.914545
0    0.919091
0    0.932727
0    0.814545
0    0.504545
Name: mean_test_accuracy, dtype: float64","0    0.024326
0    0.014200
0    0.013757
0    0.017814
0    0.021590
0    0.022727
Name: std_test_accuracy, dtype: float64","0    0.244174
0    0.556508
0    0.675000
0    0.709268
0    0.305970
0    0.081132
Name: mean_test_precision, dtype: float64","0    0.034874
0    0.122455
0    0.395197
0    0.169415
0    0.035048
0    0.023941
Name: std_test_precision, dtype: float64","0    0.574545
0    0.348182
0    0.169091
0    0.486364
0    0.803460
0    0.425455
Name: mean_test_recall, dtype: float64","0    0.125098
0    0.122781
0    0.119309
0    0.140262
0    0.104312
0    0.125098
Name: std_test_recall, dtype: float64","0    0.341382
0    0.418138
0    0.262321
0    0.564078
0    0.441839
0    0.136260
Name: mean_test_f1, dtype: float64","0    0.053681
0    0.126337
0    0.177139
0    0.128114
0    0.047413
0    0.040151
Name: std_test_f1, dtype: float64","0    0.754473
0    0.762307
0    0.801456
0    0.909062
0    0.883909
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.050688
0    0.049348
0    0.060615
0    0.041711
0    0.040926
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.697652
0    0.660076
0    0.582045
0    0.732172
0    0.809616
0    0.468985
Name: mean_test_balanced_accuracy, dtype: float64","0    0.058284
0    0.060060
0    0.060354
0    0.069714
0    0.051106
0    0.068801
Name: std_test_balanced_accuracy, dtype: float64","0    0.277048
0    0.392399
0    0.307038
0    0.547445
0    0.417487
0   -0.035764
Name: mean_test_mcc, dtype: float64","0    0.073684
0    0.121262
0    0.201091
0    0.133966
0    0.063061
0    0.079150
Name: std_test_mcc, dtype: float64"
IP112_RSVP_Calibration_Mon_29_Aug_2022_14hr02min08sec_-0700,"0    0.866364
0    0.921818
0    0.921818
0    0.928182
0    0.818182
0    0.520909
Name: mean_test_accuracy, dtype: float64","0    0.023016
0    0.015851
0    0.013606
0    0.019263
0    0.044536
0    0.032025
Name: std_test_accuracy, dtype: float64","0    0.329389
0    0.637143
0    0.708333
0    0.691061
0    0.309446
0    0.098113
Name: mean_test_precision, dtype: float64","0    0.077672
0    0.187474
0    0.323286
0    0.159583
0    0.083025
0    0.034585
Name: std_test_precision, dtype: float64","0    0.427273
0    0.367273
0    0.218182
0    0.387273
0    0.756364
0    0.512727
Name: mean_test_recall, dtype: float64","0    0.157721
0    0.128642
0    0.133051
0    0.177364
0    0.175941
0    0.173215
Name: std_test_recall, dtype: float64","0    0.364264
0    0.454827
0    0.321341
0    0.483150
0    0.435469
0    0.164683
Name: mean_test_f1, dtype: float64","0    0.093670
0    0.132721
0    0.171884
0    0.160703
0    0.104885
0    0.057594
Name: std_test_f1, dtype: float64","0    0.788253
0    0.832622
0    0.847856
0    0.833168
0    0.865582
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.076338
0    0.063133
0    0.072170
0    0.093107
0    0.094032
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.669111
0    0.672621
0    0.605591
0    0.685126
0    0.790655
0    0.517136
Name: mean_test_balanced_accuracy, dtype: float64","0    0.075073
0    0.064060
0    0.066366
0    0.088938
0    0.094329
0    0.095438
Name: std_test_balanced_accuracy, dtype: float64","0    0.299660
0    0.440449
0    0.358880
0    0.477581
0    0.402231
0    0.020402
Name: mean_test_mcc, dtype: float64","0    0.109013
0    0.138483
0    0.179763
0    0.163197
0    0.131627
0    0.110688
Name: std_test_mcc, dtype: float64"
IP113_RSVP_Calibration_Wed_31_Aug_2022_09hr19min04sec_-0700,"0    0.801818
0    0.899091
0    0.908182
0    0.897273
0    0.751818
0    0.513636
Name: mean_test_accuracy, dtype: float64","0    0.022926
0    0.017463
0    0.002727
0    0.021145
0    0.054249
0    0.017838
Name: std_test_accuracy, dtype: float64","0    0.159948
0    0.368333
0    0.000000
0    0.295556
0    0.222852
0    0.090566
Name: mean_test_precision, dtype: float64","0    0.089274
0    0.205541
0    0.000000
0    0.272899
0    0.070544
0    0.018487
Name: std_test_precision, dtype: float64","0    0.305455
0    0.219091
0    0.000000
0    0.150000
0    0.647186
0    0.475455
Name: mean_test_recall, dtype: float64","0    0.182644
0    0.172701
0    0.000000
0    0.136015
0    0.138957
0    0.098001
Name: std_test_recall, dtype: float64","0    0.208726
0    0.262296
0    0.000000
0    0.195155
0    0.329133
0    0.152133
Name: mean_test_f1, dtype: float64","0    0.119619
0    0.173613
0    0.000000
0    0.176171
0    0.094057
0    0.031063
Name: std_test_f1, dtype: float64","0    0.663154
0    0.718948
0    0.685074
0    0.732621
0    0.777792
0    0.500000
Name: mean_test_roc_auc, dtype: float64","0    0.078782
0    0.091488
0    0.076341
0    0.099871
0    0.095340
0    0.000000
Name: std_test_roc_auc, dtype: float64","0    0.578646
0    0.593525
0    0.500000
0    0.561480
0    0.705078
0    0.496485
Name: mean_test_balanced_accuracy, dtype: float64","0    0.085410
0    0.084153
0    0.000000
0    0.068070
0    0.088544
0    0.053904
Name: std_test_balanced_accuracy, dtype: float64","0    0.115512
0    0.229326
0    0.000000
0    0.164770
0    0.268794
0   -0.004121
Name: mean_test_mcc, dtype: float64","0    0.133509
0    0.178094
0    0.000000
0    0.189539
0    0.122473
0    0.062043
Name: std_test_mcc, dtype: float64"
